element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\org.apache.archiva.metadata.repository.cassandra.CassandraMetadataRepositoryTest,2022/4/17 19:31,2021/8/29 2:43,Add Class Annotation,e6a08c75177ac7fa05b21ddccc90e0036d69e55d0,Add Class Annotation,d925697678c51efcb553c2b6b29abbcdbea3147880,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d925697678c51efcb553c2b6b29abbcdbea31478,e6a08c75177ac7fa05b21ddccc90e0036d69e55d0d925697678c51efcb553c2b6b29abbcdbea3147880
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\org.apache.archiva.metadata.repository.cassandra.CassandraMetadataRepositoryTest,2022/4/17 19:31,2021/8/29 2:43,Add Class Annotation,e6a08c75177ac7fa05b21ddccc90e0036d69e55d0,Add Class Annotation,d925697678c51efcb553c2b6b29abbcdbea3147881,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d925697678c51efcb553c2b6b29abbcdbea31478,e6a08c75177ac7fa05b21ddccc90e0036d69e55d0d925697678c51efcb553c2b6b29abbcdbea3147881
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\testInfo : TestInfo,2022/4/17 19:31,2021/8/29 2:43,Remove Parameter,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1,Add Parameter,d925697678c51efcb553c2b6b29abbcdbea3147882,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d925697678c51efcb553c2b6b29abbcdbea31478,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1d925697678c51efcb553c2b6b29abbcdbea3147882
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\testInfo : TestInfo,2022/4/17 19:31,2021/8/29 2:43,Remove Parameter,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1,Add Parameter,d925697678c51efcb553c2b6b29abbcdbea3147886,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d925697678c51efcb553c2b6b29abbcdbea31478,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1d925697678c51efcb553c2b6b29abbcdbea3147886
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\public setUp(testInfo TestInfo) : void,2022/4/17 19:31,2021/8/29 19:57,Remove Parameter,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1,Extract Method,d0aa5dd63718373102f89f87f37d2201e350e59d1,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d0aa5dd63718373102f89f87f37d2201e350e59d,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1d0aa5dd63718373102f89f87f37d2201e350e59d1
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\public setUp(testInfo TestInfo) : void,2022/4/17 19:31,2021/8/29 2:43,Remove Parameter,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1,Add Parameter,d925697678c51efcb553c2b6b29abbcdbea3147882,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d925697678c51efcb553c2b6b29abbcdbea31478,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1d925697678c51efcb553c2b6b29abbcdbea3147882
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\public setUp(testInfo TestInfo) : void,2022/4/17 19:31,2021/8/29 2:43,Remove Parameter,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1,Add Method Annotation,d925697678c51efcb553c2b6b29abbcdbea3147883,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d925697678c51efcb553c2b6b29abbcdbea31478,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1d925697678c51efcb553c2b6b29abbcdbea3147883
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\public setUp(testInfo TestInfo) : void,2022/4/17 19:31,2021/8/29 2:43,Remove Parameter,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1,Remove Method Annotation,d925697678c51efcb553c2b6b29abbcdbea3147884,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d925697678c51efcb553c2b6b29abbcdbea31478,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1d925697678c51efcb553c2b6b29abbcdbea3147884
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\public setUp(testInfo TestInfo) : void,2022/4/17 19:31,2021/8/29 2:43,Remove Parameter,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1,Remove Method Annotation,d925697678c51efcb553c2b6b29abbcdbea3147885,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d925697678c51efcb553c2b6b29abbcdbea31478,e6a08c75177ac7fa05b21ddccc90e0036d69e55d1d925697678c51efcb553c2b6b29abbcdbea3147885
archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/CassandraMetadataRepositoryTest.java\public setUp(testInfo TestInfo) : void,2022/4/17 19:31,2021/8/29 19:57,Add Method Annotation,e6a08c75177ac7fa05b21ddccc90e0036d69e55d2,Extract Method,d0aa5dd63718373102f89f87f37d2201e350e59d1,e6a08c75177ac7fa05b21ddccc90e0036d69e55d,d0aa5dd63718373102f89f87f37d2201e350e59d,e6a08c75177ac7fa05b21ddccc90e0036d69e55d2d0aa5dd63718373102f89f87f37d2201e350e59d1
