element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
src/main/java/org/apache/commons/net/ftp/FTP.java\fileType : int,2024/2/25 2:46,2020/9/21 3:00,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c020,Add Parameter Modifier,75203979592aefd409775ae843225deb4035f4b3626,71918811e914c7a78ce9c2b6bc5bd64781115c02,75203979592aefd409775ae843225deb4035f4b3,71918811e914c7a78ce9c2b6bc5bd64781115c02075203979592aefd409775ae843225deb4035f4b3626
src/main/java/org/apache/commons/net/ftp/FTP.java\fileType : int,2024/2/25 2:46,2020/9/21 3:00,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c020,Add Parameter Modifier,75203979592aefd409775ae843225deb4035f4b3628,71918811e914c7a78ce9c2b6bc5bd64781115c02,75203979592aefd409775ae843225deb4035f4b3,71918811e914c7a78ce9c2b6bc5bd64781115c02075203979592aefd409775ae843225deb4035f4b3628
src/main/java/org/apache/commons/net/ftp/FTP.java\private modeCharAt(fileType int) : char,2024/2/25 2:46,2024/2/25 2:40,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c020,Extract Method,c317102cbb911d2b5e36151e4d0c7ae856d074fe0,71918811e914c7a78ce9c2b6bc5bd64781115c02,c317102cbb911d2b5e36151e4d0c7ae856d074fe,71918811e914c7a78ce9c2b6bc5bd64781115c020c317102cbb911d2b5e36151e4d0c7ae856d074fe0
src/main/java/org/apache/commons/net/ftp/FTP.java\mode : int,2024/2/25 2:46,2024/2/25 2:41,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c021,Rename Parameter,dc2feb91b7081780877ae6decc62795c726f72e42,71918811e914c7a78ce9c2b6bc5bd64781115c02,dc2feb91b7081780877ae6decc62795c726f72e4,71918811e914c7a78ce9c2b6bc5bd64781115c021dc2feb91b7081780877ae6decc62795c726f72e42
src/main/java/org/apache/commons/net/ftp/FTP.java\mode : int,2024/2/25 2:46,2024/2/25 2:41,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c021,Rename Parameter,dc2feb91b7081780877ae6decc62795c726f72e43,71918811e914c7a78ce9c2b6bc5bd64781115c02,dc2feb91b7081780877ae6decc62795c726f72e4,71918811e914c7a78ce9c2b6bc5bd64781115c021dc2feb91b7081780877ae6decc62795c726f72e43
src/main/java/org/apache/commons/net/ftp/FTP.java\mode : int,2024/2/25 2:46,2024/2/25 2:41,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c021,Rename Parameter,dc2feb91b7081780877ae6decc62795c726f72e44,71918811e914c7a78ce9c2b6bc5bd64781115c02,dc2feb91b7081780877ae6decc62795c726f72e4,71918811e914c7a78ce9c2b6bc5bd64781115c021dc2feb91b7081780877ae6decc62795c726f72e44
src/main/java/org/apache/commons/net/ftp/FTP.java\mode : int,2024/2/25 2:46,2024/2/25 2:41,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c021,Rename Parameter,dc2feb91b7081780877ae6decc62795c726f72e45,71918811e914c7a78ce9c2b6bc5bd64781115c02,dc2feb91b7081780877ae6decc62795c726f72e4,71918811e914c7a78ce9c2b6bc5bd64781115c021dc2feb91b7081780877ae6decc62795c726f72e45
src/main/java/org/apache/commons/net/ftp/FTP.java\mode : int,2024/2/25 2:46,2020/9/21 3:00,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c021,Add Parameter Modifier,75203979592aefd409775ae843225deb4035f4b3630,71918811e914c7a78ce9c2b6bc5bd64781115c02,75203979592aefd409775ae843225deb4035f4b3,71918811e914c7a78ce9c2b6bc5bd64781115c02175203979592aefd409775ae843225deb4035f4b3630
src/main/java/org/apache/commons/net/ftp/FTP.java\private modeStringAt(mode int) : String,2024/2/25 2:46,2024/2/25 2:41,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c021,Extract Method,dc2feb91b7081780877ae6decc62795c726f72e40,71918811e914c7a78ce9c2b6bc5bd64781115c02,dc2feb91b7081780877ae6decc62795c726f72e4,71918811e914c7a78ce9c2b6bc5bd64781115c021dc2feb91b7081780877ae6decc62795c726f72e40
src/main/java/org/apache/commons/net/ftp/FTP.java\private modeStringAt(mode int) : String,2024/2/25 2:46,2024/2/25 2:41,Rename Parameter,71918811e914c7a78ce9c2b6bc5bd64781115c021,Extract Method,dc2feb91b7081780877ae6decc62795c726f72e41,71918811e914c7a78ce9c2b6bc5bd64781115c02,dc2feb91b7081780877ae6decc62795c726f72e4,71918811e914c7a78ce9c2b6bc5bd64781115c021dc2feb91b7081780877ae6decc62795c726f72e41
