element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
curator-framework/src/main/java/org/apache/curator/framework/imps/EnsembleTracker.java\null,2023/12/2 15:32,2023/3/31 19:50,Extract Variable,e949731759f18f7d747651f6228ed241103673690,Extract Method,37728a431e64dad8b989d4cc4ae5a4171e15f6671,e949731759f18f7d747651f6228ed24110367369,37728a431e64dad8b989d4cc4ae5a4171e15f667,e949731759f18f7d747651f6228ed24110367369037728a431e64dad8b989d4cc4ae5a4171e15f6671
curator-framework/src/main/java/org/apache/curator/framework/imps/EnsembleTracker.java\null,2023/12/2 15:32,2023/3/31 19:50,Extract Variable,e949731759f18f7d747651f6228ed241103673690,Extract Variable,37728a431e64dad8b989d4cc4ae5a4171e15f6672,e949731759f18f7d747651f6228ed24110367369,37728a431e64dad8b989d4cc4ae5a4171e15f667,e949731759f18f7d747651f6228ed24110367369037728a431e64dad8b989d4cc4ae5a4171e15f6672
curator-framework/src/main/java/org/apache/curator/framework/imps/EnsembleTracker.java\null,2023/12/2 15:32,2017/3/14 4:51,Extract Variable,e949731759f18f7d747651f6228ed241103673690,Inline Variable,9b73d11bc03c6e37567e237e96c36cdf93e4ff660,e949731759f18f7d747651f6228ed24110367369,9b73d11bc03c6e37567e237e96c36cdf93e4ff66,e949731759f18f7d747651f6228ed2411036736909b73d11bc03c6e37567e237e96c36cdf93e4ff660
curator-framework/src/main/java/org/apache/curator/framework/imps/EnsembleTracker.java\null,2023/12/2 15:32,2015/9/27 2:13,Extract Variable,e949731759f18f7d747651f6228ed241103673690,Extract Method,26364c6186fc7c09a9462557b1ca791e9aa7000612,e949731759f18f7d747651f6228ed24110367369,26364c6186fc7c09a9462557b1ca791e9aa70006,e949731759f18f7d747651f6228ed24110367369026364c6186fc7c09a9462557b1ca791e9aa7000612
curator-framework/src/main/java/org/apache/curator/framework/imps/EnsembleTracker.java\public configToConnectionString(data QuorumVerifier) : String,2023/12/2 15:32,2023/3/31 19:50,Extract Variable,e949731759f18f7d747651f6228ed241103673690,Extract Method,37728a431e64dad8b989d4cc4ae5a4171e15f6671,e949731759f18f7d747651f6228ed24110367369,37728a431e64dad8b989d4cc4ae5a4171e15f667,e949731759f18f7d747651f6228ed24110367369037728a431e64dad8b989d4cc4ae5a4171e15f6671
curator-framework/src/main/java/org/apache/curator/framework/imps/EnsembleTracker.java\public configToConnectionString(data QuorumVerifier) : String,2023/12/2 15:32,2017/3/14 4:51,Extract Variable,e949731759f18f7d747651f6228ed241103673690,Inline Variable,9b73d11bc03c6e37567e237e96c36cdf93e4ff660,e949731759f18f7d747651f6228ed24110367369,9b73d11bc03c6e37567e237e96c36cdf93e4ff66,e949731759f18f7d747651f6228ed2411036736909b73d11bc03c6e37567e237e96c36cdf93e4ff660
curator-framework/src/test/java/org/apache/curator/framework/imps/TestFramework.java\public testWaitForShutdownTimeoutMs() : void,2023/10/11 20:01,2020/3/15 7:13,Add Method Annotation,2a94b2d7971bf47c2c12554bcd4c2e95581f607a0,Remove Method Annotation,d1a9234ecae47e3704037c839e6041931c24d1f48,2a94b2d7971bf47c2c12554bcd4c2e95581f607a,d1a9234ecae47e3704037c839e6041931c24d1f4,2a94b2d7971bf47c2c12554bcd4c2e95581f607a0d1a9234ecae47e3704037c839e6041931c24d1f48
curator-framework/src/test/java/org/apache/curator/framework/imps/TestFramework.java\public testWaitForShutdownTimeoutMs() : void,2023/10/11 20:01,2018/12/9 12:15,Add Method Annotation,2a94b2d7971bf47c2c12554bcd4c2e95581f607a0,Modify Method Annotation,4c993572f01e1368bd6898cf1fc6ab3eb59d86880,2a94b2d7971bf47c2c12554bcd4c2e95581f607a,4c993572f01e1368bd6898cf1fc6ab3eb59d8688,2a94b2d7971bf47c2c12554bcd4c2e95581f607a04c993572f01e1368bd6898cf1fc6ab3eb59d86880
curator-framework/src/test/java/org/apache/curator/framework/imps/TestWatcherIdentity.java\actualWatcher : CuratorWatcher,2023/10/11 20:01,2021/8/9 20:07,Change Variable Type,2a94b2d7971bf47c2c12554bcd4c2e95581f607a1,Change Variable Type,9aafdec9f2607cc6b652371a7687ed38889ddd2b0,2a94b2d7971bf47c2c12554bcd4c2e95581f607a,9aafdec9f2607cc6b652371a7687ed38889ddd2b,2a94b2d7971bf47c2c12554bcd4c2e95581f607a19aafdec9f2607cc6b652371a7687ed38889ddd2b0
curator-framework/src/test/java/org/apache/curator/framework/imps/TestWatcherIdentity.java\public testSameCuratorWatcherPerZKDocs() : void,2023/10/11 20:01,2021/8/9 20:07,Change Variable Type,2a94b2d7971bf47c2c12554bcd4c2e95581f607a1,Change Variable Type,9aafdec9f2607cc6b652371a7687ed38889ddd2b0,2a94b2d7971bf47c2c12554bcd4c2e95581f607a,9aafdec9f2607cc6b652371a7687ed38889ddd2b,2a94b2d7971bf47c2c12554bcd4c2e95581f607a19aafdec9f2607cc6b652371a7687ed38889ddd2b0
