element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
"deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java\protected installMessageBundleProducerBeans(abd AfterBeanDiscovery, beanManager BeanManager) : void",2024/1/12 3:36,2021/9/24 2:02,Extract Method,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51260,Rename Variable,71a68b8d0487a9a4d5315988025f3e3f3e4018312,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126,71a68b8d0487a9a4d5315988025f3e3f3e401831,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126071a68b8d0487a9a4d5315988025f3e3f3e4018312
"deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java\protected installMessageBundleProducerBeans(abd AfterBeanDiscovery, beanManager BeanManager) : void",2024/1/12 3:36,2012/6/15 16:03,Extract Method,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51260,Rename Parameter,01d4f0cdf356f7b7159f518872dfe6d117cf34560,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126,01d4f0cdf356f7b7159f518872dfe6d117cf3456,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126001d4f0cdf356f7b7159f518872dfe6d117cf34560
deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java\null,2024/1/12 3:36,2012/7/31 23:06,Extract Method,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51260,Inline Method,b8bafcf7e76227d95d746bfc05892d40b4b8fb442,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126,b8bafcf7e76227d95d746bfc05892d40b4b8fb44,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51260b8bafcf7e76227d95d746bfc05892d40b4b8fb442
"deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java\protected installMessageBundleProducerBeans(abd AfterBeanDiscovery, beanManager BeanManager) : void",2024/1/12 3:36,2021/9/24 2:02,Change Variable Type,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51261,Rename Variable,71a68b8d0487a9a4d5315988025f3e3f3e4018312,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126,71a68b8d0487a9a4d5315988025f3e3f3e401831,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126171a68b8d0487a9a4d5315988025f3e3f3e4018312
"deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java\protected installMessageBundleProducerBeans(abd AfterBeanDiscovery, beanManager BeanManager) : void",2024/1/12 3:36,2012/6/15 16:03,Change Variable Type,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51261,Rename Parameter,01d4f0cdf356f7b7159f518872dfe6d117cf34560,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126,01d4f0cdf356f7b7159f518872dfe6d117cf3456,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126101d4f0cdf356f7b7159f518872dfe6d117cf34560
deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java\mbType : AnnotatedType<?>,2024/1/12 3:36,2021/9/24 2:02,Rename Variable,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51262,Rename Variable,71a68b8d0487a9a4d5315988025f3e3f3e4018312,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126,71a68b8d0487a9a4d5315988025f3e3f3e401831,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126271a68b8d0487a9a4d5315988025f3e3f3e4018312
"deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java\protected installMessageBundleProducerBeans(abd AfterBeanDiscovery, beanManager BeanManager) : void",2024/1/12 3:36,2021/9/24 2:02,Rename Variable,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51262,Rename Variable,71a68b8d0487a9a4d5315988025f3e3f3e4018312,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126,71a68b8d0487a9a4d5315988025f3e3f3e401831,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126271a68b8d0487a9a4d5315988025f3e3f3e4018312
"deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/message/MessageBundleExtension.java\protected installMessageBundleProducerBeans(abd AfterBeanDiscovery, beanManager BeanManager) : void",2024/1/12 3:36,2012/6/15 16:03,Rename Variable,f883d7b5dd22d3fdb3785e7511bdd9aa55cd51262,Rename Parameter,01d4f0cdf356f7b7159f518872dfe6d117cf34560,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126,01d4f0cdf356f7b7159f518872dfe6d117cf3456,f883d7b5dd22d3fdb3785e7511bdd9aa55cd5126201d4f0cdf356f7b7159f518872dfe6d117cf34560
deltaspike/modules/jsf/impl/src/test/java/org/apache/deltaspike/test/jsf/impl/scope/window/WindowScopedContextTest.java\@org.junit.Ignore,2024/1/9 21:03,2023/11/20 18:52,Remove Method Annotation,9fc5755db26dd738d915fb1f382ec3c4604771590,Add Method Annotation,fd13102bca5aade74f08fe41af2cb6d3663d6fe00,9fc5755db26dd738d915fb1f382ec3c460477159,fd13102bca5aade74f08fe41af2cb6d3663d6fe0,9fc5755db26dd738d915fb1f382ec3c4604771590fd13102bca5aade74f08fe41af2cb6d3663d6fe00
deltaspike/modules/jsf/impl/src/test/java/org/apache/deltaspike/test/jsf/impl/scope/window/WindowScopedContextTest.java\public testWindowId() : void,2024/1/9 21:03,2023/11/20 18:52,Remove Method Annotation,9fc5755db26dd738d915fb1f382ec3c4604771590,Add Method Annotation,fd13102bca5aade74f08fe41af2cb6d3663d6fe00,9fc5755db26dd738d915fb1f382ec3c460477159,fd13102bca5aade74f08fe41af2cb6d3663d6fe0,9fc5755db26dd738d915fb1f382ec3c4604771590fd13102bca5aade74f08fe41af2cb6d3663d6fe00
