element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
unit-tests-java8/src/test/java/org/eclipse/collections/test/map/mutable/MutableMapIterableTestCase.java\org.eclipse.collections.test.map.mutable.MutableMapIterableTestCase,2024/2/15 6:54,2018/1/24 21:04,Extract Interface,05d38ec75db0b7dfafacb253a7424935f64504300,Extract Interface,d25d27bffcca0ec2a598a6201610fdc86297b4db0,05d38ec75db0b7dfafacb253a7424935f6450430,d25d27bffcca0ec2a598a6201610fdc86297b4db,05d38ec75db0b7dfafacb253a7424935f64504300d25d27bffcca0ec2a598a6201610fdc86297b4db0
unit-tests-java8/src/test/java/org/eclipse/collections/test/map/mutable/MutableMapIterableTestCase.java\public Map_putAll() : void,2024/2/15 6:54,2019/1/6 10:48,Change Variable Type,05d38ec75db0b7dfafacb253a7424935f645043010,Change Variable Type,c7872b7a1bd3c6ef124964b100947d3b9b08152f0,05d38ec75db0b7dfafacb253a7424935f6450430,c7872b7a1bd3c6ef124964b100947d3b9b08152f,05d38ec75db0b7dfafacb253a7424935f645043010c7872b7a1bd3c6ef124964b100947d3b9b08152f0
unit-tests-java8/src/test/java/org/eclipse/collections/test/map/mutable/MutableMapIterableTestCase.java\public Map_putAll() : void,2024/2/15 6:54,2019/1/6 10:48,Change Variable Type,05d38ec75db0b7dfafacb253a7424935f645043011,Change Variable Type,c7872b7a1bd3c6ef124964b100947d3b9b08152f0,05d38ec75db0b7dfafacb253a7424935f6450430,c7872b7a1bd3c6ef124964b100947d3b9b08152f,05d38ec75db0b7dfafacb253a7424935f645043011c7872b7a1bd3c6ef124964b100947d3b9b08152f0
unit-tests-java8/src/test/java/org/eclipse/collections/test/map/mutable/MutableMapIterableTestCase.java\public Map_putAll() : void,2024/2/15 6:54,2019/1/6 10:48,Change Variable Type,05d38ec75db0b7dfafacb253a7424935f645043012,Change Variable Type,c7872b7a1bd3c6ef124964b100947d3b9b08152f0,05d38ec75db0b7dfafacb253a7424935f6450430,c7872b7a1bd3c6ef124964b100947d3b9b08152f,05d38ec75db0b7dfafacb253a7424935f645043012c7872b7a1bd3c6ef124964b100947d3b9b08152f0
unit-tests-java8/src/test/java/org/eclipse/collections/test/map/mutable/MutableMapIterableTestCase.java\public Map_putAll() : void,2024/2/15 6:54,2019/1/6 10:48,Change Variable Type,05d38ec75db0b7dfafacb253a7424935f645043013,Change Variable Type,c7872b7a1bd3c6ef124964b100947d3b9b08152f0,05d38ec75db0b7dfafacb253a7424935f6450430,c7872b7a1bd3c6ef124964b100947d3b9b08152f,05d38ec75db0b7dfafacb253a7424935f645043013c7872b7a1bd3c6ef124964b100947d3b9b08152f0
unit-tests-java8/src/test/java/org/eclipse/collections/test/map/mutable/MutableMapIterableTestCase.java\public Map_putAll() : void,2024/2/15 6:54,2019/1/6 10:48,Pull Up Method,05d38ec75db0b7dfafacb253a7424935f645043014,Change Variable Type,c7872b7a1bd3c6ef124964b100947d3b9b08152f0,05d38ec75db0b7dfafacb253a7424935f6450430,c7872b7a1bd3c6ef124964b100947d3b9b08152f,05d38ec75db0b7dfafacb253a7424935f645043014c7872b7a1bd3c6ef124964b100947d3b9b08152f0
unit-tests-java8/src/test/java/org/eclipse/collections/test/bag/mutable/sorted/MutableSortedBagTestCase.java\public MutableBagIterable_addOccurrences_throws() : void,2024/1/9 6:13,2016/3/10 14:00,Modify Method Annotation,4bb97e497d50ce128a3a1d22890468bd219711262,Rename Method,efb119bdc7075373a7ff24d705d04c086725b5cf8,4bb97e497d50ce128a3a1d22890468bd21971126,efb119bdc7075373a7ff24d705d04c086725b5cf,4bb97e497d50ce128a3a1d22890468bd219711262efb119bdc7075373a7ff24d705d04c086725b5cf8
unit-tests-java8/src/test/java/org/eclipse/collections/test/bag/mutable/sorted/MutableSortedBagTestCase.java\public MutableBagIterable_addOccurrences_throws() : void,2024/1/9 6:13,2016/3/10 14:00,Modify Method Annotation,4bb97e497d50ce128a3a1d22890468bd219711262,Add Method Annotation,efb119bdc7075373a7ff24d705d04c086725b5cf12,4bb97e497d50ce128a3a1d22890468bd21971126,efb119bdc7075373a7ff24d705d04c086725b5cf,4bb97e497d50ce128a3a1d22890468bd219711262efb119bdc7075373a7ff24d705d04c086725b5cf12
unit-tests-java8/src/test/java/org/eclipse/collections/test/bag/mutable/sorted/MutableSortedBagTestCase.java\public MutableBagIterable_removeOccurrences_throws() : void,2024/1/9 6:13,2016/3/10 14:00,Modify Method Annotation,4bb97e497d50ce128a3a1d22890468bd219711263,Rename Method,efb119bdc7075373a7ff24d705d04c086725b5cf10,4bb97e497d50ce128a3a1d22890468bd21971126,efb119bdc7075373a7ff24d705d04c086725b5cf,4bb97e497d50ce128a3a1d22890468bd219711263efb119bdc7075373a7ff24d705d04c086725b5cf10
unit-tests-java8/src/test/java/org/eclipse/collections/test/bag/mutable/sorted/MutableSortedBagTestCase.java\public MutableBagIterable_removeOccurrences_throws() : void,2024/1/9 6:13,2016/3/10 14:00,Modify Method Annotation,4bb97e497d50ce128a3a1d22890468bd219711263,Add Method Annotation,efb119bdc7075373a7ff24d705d04c086725b5cf14,4bb97e497d50ce128a3a1d22890468bd21971126,efb119bdc7075373a7ff24d705d04c086725b5cf,4bb97e497d50ce128a3a1d22890468bd219711263efb119bdc7075373a7ff24d705d04c086725b5cf14
eclipse-collections/src/main/java/org/eclipse/collections/impl/bag/mutable/MultiReaderHashBag.java\public newEmpty() : MutableBag<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a0,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d2493,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a0b9dfbc2cb847ade66f49575e701c9b93d739c39d2493
eclipse-collections/src/main/java/org/eclipse/collections/impl/bag/mutable/MultiReaderHashBag.java\public newEmpty() : MutableBag<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a0,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d2533,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a0b9dfbc2cb847ade66f49575e701c9b93d739c39d2533
eclipse-collections/src/main/java/org/eclipse/collections/impl/bag/mutable/MultiReaderHashBag.java\public tap(procedure Procedure<? super T>) : MutableBag<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a1,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d2496,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a1b9dfbc2cb847ade66f49575e701c9b93d739c39d2496
eclipse-collections/src/main/java/org/eclipse/collections/impl/bag/mutable/MultiReaderHashBag.java\public tap(procedure Procedure<? super T>) : MutableBag<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a1,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d2536,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a1b9dfbc2cb847ade66f49575e701c9b93d739c39d2536
eclipse-collections/src/main/java/org/eclipse/collections/impl/list/mutable/MultiReaderFastList.java\public newEmpty() : MutableList<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a3,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d5547,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a3b9dfbc2cb847ade66f49575e701c9b93d739c39d5547
eclipse-collections/src/main/java/org/eclipse/collections/impl/list/mutable/MultiReaderFastList.java\public newEmpty() : MutableList<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a3,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d5620,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a3b9dfbc2cb847ade66f49575e701c9b93d739c39d5620
eclipse-collections/src/main/java/org/eclipse/collections/impl/list/mutable/MultiReaderFastList.java\public tap(procedure Procedure<? super T>) : MutableList<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a4,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d5552,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a4b9dfbc2cb847ade66f49575e701c9b93d739c39d5552
eclipse-collections/src/main/java/org/eclipse/collections/impl/list/mutable/MultiReaderFastList.java\public tap(procedure Procedure<? super T>) : MutableList<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a4,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d5623,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a4b9dfbc2cb847ade66f49575e701c9b93d739c39d5623
"eclipse-collections/src/main/java/org/eclipse/collections/impl/list/mutable/MultiReaderFastList.java\public subList(fromIndex int, toIndex int) : MutableList<T>",2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a5,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d5579,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a5b9dfbc2cb847ade66f49575e701c9b93d739c39d5579
