element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
http2/src/main/java/org/apache/mina/http2/api/Http2FrameHeadePartialDecoder.java\org.apache.mina.http2.api.Http2FrameHeadePartialDecoder,2015/4/13 5:49,2015/3/24 5:43,Move Class,8ca3d89da1d53ed165db2c82df0ad9217c13acaf2,Extract Class,27938fb1e54c5e93ea14da20da03856ee395681e13
http2/src/main/java/org/apache/mina/http2/api/Http2Frame.java\private length : int,2015/4/13 5:49,2015/3/24 5:43,Encapsulate Attribute,8ca3d89da1d53ed165db2c82df0ad9217c13acaf21,Add Attribute Modifier,27938fb1e54c5e93ea14da20da03856ee395681e2
http2/src/main/java/org/apache/mina/http2/api/Http2Frame.java\private flags : short,2015/4/13 5:49,2015/3/24 5:43,Encapsulate Attribute,8ca3d89da1d53ed165db2c82df0ad9217c13acaf23,Add Attribute Modifier,27938fb1e54c5e93ea14da20da03856ee395681e4
http2/src/main/java/org/apache/mina/http2/api/Http2UnknownFrame.java\public getPayload() : byte[],2015/4/13 5:49,2015/3/24 5:43,Move Method,8ca3d89da1d53ed165db2c82df0ad9217c13acaf55,Push Down Method,27938fb1e54c5e93ea14da20da03856ee395681e27
http2/src/test/java/org/apache/mina/http2/api/Htp2PushPromiseFrameDecoderTest.java\public checkWithNoPadding() : void,2015/4/13 5:49,2015/3/24 5:43,Move And Rename Method,8ca3d89da1d53ed165db2c82df0ad9217c13acaf68,Rename Method,27938fb1e54c5e93ea14da20da03856ee395681e8
http2/src/test/java/org/apache/mina/http2/api/Htp2PushPromiseFrameDecoderTest.java\public checkWithPadding() : void,2015/4/13 5:49,2015/3/24 5:43,Move And Rename Method,8ca3d89da1d53ed165db2c82df0ad9217c13acaf69,Rename Method,27938fb1e54c5e93ea14da20da03856ee395681e9
http2/src/test/java/org/apache/mina/http2/api/Htp2PushPromiseFrameDecoderTest.java\public checkWithPadding() : void,2015/4/13 5:49,2015/3/24 5:43,Move And Rename Method,8ca3d89da1d53ed165db2c82df0ad9217c13acaf69,Change Variable Type,27938fb1e54c5e93ea14da20da03856ee395681e10
core/src/main/java/org/apache/mina/filter/codec/ProtocolCodecFilter.java\private getDecodingState(session IoSession) : DECODING_STATE,2015/3/18 3:56,2013/3/26 20:26,Change Method Access Modifier,99796938d772c2028d6168b768975eb2ab965e6a0,Rename Method,1a4ad866eb25e509a8eb4b5d52e4660152cc5ded0
core/src/main/java/org/apache/mina/filter/codec/ProtocolCodecFilter.java\private getDecodingState(session IoSession) : DECODING_STATE,2015/3/18 3:56,2013/3/26 20:26,Change Method Access Modifier,99796938d772c2028d6168b768975eb2ab965e6a0,Change Return Type,1a4ad866eb25e509a8eb4b5d52e4660152cc5ded7
core/src/main/java/org/apache/mina/filter/codec/ProtocolCodecFilter.java\private getDecodingState(session IoSession) : DECODING_STATE,2015/3/18 3:56,2013/3/26 20:26,Change Method Access Modifier,99796938d772c2028d6168b768975eb2ab965e6a0,Add Method Annotation,1a4ad866eb25e509a8eb4b5d52e4660152cc5ded8
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\clazz : Class<?>,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb290,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa144
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\public LoggingFilter(clazz Class<?>),2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb290,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa144
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\name : String,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb291,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa145
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\public LoggingFilter(name String),2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb291,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa145
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\eventLevel : LogLevel,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb292,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa146
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\eventLevel : LogLevel,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb292,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa149
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb292,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa146
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb292,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa147
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb292,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa148
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\message : String,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb293,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa147
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\message : String,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb293,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa150
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\message : String,2014/10/11 19:01,2008/10/20 3:40,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb293,Rename Parameter,d0799b0baaeab183f350eff2581f2741e5e4ef3e35
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb293,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa146
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb293,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa147
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb293,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa148
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\param : Object,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb294,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa148
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb294,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa146
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb294,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa147
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String, param Object) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb294,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa148
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\eventLevel : LogLevel,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb295,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa146
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\eventLevel : LogLevel,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb295,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa149
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb295,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa149
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb295,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa150
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String) : void",2014/10/11 19:01,2008/10/20 3:40,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb295,Rename Parameter,d0799b0baaeab183f350eff2581f2741e5e4ef3e35
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String) : void",2014/10/11 19:01,2008/10/20 3:40,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb295,Change Method Access Modifier,d0799b0baaeab183f350eff2581f2741e5e4ef3e36
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\message : String,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb296,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa147
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\message : String,2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb296,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa150
core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\message : String,2014/10/11 19:01,2008/10/20 3:40,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb296,Rename Parameter,d0799b0baaeab183f350eff2581f2741e5e4ef3e35
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb296,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa149
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String) : void",2014/10/11 19:01,2012/11/6 22:33,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb296,Add Parameter Modifier,c33655b3f904f611ca5ef7fe28e0ad10b4924fa150
"core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java\private log(eventLevel LogLevel, message String) : void",2014/10/11 19:01,2008/10/20 3:40,Remove Parameter Modifier,3e0d08c97055aec6325a2f38bc5ddc15e92bfb296,Rename Parameter,d0799b0baaeab183f350eff2581f2741e5e4ef3e35
