element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
java/core/src/java/org/apache/orc/impl/WriterImpl.java\public getBloomFilterVersion() : OrcFile.BloomFilterVersion,2024/2/3 17:12,2020/2/26 3:25,Add Method Annotation,6c3c451c59b99b448d9bb5dd18c9fb70a98121232,Add Method Annotation,b594deb86b38a48af951084dc2a633eed3fb811030
java/core/src/java/org/apache/orc/impl/HadoopShimsFactory.java\public get() : HadoopShims,2024/1/23 2:50,2017/9/5 0:04,Remove Method Modifier,8f22732bfe336ece7d7bcfade3ca6d200d276f1c1,Move Method,0ce312ed7e2c3366ed75c30eea8451622869708e3
java/core/src/java/org/apache/orc/OrcFile.java\private getStaticMemoryManager(conf Configuration) : MemoryManager,2024/1/23 2:50,2019/10/9 6:49,Remove Method Modifier,b5c2250f1e89629a1ce7d398e3567ea0713fd8cb1,Remove Parameter Modifier,d657ed4f516d21e3b573c3ec4a4f31867a8ccf701
java/core/src/java/org/apache/orc/impl/PhysicalFsWriter.java\null,2024/1/17 7:06,2022/6/11 3:33,Extract Variable,33be57124f2d1ddcbf4bbb097613f346aef6ae6c0,Inline Variable,0565bfe36babedeed1ea65ad62927de7ff9e3ed71
java/core/src/java/org/apache/orc/impl/PhysicalFsWriter.java\null,2024/1/17 7:06,2019/6/24 1:51,Extract Variable,33be57124f2d1ddcbf4bbb097613f346aef6ae6c0,Inline Variable,df79ad1457f22346cc195962f2bed481f526a58723
"java/core/src/java/org/apache/orc/impl/RecordReaderUtils.java\package create(from BufferChunk, to BufferChunk) : ChunkReader",2023/11/29 1:26,2023/11/28 4:37,Rename Variable,3b448e004bd22e0cb8f71e18077f142a6535bc450,Change Variable Type,e554765801c8cc0f25713aaee09701ca47250d010
"java/core/src/java/org/apache/orc/impl/RecordReaderUtils.java\package create(from BufferChunk, to BufferChunk) : ChunkReader",2023/11/29 1:26,2023/11/28 4:37,Rename Variable,3b448e004bd22e0cb8f71e18077f142a6535bc451,Change Variable Type,e554765801c8cc0f25713aaee09701ca47250d010
"java/core/src/java/org/apache/orc/impl/RecordReaderUtils.java\package create(from BufferChunk, to BufferChunk) : ChunkReader",2023/11/29 1:26,2023/11/28 4:37,Rename Variable,3b448e004bd22e0cb8f71e18077f142a6535bc452,Change Variable Type,e554765801c8cc0f25713aaee09701ca47250d010
"java/core/src/java/org/apache/orc/impl/RecordReaderUtils.java\package create(from BufferChunk, to BufferChunk) : ChunkReader",2023/11/29 1:26,2023/11/28 4:37,Rename Variable,3b448e004bd22e0cb8f71e18077f142a6535bc453,Change Variable Type,e554765801c8cc0f25713aaee09701ca47250d010
java/core/src/java/org/apache/orc/impl/OutStream.java\private getNewOutputBuffer() : ByteBuffer,2023/11/20 11:50,2018/7/14 5:28,Extract Class,22a06b4e7575f539be970ec9658f5b597ef7c83d0,Remove Thrown Exception Type,edbb9673d143247633dddcfdbea24f7869b151fe42
java/core/src/java/org/apache/orc/impl/OutStream.java\private getNewOutputBuffer() : ByteBuffer,2023/11/20 11:50,2018/7/14 5:28,Move Method,22a06b4e7575f539be970ec9658f5b597ef7c83d1,Remove Thrown Exception Type,edbb9673d143247633dddcfdbea24f7869b151fe42
java/shims/src/java/org/apache/orc/impl/ZeroCopyShims.java\public releaseBuffer(buffer ByteBuffer) : void,2023/9/22 2:01,2021/8/9 16:14,Add Method Annotation,9fca88d01c1fc0fc47d8a0133bd9378f3537098d5,Remove Method Modifier,7e7e974883e0d789972f09043680399058f5859913
java/shims/src/java/org/apache/orc/impl/ZeroCopyShims.java\public releaseBuffer(buffer ByteBuffer) : void,2023/9/22 2:01,2020/2/26 3:25,Add Method Annotation,9fca88d01c1fc0fc47d8a0133bd9378f3537098d5,Add Method Annotation,b594deb86b38a48af951084dc2a633eed3fb811052
java/core/src/java/org/apache/orc/impl/ParserUtils.java\null,2023/5/16 1:43,2021/3/5 2:17,Extract Variable,09cd71cd50eece97facfc002f82f7ce7e19a072e1,Extract Method,853d574df4c23f8dbe892b82220ad82f123f2bf29
java/core/src/java/org/apache/orc/impl/ParserUtils.java\null,2023/5/16 1:43,2021/3/5 2:17,Extract Variable,09cd71cd50eece97facfc002f82f7ce7e19a072e1,Extract And Move Method,853d574df4c23f8dbe892b82220ad82f123f2bf217
java/core/src/java/org/apache/orc/impl/ParserUtils.java\null,2023/5/16 1:43,2020/10/6 2:55,Extract Variable,09cd71cd50eece97facfc002f82f7ce7e19a072e1,Extract Method,85b36607c35579fdfb6879eaea0bf92786d8eb891
java/core/src/java/org/apache/orc/impl/ParserUtils.java\null,2023/5/16 1:43,2021/3/5 2:17,Extract Variable,09cd71cd50eece97facfc002f82f7ce7e19a072e2,Extract Method,853d574df4c23f8dbe892b82220ad82f123f2bf29
java/core/src/java/org/apache/orc/impl/ParserUtils.java\null,2023/5/16 1:43,2021/3/5 2:17,Extract Variable,09cd71cd50eece97facfc002f82f7ce7e19a072e2,Extract And Move Method,853d574df4c23f8dbe892b82220ad82f123f2bf217
java/core/src/java/org/apache/orc/impl/ParserUtils.java\null,2023/5/16 1:43,2020/10/6 2:55,Extract Variable,09cd71cd50eece97facfc002f82f7ce7e19a072e2,Extract Method,85b36607c35579fdfb6879eaea0bf92786d8eb891
java/core/src/java/org/apache/orc/impl/InStream.java\protected length : long,2023/3/10 4:47,2019/7/4 0:32,Remove Attribute Modifier,b56d2d123075e01ee97de4da62c49b5f436165a40,Add Attribute Modifier,7afd89a855a1e19811371caaaf168c4cac1e2e3f32
"java/core/src/java/org/apache/orc/impl/InStream.java\public UncompressedStream(name Object, input DiskRangeList, offset long, length long)",2023/3/10 4:47,2019/7/4 0:32,Extract And Move Method,b56d2d123075e01ee97de4da62c49b5f436165a41,Change Parameter Type,7afd89a855a1e19811371caaaf168c4cac1e2e3f8
"java/core/src/java/org/apache/orc/impl/InStream.java\public UncompressedStream(name Object, input DiskRangeList, offset long, length long)",2023/3/10 4:47,2019/7/4 0:32,Extract And Move Method,b56d2d123075e01ee97de4da62c49b5f436165a41,Add Parameter,7afd89a855a1e19811371caaaf168c4cac1e2e3f9
