element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
"phoenix-core-server/src/main/java/org/apache/phoenix/coprocessor/BaseScannerRegionObserver.java\public getTimeToLiveForCompactions(conf Configuration, columnDescriptor ColumnFamilyDescriptor, options ScanOptions) : long",2024/3/12 4:08,2023/12/12 14:14,Parameterize Variable,57415bed0660e9c2ee697f81f34a533d3536acc42,Extract Class,7cd93529bef856091fa42414e7874c6de7310a7e37
"phoenix-core-server/src/main/java/org/apache/phoenix/coprocessor/BaseScannerRegionObserver.java\public getTimeToLiveForCompactions(conf Configuration, columnDescriptor ColumnFamilyDescriptor, options ScanOptions) : long",2024/3/12 4:08,2023/12/12 14:14,Parameterize Variable,57415bed0660e9c2ee697f81f34a533d3536acc42,Move Method,7cd93529bef856091fa42414e7874c6de7310a7e137
"phoenix-core-server/src/main/java/org/apache/phoenix/coprocessor/BaseScannerRegionObserver.java\public setScanOptionsForFlushesAndCompactionsWhenPhoenixTTLIsDisabled(conf Configuration, options ScanOptions, store Store, type ScanType) : void",2024/3/12 4:08,2023/12/12 14:14,Add Parameter,57415bed0660e9c2ee697f81f34a533d3536acc43,Extract Class,7cd93529bef856091fa42414e7874c6de7310a7e37
"phoenix-core-server/src/main/java/org/apache/phoenix/coprocessor/BaseScannerRegionObserver.java\public setScanOptionsForFlushesAndCompactionsWhenPhoenixTTLIsDisabled(conf Configuration, options ScanOptions, store Store, type ScanType) : void",2024/3/12 4:08,2023/12/12 14:14,Add Parameter,57415bed0660e9c2ee697f81f34a533d3536acc43,Move Method,7cd93529bef856091fa42414e7874c6de7310a7e138
"phoenix-core/src/it/java/org/apache/phoenix/end2end/IndexScrutinyToolBaseIT.java\protected runScrutiny(mapperClass Class<? extends IndexScrutinyMapper>, cmdArgs String[]) : List<Job>",2024/3/12 4:08,2020/9/15 1:30,Extract Method,57415bed0660e9c2ee697f81f34a533d3536acc48,Add Parameter,b9fb2452342bf3064b33245a09878530e953c6f80
phoenix-core/src/it/java/org/apache/phoenix/end2end/IndexScrutinyToolBaseIT.java\null,2024/3/12 4:08,2021/1/7 1:32,Extract Method,57415bed0660e9c2ee697f81f34a533d3536acc48,Extract Attribute,86af56e287d3428305c093b13c90d4aea08d866a0
phoenix-core/src/it/java/org/apache/phoenix/end2end/transform/TransformToolIT.java\org.apache.phoenix.end2end.transform.TransformToolIT,2024/3/12 4:08,2022/2/3 6:22,Add Class Annotation,57415bed0660e9c2ee697f81f34a533d3536acc421,Move Class,e67582dc2f4ab4e50ee9d26d5c6b3662d29c3e830
phoenix-core/src/it/java/org/apache/phoenix/end2end/transform/TransformToolIT.java\org.apache.phoenix.end2end.transform.TransformToolIT,2024/3/12 4:08,2022/2/3 6:22,Add Class Annotation,57415bed0660e9c2ee697f81f34a533d3536acc421,Add Class Annotation,e67582dc2f4ab4e50ee9d26d5c6b3662d29c3e8329
phoenix-core/src/it/java/org/apache/phoenix/end2end/transform/TransformToolIT.java\public testSplitTable() : void,2024/3/12 4:08,2022/9/22 0:28,Add Method Annotation,57415bed0660e9c2ee697f81f34a533d3536acc428,Change Variable Type,f7d76d60cfb23e10ab61cf75d7a91ce4146f957c8
phoenix-core-client/src/main/java/org/apache/phoenix/mapreduce/util/PhoenixConfigurationUtilHelper.java\public MAPREDUCE_INPUT_CLUSTER_QUORUM : String,2024/2/15 22:31,2023/12/12 14:14,Add Attribute Annotation,bf3a6226e6b836703d1b7b61e6e0c3bed8995d665,Extract Class,7cd93529bef856091fa42414e7874c6de7310a7e33
