element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
plugins/portlet/src/main/java/org/apache/struts2/portlet/result/PortletVelocityResult.java\private velocityManager : VelocityManagerInterface,2024/2/3 10:18,2024/2/2 14:25,Add Attribute Modifier,889a4180cd45a9483d324904f2113d35b989cce70,Encapsulate Attribute,9328ae7ec10f23c5ad0fb2e8a4a1c555a2094a175
plugins/velocity/src/main/java/org/apache/struts2/views/velocity/result/VelocityResult.java\private velocityManager : VelocityManagerInterface,2024/2/3 10:18,2024/2/2 14:25,Add Attribute Modifier,889a4180cd45a9483d324904f2113d35b989cce71,Encapsulate Attribute,9328ae7ec10f23c5ad0fb2e8a4a1c555a2094a1715
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/OldDecorator2NewStrutsVelocityDecorator.java\private velocityManager : VelocityManager,2024/2/2 14:42,2009/11/12 14:06,Encapsulate Attribute,b5fca66ad0f182f5d239aa9c45a9068e4f227f591,Extract Class,c1b1b0326cc34788482c30ceb1585ff9d157f61419
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/OldDecorator2NewStrutsVelocityDecorator.java\private velocityManager : VelocityManager,2024/2/2 14:42,2009/11/12 14:06,Encapsulate Attribute,b5fca66ad0f182f5d239aa9c45a9068e4f227f591,Move Attribute,c1b1b0326cc34788482c30ceb1585ff9d157f61423
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/VelocityPageFilter.java\public setVelocityManager(mgr VelocityManager) : void,2024/2/2 14:42,2006/11/16 16:32,Extract Method,b5fca66ad0f182f5d239aa9c45a9068e4f227f595,Modify Method Annotation,3395081c9011bae0458873aefd9cb4445d1355d21
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/VelocityPageFilter.java\public setVelocityManager(mgr VelocityManager) : void,2024/2/2 14:42,2006/11/15 5:52,Extract Method,b5fca66ad0f182f5d239aa9c45a9068e4f227f595,Add Method Modifier,f92105e9b30b495cb8771b5e3c2c9c859ef26a791
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/VelocityPageFilter.java\public setVelocityManager(mgr VelocityManager) : void,2024/2/2 14:42,2006/11/16 16:32,Add Method Annotation,b5fca66ad0f182f5d239aa9c45a9068e4f227f596,Modify Method Annotation,3395081c9011bae0458873aefd9cb4445d1355d21
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/VelocityPageFilter.java\public setVelocityManager(mgr VelocityManager) : void,2024/2/2 14:42,2006/11/15 5:52,Add Method Annotation,b5fca66ad0f182f5d239aa9c45a9068e4f227f596,Add Method Modifier,f92105e9b30b495cb8771b5e3c2c9c859ef26a791
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/VelocityPageFilter.java\@Inject(required = false),2024/2/2 14:42,2006/11/16 16:32,Remove Method Annotation,b5fca66ad0f182f5d239aa9c45a9068e4f227f597,Modify Method Annotation,3395081c9011bae0458873aefd9cb4445d1355d21
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/VelocityPageFilter.java\public setVelocityManager(mgr VelocityManager) : void,2024/2/2 14:42,2006/11/16 16:32,Remove Method Annotation,b5fca66ad0f182f5d239aa9c45a9068e4f227f597,Modify Method Annotation,3395081c9011bae0458873aefd9cb4445d1355d21
