element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\converter : EdmmConverter,2023/2/16 14:31,2023/1/16 20:48,Change Variable Type,bbe59aeea4ab2a37c1fb4d6b90f29e72f3a4e2c411,Rename Variable,20277f5ee449e6560e3c0d431215a3e237c84ddb3
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\public getEdmmEntityGraph(element TServiceTemplate, useAbsolutPaths boolean) : EntityGraph",2023/2/16 14:31,2023/1/16 20:48,Change Variable Type,bbe59aeea4ab2a37c1fb4d6b90f29e72f3a4e2c411,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\public getEdmmEntityGraph(element TServiceTemplate, useAbsolutPaths boolean) : EntityGraph",2023/2/16 14:31,2023/1/16 20:48,Change Variable Type,bbe59aeea4ab2a37c1fb4d6b90f29e72f3a4e2c411,Rename Variable,20277f5ee449e6560e3c0d431215a3e237c84ddb3
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\public getEdmmEntityGraph(element TServiceTemplate, useAbsolutPaths boolean) : EntityGraph",2023/2/16 14:31,2021/1/25 23:49,Change Variable Type,bbe59aeea4ab2a37c1fb4d6b90f29e72f3a4e2c411,Extract Method,7bece2b09531e12c14082f292e13b6f943a0c5320
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\converter : EdmmConverter,2023/2/16 14:31,2023/1/16 20:48,Change Variable Type,bbe59aeea4ab2a37c1fb4d6b90f29e72f3a4e2c412,Rename Variable,20277f5ee449e6560e3c0d431215a3e237c84ddb3
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\private createEdmmConverter(useAbsolutPaths boolean) : EdmmConverter,2023/2/16 14:31,2023/1/16 20:48,Change Return Type,bbe59aeea4ab2a37c1fb4d6b90f29e72f3a4e2c413,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/resources/MainResource.java\public importCSAR(uploadedInputStream InputStream, fileDetail FormDataContentDisposition, overwrite Boolean, validate Boolean, uriInfo UriInfo) : Response",2023/2/16 14:31,2018/7/10 0:14,Add Parameter,bbe59aeea4ab2a37c1fb4d6b90f29e72f3a4e2c414,Add Parameter,c636681d3939334b38eb473c7f2767c91069ca3d2
org.eclipse.winery.repository/src/main/java/org/eclipse/winery/repository/backend/consistencycheck/ConsistencyChecker.java\null,2023/1/17 22:36,2018/7/12 7:03,Inline Method,ce9defe63814c6748b116ea38f926d16521882790,Extract Variable,79ce92205bfed882b79e29105bc36aa78d2647423
org.eclipse.winery.repository/src/main/java/org/eclipse/winery/repository/backend/consistencycheck/ConsistencyChecker.java\private checkPropertiesValidation(id DefinitionsChildId) : void,2023/1/17 22:36,2018/7/11 2:31,Inline Method,ce9defe63814c6748b116ea38f926d16521882790,Remove Parameter,0b8d1202a5294c8dbbe6a35ae52795f0e69356cf156
org.eclipse.winery.repository/src/main/java/org/eclipse/winery/repository/backend/consistencycheck/ConsistencyChecker.java\private checkPropertiesValidation(id DefinitionsChildId) : void,2023/1/17 22:36,2018/7/11 2:31,Inline Method,ce9defe63814c6748b116ea38f926d16521882790,Remove Parameter,0b8d1202a5294c8dbbe6a35ae52795f0e69356cf157
org.eclipse.winery.repository/src/main/java/org/eclipse/winery/repository/backend/consistencycheck/ConsistencyChecker.java\private checkPropertiesValidation(id DefinitionsChildId) : void,2023/1/17 22:36,2018/7/11 2:31,Inline Method,ce9defe63814c6748b116ea38f926d16521882790,Remove Method Modifier,0b8d1202a5294c8dbbe6a35ae52795f0e69356cf158
org.eclipse.winery.repository/src/main/java/org/eclipse/winery/repository/backend/consistencycheck/ConsistencyChecker.java\private checkPropertiesValidation(id DefinitionsChildId) : void,2023/1/17 22:36,2018/7/11 2:31,Add Parameter,ce9defe63814c6748b116ea38f926d16521882791,Remove Parameter,0b8d1202a5294c8dbbe6a35ae52795f0e69356cf156
org.eclipse.winery.repository/src/main/java/org/eclipse/winery/repository/backend/consistencycheck/ConsistencyChecker.java\private checkPropertiesValidation(id DefinitionsChildId) : void,2023/1/17 22:36,2018/7/11 2:31,Add Parameter,ce9defe63814c6748b116ea38f926d16521882791,Remove Parameter,0b8d1202a5294c8dbbe6a35ae52795f0e69356cf157
org.eclipse.winery.repository/src/main/java/org/eclipse/winery/repository/backend/consistencycheck/ConsistencyChecker.java\private checkPropertiesValidation(id DefinitionsChildId) : void,2023/1/17 22:36,2018/7/11 2:31,Add Parameter,ce9defe63814c6748b116ea38f926d16521882791,Remove Method Modifier,0b8d1202a5294c8dbbe6a35ae52795f0e69356cf158
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\public getEdmmEntityGraph(element TServiceTemplate, useAbsolutPaths boolean) : EntityGraph",2023/1/16 20:48,2021/1/25 23:49,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1,Extract Method,7bece2b09531e12c14082f292e13b6f943a0c5320
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2022/4/12 14:22,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1,Extract And Move Method,e9f9ea6c24f9ecf4ecb5b97832b92a46a3bbc1d52
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2021/1/25 23:49,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1,Extract Method,7bece2b09531e12c14082f292e13b6f943a0c5320
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2019/10/4 17:07,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1,Inline Method,ad51eba4dbf0db0798cdcd3a9f4563b1c6a3cfb20
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2019/10/4 17:07,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1,Inline Method,ad51eba4dbf0db0798cdcd3a9f4563b1c6a3cfb21
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2018/4/18 16:30,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1,Extract Variable,be2287fc5f96c5f9879e638a9be3613da27c442014
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2017/9/28 19:30,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb1,Extract Method,ba11c9164a3f1c60763d1a0ab490a07d963610b50
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\public getEdmmModel(element TServiceTemplate, useAbsolutPaths boolean) : Response",2023/1/16 20:48,2021/1/25 23:49,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb2,Extract Method,7bece2b09531e12c14082f292e13b6f943a0c5320
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\public getEdmmModel(element TServiceTemplate, useAbsolutPaths boolean) : Response",2023/1/16 20:48,2020/4/4 13:46,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb2,Add Parameter,37af581e3ea52cb32f64b5e69c2a579e126ed0182
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2022/4/12 14:22,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb2,Extract And Move Method,e9f9ea6c24f9ecf4ecb5b97832b92a46a3bbc1d52
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2021/1/25 23:49,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb2,Extract Method,7bece2b09531e12c14082f292e13b6f943a0c5320
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2019/10/4 17:07,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb2,Inline Method,ad51eba4dbf0db0798cdcd3a9f4563b1c6a3cfb20
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2019/10/4 17:07,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb2,Inline Method,ad51eba4dbf0db0798cdcd3a9f4563b1c6a3cfb21
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2018/4/18 16:30,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb2,Extract Variable,be2287fc5f96c5f9879e638a9be3613da27c442014
org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\null,2023/1/16 20:48,2017/9/28 19:30,Extract Method,20277f5ee449e6560e3c0d431215a3e237c84ddb2,Extract Method,ba11c9164a3f1c60763d1a0ab490a07d963610b50
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/RestUtils.java\public getEdmmEntityGraph(element TServiceTemplate, useAbsolutPaths boolean) : EntityGraph",2023/1/16 20:48,2021/1/25 23:49,Rename Variable,20277f5ee449e6560e3c0d431215a3e237c84ddb3,Extract Method,7bece2b09531e12c14082f292e13b6f943a0c5320
org.eclipse.winery.generators.ia/src/test/java/org/eclipse/winery/generators/ia/GeneratorTest.java\org.eclipse.winery.generators.ia.GeneratorTest,2023/1/13 1:20,2017/9/25 7:49,Rename Class,49a4536e2b523c798ce11e3939ea0d45f5e85a240,Rename Class,8d048fdc305983b89a1bdc89690158d6ce5c59de0
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/resources/artifacts/GenericArtifactsResource.java\public generateArtifact(apiData GenerateArtifactApiData, uriInfo UriInfo) : Response",2023/1/13 1:20,2021/8/6 20:39,Change Return Type,49a4536e2b523c798ce11e3939ea0d45f5e85a243,Extract Variable,d3030dd5c70b56039a4362b7ffc34b31f5d922c7797
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/resources/artifacts/GenericArtifactsResource.java\public generateArtifact(apiData GenerateArtifactApiData, uriInfo UriInfo) : Response",2023/1/13 1:20,2021/8/6 20:39,Change Return Type,49a4536e2b523c798ce11e3939ea0d45f5e85a243,Change Variable Type,d3030dd5c70b56039a4362b7ffc34b31f5d922c7798
"org.eclipse.winery.repository.rest/src/main/java/org/eclipse/winery/repository/rest/resources/artifacts/GenericArtifactsResource.java\public generateArtifact(apiData GenerateArtifactApiData, uriInfo UriInfo) : Response",2023/1/13 1:20,2021/8/6 20:39,Change Return Type,49a4536e2b523c798ce11e3939ea0d45f5e85a243,Rename Variable,d3030dd5c70b56039a4362b7ffc34b31f5d922c7799
