name,number
Add Method Annotation,1867
Localize Parameter,6
Move And Rename Method,15
Remove Parameter Modifier,333
Move Source Folder,4
Pull Up Attribute,28
Move Attribute,15
Move And Rename Class,5
Replace Attribute With Variable,1
Move Class,36
Extract Variable,86
Inline Variable,81
Rename Method,450
Reorder Parameter,6
Change Method Access Modifier,157
Remove Parameter Annotation,2
Replace Variable With Attribute,3
Extract And Move Method,62
Replace Anonymous With Lambda,5
Rename Package,1
Add Parameter Modifier,2349
Remove Method Annotation,268
Encapsulate Attribute,26
Remove Method Modifier,20
Move And Rename Attribute,5
Change Variable Type,521
Replace Loop With Pipeline,28
Add Thrown Exception Type,184
Parameterize Attribute,3
Add Variable Modifier,3068
Add Parameter,159
Rename Variable,234
Inline Method,44
Add Attribute Modifier,148
Add Attribute Annotation,53
Extract Superclass,18
Rename Attribute,126
Change Class Access Modifier,11
Change Type Declaration Kind,1
Modify Method Annotation,79
Add Parameter Annotation,4
Change Parameter Type,222
Remove Class Modifier,18
Remove Variable Modifier,735
Rename Class,96
Extract Attribute,33
Change Thrown Exception Type,25
Remove Parameter,44
Merge Variable,1
Add Class Annotation,24
Change Attribute Access Modifier,42
Parameterize Variable,32
Remove Attribute Modifier,84
Modify Class Annotation,3
Add Class Modifier,72
Add Variable Annotation,60
Move And Inline Method,3
Move Method,116
Add Method Modifier,52
Extract Class,6
Extract Method,349
Pull Up Method,52
Inline Attribute,5
Change Return Type,131
Remove Attribute Annotation,31
Remove Thrown Exception Type,300
Extract Interface,1
Change Attribute Type,196
Remove Variable Annotation,17
Remove Class Annotation,8
Rename Parameter,556
