name,number
Add Method Annotation,187
Merge Attribute,4
Localize Parameter,4
Move And Rename Method,31
Remove Parameter Modifier,11
Extract Subclass,4
Collapse Hierarchy,1
Move Source Folder,8
Pull Up Attribute,44
Move Attribute,82
Move Class,536
Replace Attribute With Variable,6
Move And Rename Class,32
Extract Variable,96
Inline Variable,19
Split Attribute,1
Rename Method,154
Split Package,4
Reorder Parameter,1
Change Method Access Modifier,161
Replace Variable With Attribute,8
Extract And Move Method,38
Replace Anonymous With Lambda,37
Rename Package,6
Add Parameter Modifier,25
Push Down Attribute,16
Remove Method Annotation,130
Merge Parameter,1
Encapsulate Attribute,39
Remove Method Modifier,25
Move And Rename Attribute,4
Change Variable Type,284
Add Thrown Exception Type,105
Parameterize Attribute,3
Push Down Method,30
Add Variable Modifier,38
Add Parameter,269
Inline Method,27
Rename Variable,154
Add Attribute Modifier,45
Merge Package,5
Add Attribute Annotation,29
Rename Attribute,102
Extract Superclass,11
Change Class Access Modifier,46
Change Type Declaration Kind,6
Modify Method Annotation,58
Move Package,1
Change Parameter Type,262
Remove Class Modifier,18
Extract Attribute,9
Remove Variable Modifier,18
Rename Class,61
Remove Parameter,101
Change Thrown Exception Type,37
Add Class Annotation,94
Change Attribute Access Modifier,74
Parameterize Variable,12
Remove Attribute Modifier,47
Modify Class Annotation,9
Add Class Modifier,4
Move And Inline Method,10
Modify Attribute Annotation,3
Move Method,166
Add Method Modifier,45
Extract Class,33
Split Parameter,1
Extract Method,202
Pull Up Method,55
Change Return Type,476
Remove Attribute Annotation,2
Remove Thrown Exception Type,55
Merge Class,1
Extract Interface,27
Remove Class Annotation,39
Change Attribute Type,232
Rename Parameter,165
