name,number
Add Method Annotation,9
Modify Method Annotation,1
Move And Rename Method,1
Move Package,1
Change Parameter Type,8
Move Source Folder,7
Pull Up Attribute,7
Rename Class,7
Move Attribute,26
Extract Attribute,2
Move Class,11
Replace Attribute With Variable,3
Move And Rename Class,3
Change Thrown Exception Type,1
Remove Parameter,4
Extract Variable,12
Inline Variable,2
Rename Method,26
Add Class Annotation,6
Change Attribute Access Modifier,5
Change Method Access Modifier,17
Replace Variable With Attribute,3
Remove Attribute Modifier,1
Modify Class Annotation,5
Add Variable Annotation,2
Add Class Modifier,1
Move Method,16
Rename Package,3
Add Method Modifier,1
Extract Class,3
Remove Method Annotation,1
Change Variable Type,19
Extract Method,22
Add Thrown Exception Type,1
Parameterize Attribute,1
Pull Up Method,10
Inline Attribute,1
Add Parameter,9
Rename Variable,19
Inline Method,6
Add Attribute Modifier,2
Change Return Type,4
Remove Thrown Exception Type,4
Extract Superclass,4
Rename Attribute,14
Change Class Access Modifier,4
Change Attribute Type,8
Rename Parameter,9
