name,number
Add Method Annotation,110
Localize Parameter,43
Move And Rename Method,71
Remove Parameter Modifier,7
Extract Subclass,9
Move Source Folder,37
Pull Up Attribute,56
Move Attribute,151
Move Class,283
Move And Rename Class,47
Replace Attribute With Variable,29
Extract Variable,291
Inline Variable,97
Rename Method,434
Modify Parameter Annotation,55
Reorder Parameter,15
Split Package,4
Change Method Access Modifier,406
Remove Parameter Annotation,84
Replace Variable With Attribute,15
Extract And Move Method,107
Rename Package,13
Add Parameter Modifier,76
Push Down Attribute,40
Remove Method Annotation,183
Merge Parameter,6
Encapsulate Attribute,57
Remove Method Modifier,45
Move And Rename Attribute,20
Change Variable Type,970
Split Variable,1
Add Thrown Exception Type,321
Parameterize Attribute,15
Push Down Method,36
Add Variable Modifier,42
Add Parameter,956
Rename Variable,498
Inline Method,108
Add Attribute Modifier,153
Add Attribute Annotation,23
Extract Superclass,16
Rename Attribute,274
Change Class Access Modifier,19
Change Type Declaration Kind,6
Modify Method Annotation,327
Add Parameter Annotation,51
Move Package,5
Change Parameter Type,386
Remove Class Modifier,9
Extract Attribute,84
Remove Variable Modifier,17
Rename Class,74
Remove Parameter,467
Change Thrown Exception Type,516
Merge Variable,10
Add Class Annotation,53
Change Attribute Access Modifier,624
Parameterize Variable,101
Remove Attribute Modifier,45
Modify Class Annotation,163
Add Variable Annotation,4
Add Class Modifier,64
Move And Inline Method,64
Modify Attribute Annotation,44
Move Method,313
Add Method Modifier,120
Extract Class,24
Split Parameter,3
Extract Method,371
Replace Attribute,6
Pull Up Method,60
Inline Attribute,1
Change Return Type,489
Remove Attribute Annotation,15
Remove Thrown Exception Type,262
Merge Class,1
Change Attribute Type,142
Remove Class Annotation,17
Remove Variable Annotation,2
Rename Parameter,353
