name,number
Add Method Annotation,2462
Merge Attribute,43
Localize Parameter,135
Move And Rename Method,176
Remove Parameter Modifier,655
Extract Subclass,4
Move Source Folder,50
Pull Up Attribute,27
Move Attribute,474
Move And Rename Class,151
Move Class,3373
Replace Attribute With Variable,66
Extract Variable,685
Inline Variable,230
Split Attribute,50
Rename Method,1388
Modify Parameter Annotation,145
Reorder Parameter,36
Split Package,16
Change Method Access Modifier,830
Remove Parameter Annotation,1004
Replace Variable With Attribute,70
Extract And Move Method,219
Replace Anonymous With Lambda,6
Rename Package,9
Add Parameter Modifier,3191
Push Down Attribute,34
Remove Method Annotation,1195
Merge Parameter,95
Remove Method Modifier,60
Encapsulate Attribute,985
Move And Rename Attribute,23
Change Variable Type,2671
Split Variable,25
Replace Loop With Pipeline,1
Add Thrown Exception Type,73
Parameterize Attribute,42
Push Down Method,8
Add Variable Modifier,4074
Add Parameter,6895
Rename Variable,1491
Inline Method,120
Add Attribute Modifier,1393
Merge Package,12
Add Attribute Annotation,4721
Rename Attribute,1061
Extract Superclass,15
Change Class Access Modifier,22
Change Type Declaration Kind,5
Modify Method Annotation,1574
Add Parameter Annotation,1981
Move Package,33
Change Parameter Type,2377
Remove Class Modifier,73
Remove Variable Modifier,579
Extract Attribute,569
Rename Class,238
Remove Parameter,1900
Merge Variable,51
Change Thrown Exception Type,11
Add Class Annotation,3025
Change Attribute Access Modifier,400
Parameterize Variable,260
Remove Attribute Modifier,1758
Modify Class Annotation,458
Add Class Modifier,1004
Add Variable Annotation,9
Split Class,2
Move And Inline Method,64
Modify Attribute Annotation,683
Move Method,733
Add Method Modifier,49
Extract Class,136
Split Parameter,66
Extract Method,879
Replace Attribute,1
Pull Up Method,31
Inline Attribute,1
Change Return Type,1565
Remove Attribute Annotation,5266
Remove Thrown Exception Type,80
Merge Class,6
Extract Interface,2
Remove Class Annotation,1380
Change Attribute Type,2326
Remove Variable Annotation,19
Rename Parameter,1501
