name,number
Add Method Annotation,2402
Merge Attribute,3
Localize Parameter,20
Move And Rename Method,32
Extract Subclass,5
Remove Parameter Modifier,5
Move Source Folder,25
Pull Up Attribute,24
Move Attribute,59
Move Class,206
Move And Rename Class,28
Replace Attribute With Variable,9
Extract Variable,120
Inline Variable,50
Split Attribute,4
Rename Method,602
Reorder Parameter,19
Change Method Access Modifier,294
Replace Variable With Attribute,43
Extract And Move Method,62
Replace Anonymous With Lambda,1
Rename Package,2
Add Parameter Modifier,33
Push Down Attribute,8
Remove Method Annotation,59
Merge Parameter,5
Encapsulate Attribute,56
Move And Rename Attribute,29
Remove Method Modifier,45
Change Variable Type,1192
Add Thrown Exception Type,121
Parameterize Attribute,8
Push Down Method,37
Add Variable Modifier,112
Add Parameter,375
Rename Variable,843
Inline Method,29
Add Attribute Modifier,90
Add Attribute Annotation,34
Rename Attribute,308
Extract Superclass,41
Change Class Access Modifier,54
Change Type Declaration Kind,5
Modify Method Annotation,1
Move Package,4
Remove Class Modifier,67
Change Parameter Type,417
Rename Class,192
Extract Attribute,53
Remove Variable Modifier,16
Remove Parameter,113
Change Thrown Exception Type,138
Merge Variable,5
Add Class Annotation,63
Change Attribute Access Modifier,74
Parameterize Variable,25
Remove Attribute Modifier,21
Add Class Modifier,28
Add Variable Annotation,1
Split Class,1
Move And Inline Method,4
Modify Attribute Annotation,1
Move Method,222
Add Method Modifier,68
Extract Class,19
Split Parameter,4
Extract Method,251
Replace Attribute,2
Pull Up Method,44
Inline Attribute,1
Change Return Type,276
Remove Attribute Annotation,7
Merge Class,2
Remove Thrown Exception Type,42
Extract Interface,6
Change Attribute Type,200
Remove Class Annotation,3
Rename Parameter,483
