name,number
Add Method Annotation,237
Merge Attribute,5
Localize Parameter,3
Move And Rename Method,5
Remove Parameter Modifier,1
Extract Subclass,18
Move Source Folder,10
Pull Up Attribute,8
Move Attribute,46
Move Class,19
Replace Attribute With Variable,2
Move And Rename Class,1
Extract Variable,75
Split Attribute,2
Inline Variable,24
Rename Method,62
Reorder Parameter,2
Change Method Access Modifier,48
Replace Variable With Attribute,5
Extract And Move Method,64
Rename Package,1
Push Down Attribute,1
Add Parameter Modifier,36
Remove Method Annotation,170
Merge Parameter,6
Encapsulate Attribute,30
Remove Method Modifier,5
Move And Rename Attribute,84
Change Variable Type,498
Replace Loop With Pipeline,1
Add Thrown Exception Type,536
Push Down Method,5
Add Variable Modifier,4
Add Parameter,116
Rename Variable,140
Inline Method,22
Add Attribute Modifier,49
Add Attribute Annotation,35
Rename Attribute,34
Extract Superclass,1
Change Class Access Modifier,8
Modify Method Annotation,65
Change Parameter Type,234
Remove Class Modifier,1
Rename Class,19
Extract Attribute,3
Remove Variable Modifier,11
Remove Parameter,147
Merge Variable,5
Change Thrown Exception Type,22
Add Class Annotation,5
Change Attribute Access Modifier,66
Parameterize Variable,29
Remove Attribute Modifier,8
Modify Class Annotation,2
Add Variable Annotation,36
Add Class Modifier,3
Move And Inline Method,6
Move Method,30
Add Method Modifier,23
Extract Class,17
Split Parameter,2
Extract Method,98
Pull Up Method,17
Change Return Type,333
Remove Attribute Annotation,1
Remove Thrown Exception Type,394
Extract Interface,4
Change Attribute Type,310
Remove Class Annotation,17
Remove Variable Annotation,7
Rename Parameter,97
