name,number
Add Method Annotation,393
Merge Attribute,5
Localize Parameter,14
Move And Rename Method,53
Remove Parameter Modifier,150
Extract Subclass,4
Move Source Folder,63
Pull Up Attribute,94
Move Attribute,119
Move Class,1131
Replace Attribute With Variable,5
Move And Rename Class,42
Extract Variable,218
Inline Variable,64
Split Attribute,2
Modify Parameter Annotation,16
Rename Method,354
Split Package,3
Change Method Access Modifier,308
Replace Variable With Attribute,19
Extract And Move Method,68
Replace Anonymous With Lambda,2
Rename Package,16
Add Parameter Modifier,106
Push Down Attribute,14
Remove Method Annotation,67
Merge Parameter,6
Encapsulate Attribute,62
Remove Method Modifier,75
Move And Rename Attribute,6
Change Variable Type,776
Split Variable,1
Replace Loop With Pipeline,3
Add Thrown Exception Type,293
Parameterize Attribute,9
Push Down Method,28
Add Variable Modifier,151
Add Parameter,565
Inline Method,46
Rename Variable,302
Add Attribute Modifier,230
Merge Package,1
Add Attribute Annotation,15
Extract Superclass,31
Rename Attribute,111
Change Class Access Modifier,73
Change Type Declaration Kind,5
Modify Method Annotation,390
Move Package,4
Add Parameter Annotation,4
Change Parameter Type,335
Remove Class Modifier,18
Remove Variable Modifier,53
Rename Class,111
Extract Attribute,100
Remove Parameter,146
Change Thrown Exception Type,58
Merge Variable,4
Add Class Annotation,71
Change Attribute Access Modifier,290
Parameterize Variable,63
Remove Attribute Modifier,175
Modify Class Annotation,49
Add Variable Annotation,4
Add Class Modifier,36
Move And Inline Method,5
Move Method,182
Add Method Modifier,107
Extract Class,17
Split Parameter,4
Extract Method,421
Replace Attribute,1
Pull Up Method,123
Change Return Type,308
Remove Attribute Annotation,1
Remove Thrown Exception Type,220
Merge Class,2
Extract Interface,4
Change Attribute Type,252
Remove Class Annotation,12
Remove Variable Annotation,1
Rename Parameter,268
