name,number
Add Method Annotation,152
Merge Attribute,4
Localize Parameter,27
Move And Rename Method,31
Remove Parameter Modifier,3
Extract Subclass,2
Move Source Folder,18
Pull Up Attribute,40
Move Attribute,126
Replace Attribute With Variable,14
Move Class,516
Move And Rename Class,32
Extract Variable,236
Inline Variable,87
Split Attribute,2
Rename Method,489
Modify Parameter Annotation,253
Reorder Parameter,8
Split Package,8
Change Method Access Modifier,325
Remove Parameter Annotation,72
Replace Variable With Attribute,15
Extract And Move Method,94
Replace Anonymous With Lambda,11
Rename Package,8
Add Parameter Modifier,44
Push Down Attribute,7
Remove Method Annotation,154
Merge Parameter,6
Remove Method Modifier,80
Move And Rename Attribute,2
Encapsulate Attribute,24
Change Variable Type,1308
Split Variable,2
Replace Loop With Pipeline,4
Add Thrown Exception Type,386
Parameterize Attribute,15
Push Down Method,26
Add Variable Modifier,21
Add Parameter,868
Rename Variable,401
Inline Method,55
Add Attribute Modifier,140
Merge Package,10
Add Attribute Annotation,268
Rename Attribute,226
Extract Superclass,20
Change Class Access Modifier,32
Change Type Declaration Kind,13
Modify Method Annotation,553
Add Parameter Annotation,90
Move Package,9
Change Parameter Type,887
Remove Class Modifier,19
Rename Class,124
Extract Attribute,18
Remove Variable Modifier,17
Change Thrown Exception Type,658
Remove Parameter,254
Merge Variable,8
Add Class Annotation,324
Change Attribute Access Modifier,222
Parameterize Variable,49
Remove Attribute Modifier,103
Modify Class Annotation,63
Add Class Modifier,31
Move And Inline Method,23
Modify Attribute Annotation,1
Move Method,228
Add Method Modifier,88
Extract Class,27
Split Parameter,4
Extract Method,426
Replace Attribute,3
Pull Up Method,61
Inline Attribute,4
Change Return Type,589
Remove Attribute Annotation,111
Remove Thrown Exception Type,363
Merge Class,1
Extract Interface,7
Change Attribute Type,236
Remove Class Annotation,19
Rename Parameter,442
