name,number
Add Method Annotation,1140
Merge Attribute,1
Localize Parameter,17
Move And Rename Method,56
Extract Subclass,12
Remove Parameter Modifier,145
Collapse Hierarchy,2
Move Source Folder,20
Pull Up Attribute,99
Move Attribute,203
Move Class,395
Move And Rename Class,28
Replace Attribute With Variable,5
Extract Variable,136
Inline Variable,39
Split Attribute,4
Rename Method,458
Reorder Parameter,4
Split Package,2
Change Method Access Modifier,349
Remove Parameter Annotation,5
Replace Variable With Attribute,32
Extract And Move Method,55
Rename Package,7
Push Down Attribute,30
Add Parameter Modifier,204
Remove Method Annotation,183
Merge Parameter,4
Encapsulate Attribute,51
Remove Method Modifier,89
Move And Rename Attribute,3
Change Variable Type,684
Add Thrown Exception Type,84
Parameterize Attribute,2
Push Down Method,157
Add Variable Modifier,145
Add Parameter,275
Rename Variable,190
Inline Method,34
Add Attribute Modifier,199
Merge Package,2
Add Attribute Annotation,6
Rename Attribute,161
Extract Superclass,27
Change Class Access Modifier,69
Change Type Declaration Kind,19
Modify Method Annotation,18
Add Parameter Annotation,1
Move Package,3
Change Parameter Type,701
Remove Class Modifier,26
Remove Variable Modifier,78
Rename Class,137
Extract Attribute,28
Remove Parameter,264
Change Thrown Exception Type,13
Merge Variable,2
Add Class Annotation,12
Change Attribute Access Modifier,75
Parameterize Variable,24
Remove Attribute Modifier,102
Add Class Modifier,31
Add Variable Annotation,1
Split Class,2
Move And Inline Method,14
Move Method,421
Add Method Modifier,350
Extract Class,34
Split Parameter,5
Extract Method,158
Pull Up Method,268
Inline Attribute,1
Change Return Type,697
Remove Attribute Annotation,6
Remove Thrown Exception Type,151
Merge Class,5
Extract Interface,15
Change Attribute Type,433
Remove Class Annotation,2
Rename Parameter,292
