name,number
Add Method Annotation,1035
Merge Attribute,2
Localize Parameter,42
Move And Rename Method,22
Remove Parameter Modifier,13
Extract Subclass,2
Collapse Hierarchy,7
Move Source Folder,8
Pull Up Attribute,98
Move Attribute,229
Replace Attribute With Variable,23
Move And Rename Class,27
Move Class,133
Extract Variable,265
Inline Variable,105
Split Attribute,3
Rename Method,156
Reorder Parameter,1
Split Package,2
Change Method Access Modifier,135
Replace Variable With Attribute,16
Extract And Move Method,27
Replace Anonymous With Lambda,8
Rename Package,8
Add Parameter Modifier,22
Push Down Attribute,3
Remove Method Annotation,59
Merge Parameter,6
Remove Method Modifier,140
Encapsulate Attribute,40
Move And Rename Attribute,1
Change Variable Type,969
Add Thrown Exception Type,223
Parameterize Attribute,9
Push Down Method,6
Add Variable Modifier,128
Add Parameter,530
Rename Variable,329
Inline Method,31
Add Attribute Modifier,91
Merge Package,2
Add Attribute Annotation,29
Rename Attribute,221
Extract Superclass,14
Change Class Access Modifier,24
Change Type Declaration Kind,4
Modify Method Annotation,2
Move Package,3
Change Parameter Type,866
Remove Class Modifier,16
Extract Attribute,24
Rename Class,24
Remove Variable Modifier,32
Change Thrown Exception Type,37
Remove Parameter,272
Merge Variable,9
Add Class Annotation,26
Change Attribute Access Modifier,275
Parameterize Variable,49
Remove Attribute Modifier,175
Modify Class Annotation,1
Add Variable Annotation,70
Add Class Modifier,5
Move And Inline Method,14
Move Method,157
Add Method Modifier,54
Extract Class,37
Split Parameter,2
Extract Method,197
Pull Up Method,41
Inline Attribute,4
Change Return Type,366
Remove Attribute Annotation,1
Remove Thrown Exception Type,70
Merge Class,5
Extract Interface,11
Change Attribute Type,732
Remove Class Annotation,1
Rename Parameter,334
