name,number
Add Method Annotation,520
Merge Attribute,7
Localize Parameter,90
Move And Rename Method,136
Extract Subclass,12
Remove Parameter Modifier,28
Move Source Folder,22
Pull Up Attribute,277
Move Attribute,306
Move Class,332
Move And Rename Class,37
Replace Attribute With Variable,84
Extract Variable,805
Inline Variable,335
Split Attribute,11
Rename Method,681
Reorder Parameter,30
Split Package,2
Change Method Access Modifier,673
Remove Parameter Annotation,8
Replace Variable With Attribute,56
Extract And Move Method,303
Rename Package,9
Add Parameter Modifier,165
Push Down Attribute,14
Remove Method Annotation,271
Merge Parameter,32
Remove Method Modifier,108
Encapsulate Attribute,166
Move And Rename Attribute,167
Change Variable Type,2254
Split Variable,2
Add Thrown Exception Type,270
Parameterize Attribute,34
Push Down Method,248
Add Variable Modifier,110
Add Parameter,2518
Inline Method,123
Rename Variable,1008
Add Attribute Modifier,326
Add Attribute Annotation,40
Rename Attribute,502
Extract Superclass,92
Change Class Access Modifier,71
Change Type Declaration Kind,6
Modify Method Annotation,209
Add Parameter Annotation,13
Move Package,6
Change Parameter Type,1229
Remove Class Modifier,54
Remove Variable Modifier,58
Rename Class,223
Extract Attribute,23
Change Thrown Exception Type,78
Remove Parameter,780
Merge Variable,17
Add Class Annotation,684
Change Attribute Access Modifier,499
Parameterize Variable,171
Remove Attribute Modifier,383
Modify Class Annotation,100
Add Class Modifier,91
Add Variable Annotation,20
Split Class,2
Move And Inline Method,86
Modify Attribute Annotation,3
Move Method,850
Add Method Modifier,468
Extract Class,86
Split Parameter,17
Extract Method,923
Replace Attribute,3
Pull Up Method,465
Inline Attribute,1
Change Return Type,944
Remove Attribute Annotation,11
Remove Thrown Exception Type,133
Merge Class,3
Extract Interface,11
Change Attribute Type,595
Remove Class Annotation,310
Remove Variable Annotation,24
Rename Parameter,654
