name,number
Add Method Annotation,508
Merge Attribute,4
Localize Parameter,49
Move And Rename Method,78
Remove Parameter Modifier,11
Extract Subclass,5
Move Source Folder,13
Pull Up Attribute,132
Move Attribute,242
Move And Rename Class,60
Replace Attribute With Variable,52
Move Class,402
Extract Variable,449
Inline Variable,158
Split Attribute,4
Rename Method,789
Modify Parameter Annotation,26
Reorder Parameter,9
Change Method Access Modifier,338
Remove Parameter Annotation,5
Replace Variable With Attribute,62
Extract And Move Method,85
Replace Anonymous With Lambda,18
Rename Package,4
Push Down Attribute,30
Add Parameter Modifier,66
Remove Method Annotation,238
Merge Parameter,21
Encapsulate Attribute,85
Remove Method Modifier,68
Move And Rename Attribute,4
Change Variable Type,1455
Replace Loop With Pipeline,1
Add Thrown Exception Type,114
Parameterize Attribute,20
Push Down Method,139
Add Variable Modifier,174
Add Parameter,1147
Rename Variable,831
Inline Method,64
Add Attribute Modifier,234
Merge Package,1
Add Attribute Annotation,66
Rename Attribute,294
Extract Superclass,22
Change Class Access Modifier,50
Change Type Declaration Kind,1
Modify Method Annotation,484
Add Parameter Annotation,14
Move Package,7
Change Parameter Type,756
Remove Class Modifier,22
Remove Variable Modifier,42
Rename Class,84
Extract Attribute,45
Remove Parameter,461
Merge Variable,9
Change Thrown Exception Type,14
Add Class Annotation,159
Change Attribute Access Modifier,366
Parameterize Variable,88
Remove Attribute Modifier,707
Modify Class Annotation,95
Add Class Modifier,29
Add Variable Annotation,5
Move And Inline Method,35
Modify Attribute Annotation,84
Move Method,281
Add Method Modifier,91
Extract Class,43
Split Parameter,4
Extract Method,489
Replace Attribute,2
Pull Up Method,219
Inline Attribute,4
Change Return Type,566
Remove Attribute Annotation,5
Remove Thrown Exception Type,69
Merge Class,1
Extract Interface,4
Change Attribute Type,634
Remove Class Annotation,372
Remove Variable Annotation,40
Rename Parameter,616
