name,number
Add Method Annotation,253
Merge Attribute,1
Localize Parameter,24
Move And Rename Method,67
Remove Parameter Modifier,5
Extract Subclass,2
Collapse Hierarchy,4
Move Source Folder,19
Pull Up Attribute,85
Move Attribute,134
Move Class,221
Move And Rename Class,43
Replace Attribute With Variable,13
Extract Variable,335
Split Attribute,13
Inline Variable,90
Rename Method,419
Modify Parameter Annotation,3
Reorder Parameter,11
Split Package,1
Change Method Access Modifier,271
Replace Variable With Attribute,30
Extract And Move Method,73
Replace Anonymous With Lambda,25
Rename Package,10
Push Down Attribute,1
Add Parameter Modifier,6
Merge Parameter,5
Remove Method Annotation,136
Encapsulate Attribute,54
Remove Method Modifier,42
Move And Rename Attribute,3
Change Variable Type,1513
Split Variable,5
Replace Loop With Pipeline,4
Add Thrown Exception Type,143
Parameterize Attribute,7
Push Down Method,9
Add Variable Modifier,54
Add Parameter,832
Rename Variable,640
Inline Method,53
Add Attribute Modifier,220
Merge Package,2
Add Attribute Annotation,15
Rename Attribute,294
Extract Superclass,18
Change Class Access Modifier,57
Change Type Declaration Kind,6
Modify Method Annotation,37
Add Parameter Annotation,4
Move Package,7
Change Parameter Type,595
Remove Class Modifier,19
Remove Variable Modifier,20
Extract Attribute,19
Rename Class,100
Remove Parameter,320
Change Thrown Exception Type,14
Merge Variable,8
Add Class Annotation,63
Replace Pipeline With Loop,2
Change Attribute Access Modifier,237
Parameterize Variable,65
Remove Attribute Modifier,55
Modify Class Annotation,22
Add Class Modifier,23
Add Variable Annotation,3
Split Class,1
Move And Inline Method,21
Modify Attribute Annotation,13
Move Method,167
Add Method Modifier,68
Extract Class,27
Split Parameter,11
Extract Method,261
Pull Up Method,68
Change Return Type,411
Remove Attribute Annotation,7
Remove Thrown Exception Type,163
Merge Class,3
Extract Interface,8
Change Attribute Type,364
Remove Class Annotation,23
Rename Parameter,408
