name,number
Add Method Annotation,1156
Merge Attribute,2
Localize Parameter,26
Move And Rename Method,53
Remove Parameter Modifier,5
Extract Subclass,8
Move Source Folder,73
Pull Up Attribute,98
Move Attribute,88
Move Class,2907
Move And Rename Class,24
Replace Attribute With Variable,21
Extract Variable,202
Inline Variable,99
Split Attribute,1
Rename Method,408
Modify Parameter Annotation,16
Reorder Parameter,2
Change Method Access Modifier,325
Remove Parameter Annotation,3
Replace Variable With Attribute,70
Extract And Move Method,144
Replace Anonymous With Lambda,36
Rename Package,10
Add Parameter Modifier,60
Push Down Attribute,43
Remove Method Annotation,116
Merge Parameter,8
Encapsulate Attribute,85
Remove Method Modifier,147
Move And Rename Attribute,4
Change Variable Type,1345
Replace Loop With Pipeline,10
Add Thrown Exception Type,61
Parameterize Attribute,12
Push Down Method,107
Add Variable Modifier,84
Add Parameter,188
Inline Method,34
Rename Variable,321
Add Attribute Modifier,170
Add Attribute Annotation,53
Extract Superclass,29
Rename Attribute,220
Change Class Access Modifier,48
Change Type Declaration Kind,9
Modify Method Annotation,211
Move Package,7
Add Parameter Annotation,3
Change Parameter Type,674
Remove Class Modifier,17
Remove Variable Modifier,34
Extract Attribute,43
Rename Class,126
Remove Parameter,124
Change Thrown Exception Type,25
Merge Variable,8
Add Class Annotation,129
Change Attribute Access Modifier,457
Parameterize Variable,43
Remove Attribute Modifier,94
Modify Class Annotation,44
Add Class Modifier,70
Add Variable Annotation,1
Split Class,1
Move And Inline Method,147
Modify Attribute Annotation,3
Move Method,161
Add Method Modifier,39
Extract Class,16
Extract Method,448
Replace Attribute,1
Pull Up Method,236
Change Return Type,389
Remove Attribute Annotation,10
Remove Thrown Exception Type,338
Merge Class,1
Extract Interface,16
Change Attribute Type,491
Remove Class Annotation,23
Rename Parameter,294
