name,number
Add Method Annotation,349
Merge Attribute,6
Localize Parameter,19
Move And Rename Method,75
Remove Parameter Modifier,16
Extract Subclass,3
Move Source Folder,12
Pull Up Attribute,130
Move Attribute,109
Move Class,481
Move And Rename Class,32
Replace Attribute With Variable,9
Extract Variable,191
Inline Variable,76
Rename Method,483
Modify Parameter Annotation,22
Split Package,2
Reorder Parameter,2
Change Method Access Modifier,134
Remove Parameter Annotation,36
Replace Variable With Attribute,23
Extract And Move Method,54
Replace Anonymous With Lambda,14
Rename Package,7
Push Down Attribute,30
Add Parameter Modifier,94
Remove Method Annotation,155
Merge Parameter,10
Encapsulate Attribute,131
Remove Method Modifier,12
Move And Rename Attribute,1
Change Variable Type,454
Replace Loop With Pipeline,1
Add Thrown Exception Type,66
Parameterize Attribute,12
Push Down Method,45
Add Variable Modifier,19
Add Parameter,507
Rename Variable,474
Inline Method,20
Add Attribute Modifier,28
Merge Package,1
Add Attribute Annotation,114
Rename Attribute,151
Extract Superclass,21
Change Type Declaration Kind,10
Change Class Access Modifier,16
Modify Method Annotation,105
Move Package,13
Add Parameter Annotation,60
Change Parameter Type,384
Remove Class Modifier,9
Remove Variable Modifier,40
Rename Class,134
Extract Attribute,78
Remove Parameter,299
Change Thrown Exception Type,50
Merge Variable,4
Add Class Annotation,192
Replace Pipeline With Loop,1
Change Attribute Access Modifier,275
Parameterize Variable,55
Remove Attribute Modifier,35
Modify Class Annotation,178
Add Class Modifier,8
Add Variable Annotation,11
Move And Inline Method,29
Modify Attribute Annotation,40
Move Method,232
Add Method Modifier,23
Extract Class,26
Split Parameter,2
Extract Method,243
Pull Up Method,82
Change Return Type,490
Remove Attribute Annotation,205
Remove Thrown Exception Type,37
Merge Class,1
Extract Interface,8
Change Attribute Type,232
Remove Class Annotation,95
Rename Parameter,372
