name,number
Add Method Annotation,8740
Merge Attribute,3
Localize Parameter,112
Move And Rename Method,205
Remove Parameter Modifier,389
Extract Subclass,11
Collapse Hierarchy,4
Move Source Folder,133
Pull Up Attribute,195
Move Attribute,405
Move Class,3024
Move And Rename Class,164
Replace Attribute With Variable,77
Extract Variable,992
Inline Variable,350
Split Attribute,6
Rename Method,2977
Reorder Parameter,24
Split Package,5
Change Method Access Modifier,4067
Remove Parameter Annotation,6
Replace Variable With Attribute,75
Extract And Move Method,352
Replace Anonymous With Lambda,96
Rename Package,36
Add Parameter Modifier,4629
Push Down Attribute,57
Remove Method Annotation,792
Merge Parameter,26
Remove Method Modifier,789
Encapsulate Attribute,311
Move And Rename Attribute,12
Change Variable Type,5200
Split Variable,1
Replace Loop With Pipeline,1
Add Thrown Exception Type,103
Parameterize Attribute,16
Push Down Method,237
Add Variable Modifier,575
Add Parameter,1934
Rename Variable,975
Inline Method,232
Add Attribute Modifier,1121
Merge Package,5
Add Attribute Annotation,58
Extract Superclass,161
Rename Attribute,509
Change Class Access Modifier,805
Change Type Declaration Kind,15
Modify Method Annotation,67
Add Parameter Annotation,10
Move Package,50
Change Parameter Type,6643
Remove Class Modifier,241
Rename Class,509
Extract Attribute,105
Remove Variable Modifier,318
Change Thrown Exception Type,35
Remove Parameter,1173
Merge Variable,8
Add Class Annotation,260
Change Attribute Access Modifier,505
Parameterize Variable,155
Remove Attribute Modifier,268
Modify Class Annotation,8
Add Class Modifier,212
Add Variable Annotation,23
Split Class,10
Move And Inline Method,158
Modify Attribute Annotation,2
Move Method,786
Add Method Modifier,889
Extract Class,73
Split Parameter,10
Extract Method,1119
Replace Attribute,2
Pull Up Method,634
Inline Attribute,2
Change Return Type,4333
Remove Attribute Annotation,15
Remove Thrown Exception Type,218
Merge Class,13
Extract Interface,81
Remove Class Annotation,66
Change Attribute Type,2553
Remove Variable Annotation,17
Rename Parameter,1214
