name,number
Add Method Annotation,3339
Merge Attribute,5
Localize Parameter,127
Move And Rename Method,110
Remove Parameter Modifier,193
Extract Subclass,12
Collapse Hierarchy,1
Move Source Folder,132
Pull Up Attribute,118
Move Attribute,315
Move Class,2257
Move And Rename Class,111
Replace Attribute With Variable,51
Extract Variable,558
Inline Variable,201
Split Attribute,4
Rename Method,765
Split Package,6
Reorder Parameter,30
Change Method Access Modifier,699
Remove Parameter Annotation,54
Replace Variable With Attribute,82
Extract And Move Method,234
Replace Anonymous With Lambda,196
Rename Package,25
Add Parameter Modifier,7813
Push Down Attribute,35
Remove Method Annotation,809
Merge Parameter,15
Remove Method Modifier,263
Encapsulate Attribute,101
Move And Rename Attribute,25
Change Variable Type,2636
Split Variable,2
Add Thrown Exception Type,227
Parameterize Attribute,27
Push Down Method,85
Add Variable Modifier,6531
Add Parameter,922
Rename Variable,905
Inline Method,112
Add Attribute Modifier,620
Merge Package,3
Add Attribute Annotation,44
Rename Attribute,441
Extract Superclass,32
Change Class Access Modifier,111
Change Type Declaration Kind,20
Modify Method Annotation,51
Add Parameter Annotation,93
Move Package,38
Change Parameter Type,2422
Remove Class Modifier,59
Remove Variable Modifier,864
Extract Attribute,51
Rename Class,262
Remove Parameter,577
Change Thrown Exception Type,268
Merge Variable,9
Add Class Annotation,79
Change Attribute Access Modifier,539
Parameterize Variable,120
Remove Attribute Modifier,186
Modify Class Annotation,15
Add Variable Annotation,98
Add Class Modifier,154
Split Class,1
Move And Inline Method,119
Modify Attribute Annotation,5
Move Method,1056
Add Method Modifier,260
Extract Class,69
Split Parameter,7
Extract Method,561
Pull Up Method,328
Inline Attribute,6
Change Return Type,1183
Remove Attribute Annotation,28
Remove Thrown Exception Type,282
Merge Class,4
Extract Interface,40
Remove Variable Annotation,45
Change Attribute Type,781
Remove Class Annotation,59
Rename Parameter,773
