name,number
Add Method Annotation,993
Merge Attribute,4
Localize Parameter,42
Move And Rename Method,166
Remove Parameter Modifier,31
Extract Subclass,4
Collapse Hierarchy,1
Move Source Folder,24
Pull Up Attribute,124
Move Attribute,199
Move Class,1980
Replace Attribute With Variable,66
Move And Rename Class,185
Extract Variable,417
Inline Variable,154
Split Attribute,1
Rename Method,1557
Modify Parameter Annotation,4
Reorder Parameter,20
Split Package,11
Change Method Access Modifier,592
Remove Parameter Annotation,12
Replace Variable With Attribute,40
Extract And Move Method,117
Replace Anonymous With Lambda,9
Rename Package,33
Add Parameter Modifier,180
Push Down Attribute,15
Remove Method Annotation,443
Merge Parameter,7
Remove Method Modifier,62
Encapsulate Attribute,139
Move And Rename Attribute,8
Change Variable Type,2809
Split Variable,1
Replace Loop With Pipeline,1
Add Thrown Exception Type,32
Parameterize Attribute,25
Push Down Method,47
Add Variable Modifier,262
Add Parameter,726
Rename Variable,697
Inline Method,206
Add Attribute Modifier,83
Merge Package,9
Add Attribute Annotation,18
Rename Attribute,567
Extract Superclass,72
Change Class Access Modifier,69
Change Type Declaration Kind,8
Modify Method Annotation,21
Move Package,31
Add Parameter Annotation,16
Change Parameter Type,2024
Remove Class Modifier,40
Rename Class,555
Remove Variable Modifier,17
Extract Attribute,57
Merge Variable,5
Remove Parameter,460
Change Thrown Exception Type,36
Add Class Annotation,20
Change Attribute Access Modifier,244
Parameterize Variable,83
Remove Attribute Modifier,55
Modify Class Annotation,170
Add Class Modifier,37
Add Variable Annotation,15
Split Class,8
Move And Inline Method,78
Modify Attribute Annotation,4
Move Method,755
Add Method Modifier,211
Extract Class,51
Split Parameter,3
Extract Method,855
Pull Up Method,380
Inline Attribute,1
Change Return Type,1471
Remove Attribute Annotation,9
Remove Thrown Exception Type,29
Merge Class,8
Extract Interface,21
Change Attribute Type,965
Remove Variable Annotation,18
Remove Class Annotation,10
Rename Parameter,638
