name,number
Move Class,2958
Change Method Access Modifier,2620
Change Variable Type,2405
Change Return Type,1147
Rename Method,1075
Change Parameter Type,1053
Add Class Annotation,581
Change Attribute Type,536
Add Method Annotation,485
Rename Parameter,482
Rename Variable,475
Rename Class,458
Remove Thrown Exception Type,393
Change Class Access Modifier,332
Remove Method Annotation,320
Remove Class Annotation,280
Modify Class Annotation,233
Add Attribute Modifier,207
Rename Attribute,200
Move Method,168
Pull Up Method,160
Push Down Method,157
Modify Method Annotation,150
Add Parameter,137
Add Thrown Exception Type,133
Add Class Modifier,102
Extract Method,98
Remove Parameter,84
Move And Rename Method,60
Change Attribute Access Modifier,53
Change Type Declaration Kind,52
Pull Up Attribute,49
Move Source Folder,48
Push Down Attribute,48
Extract Variable,45
Remove Attribute Modifier,45
Add Method Modifier,35
Inline Variable,31
Encapsulate Attribute,29
Move And Rename Class,27
Remove Attribute Annotation,23
Replace Attribute With Variable,22
Move Attribute,21
Extract Subclass,20
Inline Method,19
Add Attribute Annotation,19
Remove Class Modifier,19
Rename Package,18
Localize Parameter,17
Collapse Hierarchy,17
Parameterize Variable,15
Add Parameter Annotation,13
Extract And Move Method,11
Extract Attribute,11
Modify Attribute Annotation,11
Extract Interface,9
Replace Variable With Attribute,8
Remove Parameter Annotation,7
Extract Superclass,6
Extract Class,6
Move Package,5
Move And Inline Method,5
Reorder Parameter,4
Remove Method Modifier,4
Modify Parameter Annotation,3
Replace Loop With Pipeline,3
Change Thrown Exception Type,3
Split Parameter,3
Split Attribute,2
Merge Parameter,2
Remove Variable Modifier,2
Merge Attribute,1
Split Package,1
Parameterize Attribute,1
Add Variable Modifier,1
Merge Package,1
