name,number
Add Method Annotation,1075
Merge Attribute,14
Localize Parameter,26
Move And Rename Method,95
Remove Parameter Modifier,55
Extract Subclass,3
Move Source Folder,39
Pull Up Attribute,112
Move Attribute,424
Move Class,279
Move And Rename Class,27
Replace Attribute With Variable,44
Extract Variable,346
Inline Variable,146
Split Attribute,9
Rename Method,598
Reorder Parameter,5
Split Package,3
Change Method Access Modifier,517
Remove Parameter Annotation,3
Replace Variable With Attribute,94
Extract And Move Method,53
Replace Anonymous With Lambda,947
Rename Package,15
Add Parameter Modifier,283
Push Down Attribute,11
Remove Method Annotation,150
Merge Parameter,9
Remove Method Modifier,282
Encapsulate Attribute,55
Move And Rename Attribute,4
Change Variable Type,1483
Split Variable,2
Replace Loop With Pipeline,7
Add Thrown Exception Type,309
Parameterize Attribute,35
Push Down Method,18
Add Variable Modifier,313
Add Parameter,649
Rename Variable,763
Inline Method,88
Add Attribute Modifier,660
Add Attribute Annotation,44
Rename Attribute,1780
Extract Superclass,27
Change Class Access Modifier,17
Change Type Declaration Kind,7
Modify Method Annotation,58
Move Package,6
Add Parameter Annotation,4
Change Parameter Type,546
Remove Class Modifier,43
Remove Variable Modifier,94
Extract Attribute,317
Rename Class,73
Remove Parameter,327
Merge Variable,4
Change Thrown Exception Type,93
Add Class Annotation,435
Replace Pipeline With Loop,2
Change Attribute Access Modifier,395
Parameterize Variable,87
Remove Attribute Modifier,194
Modify Class Annotation,7
Add Class Modifier,19
Add Variable Annotation,14
Split Class,1
Move And Inline Method,40
Modify Attribute Annotation,1
Move Method,453
Add Method Modifier,249
Extract Class,75
Split Parameter,5
Extract Method,1348
Pull Up Method,213
Inline Attribute,3
Change Return Type,455
Remove Attribute Annotation,108
Remove Thrown Exception Type,279
Merge Class,5
Extract Interface,10
Remove Class Annotation,160
Change Attribute Type,494
Rename Parameter,379
