name,number
Add Method Annotation,357
Localize Parameter,3
Move And Rename Method,68
Remove Parameter Modifier,14
Extract Subclass,2
Collapse Hierarchy,2
Move Source Folder,28
Pull Up Attribute,39
Move Attribute,14
Move Class,1419
Move And Rename Class,73
Replace Attribute With Variable,2
Extract Variable,76
Inline Variable,31
Split Attribute,1
Rename Method,220
Split Package,3
Reorder Parameter,1
Change Method Access Modifier,248
Replace Variable With Attribute,19
Extract And Move Method,57
Rename Package,14
Push Down Attribute,9
Add Parameter Modifier,44
Remove Method Annotation,238
Remove Method Modifier,36
Encapsulate Attribute,43
Move And Rename Attribute,3
Change Variable Type,536
Replace Loop With Pipeline,1
Add Thrown Exception Type,9
Parameterize Attribute,1
Push Down Method,32
Add Variable Modifier,7
Add Parameter,229
Rename Variable,95
Inline Method,19
Add Attribute Modifier,61
Add Attribute Annotation,6
Rename Attribute,46
Extract Superclass,53
Change Class Access Modifier,22
Change Type Declaration Kind,5
Modify Method Annotation,136
Move Package,19
Change Parameter Type,164
Remove Class Modifier,14
Rename Class,73
Remove Variable Modifier,4
Extract Attribute,8
Remove Parameter,51
Add Class Annotation,178
Change Attribute Access Modifier,142
Parameterize Variable,7
Remove Attribute Modifier,6
Modify Class Annotation,17
Add Class Modifier,21
Add Variable Annotation,1
Split Class,1
Move And Inline Method,19
Move Method,230
Add Method Modifier,25
Extract Class,20
Extract Method,161
Replace Attribute,5
Pull Up Method,301
Inline Attribute,4
Change Return Type,344
Remove Attribute Annotation,5
Merge Class,3
Remove Thrown Exception Type,11
Extract Interface,10
Change Attribute Type,132
Remove Class Annotation,42
Rename Parameter,148
