name,number
Add Method Annotation,18
Merge Attribute,1
Localize Parameter,6
Move And Rename Method,3
Remove Parameter Modifier,7
Move Source Folder,23
Pull Up Attribute,15
Move Attribute,24
Replace Attribute With Variable,16
Move And Rename Class,7
Move Class,20
Extract Variable,182
Inline Variable,50
Split Attribute,9
Rename Method,79
Change Method Access Modifier,84
Replace Variable With Attribute,18
Extract And Move Method,28
Rename Package,1
Add Parameter Modifier,20
Push Down Attribute,1
Remove Method Annotation,2
Merge Parameter,3
Encapsulate Attribute,33
Remove Method Modifier,8
Change Variable Type,414
Add Thrown Exception Type,24
Parameterize Attribute,1
Push Down Method,2
Add Variable Modifier,45
Add Parameter,161
Rename Variable,135
Inline Method,27
Add Attribute Modifier,4
Add Attribute Annotation,1
Rename Attribute,82
Extract Superclass,12
Change Class Access Modifier,12
Change Parameter Type,110
Remove Class Modifier,2
Remove Variable Modifier,16
Rename Class,5
Extract Attribute,9
Remove Parameter,38
Change Thrown Exception Type,3
Add Class Annotation,3
Change Attribute Access Modifier,70
Parameterize Variable,20
Remove Attribute Modifier,4
Add Class Modifier,6
Move And Inline Method,3
Move Method,47
Add Method Modifier,7
Extract Class,6
Split Parameter,1
Extract Method,83
Pull Up Method,33
Change Return Type,113
Remove Thrown Exception Type,9
Extract Interface,1
Change Attribute Type,110
Remove Class Annotation,1
Rename Parameter,70
