name,number
Add Method Annotation,362
Merge Attribute,6
Localize Parameter,16
Move And Rename Method,80
Remove Parameter Modifier,15
Extract Subclass,1
Move Source Folder,83
Pull Up Attribute,72
Move Attribute,155
Move Class,646
Replace Attribute With Variable,7
Move And Rename Class,72
Extract Variable,127
Inline Variable,34
Split Attribute,9
Rename Method,505
Modify Parameter Annotation,76
Reorder Parameter,5
Split Package,10
Remove Parameter Annotation,53
Change Method Access Modifier,108
Replace Variable With Attribute,7
Extract And Move Method,25
Rename Package,21
Push Down Attribute,16
Add Parameter Modifier,10
Remove Method Annotation,255
Merge Parameter,5
Encapsulate Attribute,53
Remove Method Modifier,12
Move And Rename Attribute,2
Change Variable Type,544
Split Variable,1
Replace Loop With Pipeline,3
Add Thrown Exception Type,133
Parameterize Attribute,17
Push Down Method,11
Add Variable Modifier,14
Add Parameter,391
Rename Variable,251
Inline Method,43
Add Attribute Modifier,43
Merge Package,11
Add Attribute Annotation,62
Rename Attribute,262
Extract Superclass,27
Change Class Access Modifier,8
Change Type Declaration Kind,3
Modify Method Annotation,379
Add Parameter Annotation,89
Move Package,46
Change Parameter Type,453
Remove Class Modifier,11
Extract Attribute,55
Rename Class,111
Remove Variable Modifier,22
Remove Parameter,258
Merge Variable,2
Change Thrown Exception Type,30
Add Class Annotation,183
Replace Pipeline With Loop,6
Change Attribute Access Modifier,210
Parameterize Variable,31
Remove Attribute Modifier,13
Modify Class Annotation,113
Add Class Modifier,9
Split Class,3
Move And Inline Method,15
Modify Attribute Annotation,24
Move Method,374
Add Method Modifier,43
Extract Class,45
Split Parameter,5
Extract Method,188
Pull Up Method,75
Remove Attribute Annotation,42
Change Return Type,516
Remove Thrown Exception Type,41
Merge Class,12
Extract Interface,8
Change Attribute Type,211
Remove Class Annotation,109
Remove Variable Annotation,2
Rename Parameter,303
