name,number
Add Method Annotation,386
Localize Parameter,9
Move And Rename Method,38
Extract Subclass,1
Move Source Folder,9
Pull Up Attribute,58
Move Attribute,24
Move Class,326
Move And Rename Class,11
Replace Attribute With Variable,2
Extract Variable,76
Inline Variable,52
Rename Method,237
Modify Parameter Annotation,6
Reorder Parameter,3
Change Method Access Modifier,180
Remove Parameter Annotation,33
Replace Variable With Attribute,12
Extract And Move Method,30
Replace Anonymous With Lambda,15
Rename Package,4
Push Down Attribute,14
Add Parameter Modifier,2
Remove Method Annotation,132
Merge Parameter,16
Encapsulate Attribute,17
Remove Method Modifier,49
Move And Rename Attribute,7
Change Variable Type,666
Split Variable,1
Replace Loop With Pipeline,13
Add Thrown Exception Type,69
Parameterize Attribute,1
Push Down Method,21
Add Variable Modifier,24
Add Parameter,230
Rename Variable,170
Inline Method,91
Add Attribute Modifier,56
Merge Package,1
Add Attribute Annotation,137
Rename Attribute,100
Extract Superclass,33
Change Type Declaration Kind,1
Change Class Access Modifier,5
Modify Method Annotation,46
Add Parameter Annotation,133
Move Package,3
Change Parameter Type,596
Remove Class Modifier,6
Rename Class,62
Remove Variable Modifier,13
Extract Attribute,2
Remove Parameter,99
Change Thrown Exception Type,24
Merge Variable,1
Add Class Annotation,78
Replace Pipeline With Loop,1
Change Attribute Access Modifier,114
Parameterize Variable,12
Remove Attribute Modifier,37
Modify Class Annotation,20
Add Class Modifier,19
Add Variable Annotation,4
Split Class,1
Move And Inline Method,118
Modify Attribute Annotation,82
Move Method,121
Add Method Modifier,50
Extract Class,38
Extract Method,148
Pull Up Method,101
Change Return Type,509
Remove Attribute Annotation,32
Remove Thrown Exception Type,45
Extract Interface,5
Change Attribute Type,267
Remove Variable Annotation,13
Remove Class Annotation,34
Rename Parameter,140
