buginducingRefactory,number
Modify Method Annotation,2
Change Parameter Type,5
Pull Up Attribute,6
Move Attribute,1
Remove Parameter,1
Extract Variable,4
Inline Variable,1
Reorder Parameter,3
Change Attribute Access Modifier,1
Remove Attribute Modifier,1
Move Method,1
Remove Method Annotation,5
Encapsulate Attribute,1
Change Variable Type,3
Extract Method,3
Pull Up Method,3
Add Parameter,5
Rename Variable,2
Remove Attribute Annotation,11
Change Return Type,4
Add Attribute Modifier,5
Remove Thrown Exception Type,1
Add Attribute Annotation,6
Rename Attribute,1
Remove Class Annotation,26
Change Attribute Type,5
Rename Parameter,1
