buginducingRefactory,number
Add Method Annotation,4
Modify Method Annotation,3
Move And Rename Method,1
Change Parameter Type,2
Rename Class,1
Change Thrown Exception Type,2
Remove Parameter,1
Extract Variable,2
Inline Variable,1
Rename Method,12
Reorder Parameter,1
Change Attribute Access Modifier,10
Change Method Access Modifier,8
Parameterize Variable,1
Modify Class Annotation,2
Add Method Modifier,1
Remove Method Annotation,5
Encapsulate Attribute,1
Change Variable Type,4
Extract Method,1
Add Thrown Exception Type,1
Add Variable Modifier,8
Add Parameter,7
Rename Variable,10
Add Attribute Modifier,8
Change Return Type,3
Remove Thrown Exception Type,4
Rename Attribute,6
Change Class Access Modifier,2
Change Attribute Type,4
Remove Class Annotation,1
Rename Parameter,5
