buginducingRefactory,number
Modify Method Annotation,15
Add Parameter Annotation,1
Pull Up Attribute,1
Extract Attribute,4
Remove Parameter,2
Change Thrown Exception Type,1
Extract Variable,23
Inline Variable,5
Rename Method,6
Modify Parameter Annotation,2
Change Attribute Access Modifier,44
Change Method Access Modifier,3
Remove Parameter Annotation,1
Parameterize Variable,1
Modify Class Annotation,18
Add Class Modifier,6
Extract And Move Method,3
Move Method,1
Add Method Modifier,1
Add Parameter Modifier,2
Extract Class,1
Move And Rename Attribute,2
Change Variable Type,8
Extract Method,4
Add Thrown Exception Type,4
Inline Attribute,1
Add Variable Modifier,4
Add Parameter,7
Rename Variable,11
Add Attribute Modifier,6
Change Return Type,8
Remove Attribute Annotation,1
Add Attribute Annotation,1
Rename Attribute,28
Remove Class Annotation,2
Change Attribute Type,4
Rename Parameter,7
