buginducingRefactory,number
Add Method Annotation,10
Merge Attribute,1
Move And Rename Method,2
Remove Parameter Modifier,3
Change Parameter Type,12
Remove Class Modifier,1
Move Attribute,4
Extract Attribute,1
Remove Variable Modifier,2
Remove Parameter,8
Change Thrown Exception Type,1
Extract Variable,1
Split Attribute,1
Inline Variable,2
Rename Method,7
Change Attribute Access Modifier,4
Change Method Access Modifier,7
Replace Variable With Attribute,1
Remove Attribute Modifier,8
Extract And Move Method,2
Move And Inline Method,18
Move Method,1
Add Method Modifier,1
Extract Class,1
Remove Method Annotation,3
Remove Method Modifier,1
Change Variable Type,26
Extract Method,11
Add Thrown Exception Type,1
Add Variable Modifier,2
Add Parameter,11
Rename Variable,11
Change Return Type,10
Add Attribute Modifier,8
Remove Thrown Exception Type,7
Rename Attribute,67
Change Attribute Type,16
Rename Parameter,5
