buginducingRefactory,number
Add Method Annotation,6
Localize Parameter,1
Change Parameter Type,8
Remove Class Modifier,1
Pull Up Attribute,1
Extract Attribute,1
Remove Variable Modifier,1
Move Attribute,2
Change Thrown Exception Type,3
Remove Parameter,2
Extract Variable,10
Inline Variable,1
Add Class Annotation,1
Rename Method,3
Change Attribute Access Modifier,19
Change Method Access Modifier,2
Replace Variable With Attribute,3
Parameterize Variable,3
Remove Attribute Modifier,16
Add Class Modifier,2
Extract And Move Method,14
Move And Inline Method,2
Modify Attribute Annotation,3
Move Method,1
Add Method Modifier,3
Add Parameter Modifier,6
Remove Method Annotation,3
Encapsulate Attribute,1
Change Variable Type,22
Extract Method,16
Add Thrown Exception Type,6
Parameterize Attribute,1
Add Variable Modifier,19
Add Parameter,7
Rename Variable,15
Change Return Type,4
Remove Attribute Annotation,5
Add Attribute Modifier,4
Add Attribute Annotation,3
Rename Attribute,10
Change Class Access Modifier,1
Change Type Declaration Kind,1
Change Attribute Type,24
Rename Parameter,2
