buginducingRefactory,number
Add Method Annotation,5
Modify Method Annotation,2
Change Parameter Type,28
Pull Up Attribute,37
Move Attribute,1
Replace Attribute With Variable,1
Remove Parameter,19
Extract Variable,24
Inline Variable,3
Rename Method,7
Change Attribute Access Modifier,17
Change Method Access Modifier,10
Replace Variable With Attribute,3
Remove Attribute Modifier,1
Modify Class Annotation,9
Add Class Modifier,5
Extract And Move Method,1
Replace Anonymous With Lambda,1
Modify Attribute Annotation,13
Move Method,1
Push Down Attribute,8
Merge Parameter,1
Remove Method Modifier,1
Change Variable Type,71
Extract Method,6
Add Thrown Exception Type,3
Pull Up Method,2
Add Variable Modifier,5
Inline Attribute,1
Add Parameter,28
Rename Variable,17
Inline Method,3
Add Attribute Modifier,12
Change Return Type,16
Add Attribute Annotation,2
Rename Attribute,14
Extract Superclass,2
Change Class Access Modifier,1
Change Attribute Type,12
Rename Parameter,12
