buginducingRefactory,number
Add Method Annotation,4
Localize Parameter,1
Move And Rename Method,1
Change Parameter Type,9
Remove Variable Modifier,1
Move Attribute,4
Replace Attribute With Variable,1
Change Thrown Exception Type,2
Remove Parameter,2
Extract Variable,8
Inline Variable,1
Rename Method,4
Change Attribute Access Modifier,9
Change Method Access Modifier,6
Parameterize Variable,2
Replace Variable With Attribute,1
Remove Attribute Modifier,8
Modify Class Annotation,216
Move Method,3
Add Method Modifier,2
Extract Class,1
Remove Method Annotation,6
Encapsulate Attribute,3
Change Variable Type,18
Extract Method,1
Add Thrown Exception Type,3
Pull Up Method,1
Add Parameter,4
Rename Variable,10
Inline Method,1
Change Return Type,13
Add Attribute Modifier,9
Remove Attribute Annotation,3
Remove Thrown Exception Type,1
Rename Attribute,47
Extract Interface,1
Change Attribute Type,21
Remove Class Annotation,3
Rename Parameter,7
