buginducingRefactory,number
Change Parameter Type,4
Add Method Modifier,2
Move Attribute,1
Extract Attribute,6
Rename Class,1
Remove Method Annotation,4
Change Variable Type,6
Add Class Annotation,12
Rename Method,1
Rename Variable,10
Inline Method,1
Change Return Type,3
Add Attribute Modifier,1
Remove Attribute Annotation,1
Remove Thrown Exception Type,2
Replace Variable With Attribute,5
Add Attribute Annotation,1
Rename Attribute,2
Change Attribute Type,5
Modify Class Annotation,8
Remove Class Annotation,11
Rename Parameter,2
