buginducingRefactory,number
Add Method Annotation,5
Modify Method Annotation,13
Localize Parameter,1
Add Parameter Annotation,3
Remove Parameter Modifier,8
Change Parameter Type,10
Pull Up Attribute,3
Remove Variable Modifier,1
Move Attribute,1
Extract Attribute,4
Replace Attribute With Variable,1
Change Thrown Exception Type,10
Remove Parameter,6
Extract Variable,14
Inline Variable,4
Rename Method,3
Add Class Annotation,1
Change Attribute Access Modifier,8
Change Method Access Modifier,15
Parameterize Variable,1
Remove Attribute Modifier,2
Modify Class Annotation,2
Extract And Move Method,6
Move Method,7
Add Method Modifier,8
Add Parameter Modifier,24
Remove Method Modifier,1
Change Variable Type,19
Extract Method,18
Add Thrown Exception Type,7
Parameterize Attribute,1
Pull Up Method,5
Add Variable Modifier,10
Add Parameter,6
Rename Variable,8
Add Attribute Modifier,11
Change Return Type,7
Remove Thrown Exception Type,2
Rename Attribute,5
Extract Superclass,1
Change Class Access Modifier,19
Change Attribute Type,7
Remove Class Annotation,4
Rename Parameter,5
