buginducingRefactory,number
Add Method Annotation,2
Modify Method Annotation,2
Change Parameter Type,12
Remove Method Annotation,5
Change Variable Type,17
Extract Variable,3
Extract Method,6
Rename Method,2
Pull Up Method,1
Add Variable Modifier,1
Change Attribute Access Modifier,4
Rename Variable,2
Add Attribute Modifier,28
Change Return Type,7
Remove Thrown Exception Type,1
Extract Superclass,1
Remove Attribute Modifier,2
Extract Interface,2
Change Attribute Type,5
Add Class Modifier,2
Rename Parameter,1
Extract And Move Method,2
