buginducingRefactory,number
Modify Method Annotation,1
Localize Parameter,2
Add Parameter Annotation,1
Change Parameter Type,17
Collapse Hierarchy,1
Remove Class Modifier,1
Pull Up Attribute,3
Rename Class,1
Remove Variable Modifier,1
Move Class,1
Remove Parameter,27
Extract Variable,2
Split Attribute,1
Inline Variable,1
Rename Method,3
Change Attribute Access Modifier,2
Change Method Access Modifier,1
Remove Attribute Modifier,5
Extract And Move Method,1
Merge Parameter,16
Change Variable Type,6
Split Parameter,1
Extract Method,9
Add Variable Modifier,4
Add Parameter,4
Rename Variable,6
Change Return Type,5
Remove Thrown Exception Type,9
Rename Attribute,1
Change Class Access Modifier,3
Change Attribute Type,10
Rename Parameter,6
