buginducingRefactory,number
Add Method Annotation,9
Localize Parameter,11
Move And Rename Method,1
Pull Up Attribute,13
Move Attribute,5
Extract Variable,16
Inline Variable,6
Rename Method,9
Reorder Parameter,2
Change Method Access Modifier,13
Extract And Move Method,9
Push Down Attribute,2
Add Parameter Modifier,4
Remove Method Annotation,10
Merge Parameter,4
Remove Method Modifier,2
Encapsulate Attribute,3
Change Variable Type,50
Split Variable,1
Add Thrown Exception Type,15
Add Parameter,67
Inline Method,4
Rename Variable,14
Add Attribute Modifier,12
Extract Superclass,4
Rename Attribute,18
Change Class Access Modifier,1
Modify Method Annotation,6
Change Parameter Type,28
Remove Class Modifier,2
Extract Attribute,2
Change Thrown Exception Type,3
Remove Parameter,20
Change Attribute Access Modifier,9
Remove Attribute Modifier,7
Modify Class Annotation,4
Add Variable Annotation,1
Add Class Modifier,4
Move And Inline Method,12
Move Method,2
Add Method Modifier,2
Extract Class,1
Extract Method,35
Pull Up Method,1
Change Return Type,36
Remove Attribute Annotation,1
Remove Thrown Exception Type,4
Extract Interface,1
Remove Class Annotation,9
Change Attribute Type,20
Remove Variable Annotation,1
Rename Parameter,11
