buginducingRefactory,number
Add Method Annotation,2
Modify Method Annotation,9
Change Parameter Type,4
Remove Parameter,2
Extract Variable,5
Inline Variable,1
Modify Parameter Annotation,1
Change Attribute Access Modifier,12
Change Method Access Modifier,6
Parameterize Variable,1
Replace Variable With Attribute,1
Modify Class Annotation,15
Extract And Move Method,4
Modify Attribute Annotation,1
Remove Method Annotation,8
Encapsulate Attribute,1
Change Variable Type,7
Extract Method,8
Add Thrown Exception Type,6
Add Parameter,5
Rename Variable,6
Inline Method,1
Change Return Type,16
Remove Thrown Exception Type,1
Rename Attribute,4
Extract Superclass,1
Change Attribute Type,7
Remove Variable Annotation,1
Remove Class Annotation,3
Rename Parameter,1
