lable,refatory
9f3ff406583781b2ea1660fd9f4740718408ab35736,Extract Class
67a4677ef63e9e439ceaa710437da0a226964644154,Rename Parameter
67a4677ef63e9e439ceaa710437da0a226964644153,Rename Parameter
67a4677ef63e9e439ceaa710437da0a226964644152,Change Parameter Type
67a4677ef63e9e439ceaa710437da0a226964644151,Change Parameter Type
67a4677ef63e9e439ceaa710437da0a226964644150,Rename Parameter
9f3ff406583781b2ea1660fd9f4740718408ab3597,Reorder Parameter
9f3ff406583781b2ea1660fd9f4740718408ab3595,Remove Parameter
9f3ff406583781b2ea1660fd9f4740718408ab35735,Extract Class
9f3ff406583781b2ea1660fd9f4740718408ab3596,Remove Parameter
9f3ff406583781b2ea1660fd9f4740718408ab35854,Remove Attribute Modifier
9f3ff406583781b2ea1660fd9f4740718408ab35733,Extract Class
9f3ff406583781b2ea1660fd9f4740718408ab3594,Remove Parameter
9f3ff406583781b2ea1660fd9f4740718408ab35853,Remove Attribute Modifier
9f3ff406583781b2ea1660fd9f4740718408ab35852,Remove Attribute Modifier
9f3ff406583781b2ea1660fd9f4740718408ab351146,Remove Attribute Modifier
9f3ff406583781b2ea1660fd9f4740718408ab351147,Move Attribute
9f3ff406583781b2ea1660fd9f4740718408ab351143,Move Attribute
9f3ff406583781b2ea1660fd9f4740718408ab351144,Move Attribute
9f3ff406583781b2ea1660fd9f4740718408ab351145,Move Attribute
f5f51bfc2cc3b375e94539d64a96f3156d8f01c2351,Move Attribute
f5f51bfc2cc3b375e94539d64a96f3156d8f01c2350,Move Attribute
67a4677ef63e9e439ceaa710437da0a22696464452,Change Attribute Type
67a4677ef63e9e439ceaa710437da0a22696464451,Rename Attribute
67a4677ef63e9e439ceaa710437da0a22696464450,Change Parameter Type
67a4677ef63e9e439ceaa710437da0a22696464455,Change Attribute Type
67a4677ef63e9e439ceaa710437da0a22696464454,Rename Attribute
67a4677ef63e9e439ceaa710437da0a22696464453,Change Parameter Type
9f3ff406583781b2ea1660fd9f4740718408ab351137,Move Attribute
9f3ff406583781b2ea1660fd9f4740718408ab351138,Remove Attribute Modifier
889d1492fbae6fbb7455438329d8632cf35b534228,Change Parameter Type
4a3a79aa6bca17f7bd6658053bc1eaf79c5c6718164,Remove Class Annotation
4a3a79aa6bca17f7bd6658053bc1eaf79c5c6718166,Modify Method Annotation
4a3a79aa6bca17f7bd6658053bc1eaf79c5c6718165,Modify Method Annotation
ed95ae6398df32859c1eb7896f6db0ddfa86733523,Inline Variable
f5f51bfc2cc3b375e94539d64a96f3156d8f01c2375,Change Attribute Access Modifier
f5f51bfc2cc3b375e94539d64a96f3156d8f01c2376,Change Attribute Access Modifier
9f3ff406583781b2ea1660fd9f4740718408ab351139,Move Attribute
67ee674d412da216644813fe4ddcd7b81c95b8af11,Extract And Move Method
4a3a79aa6bca17f7bd6658053bc1eaf79c5c6718170,Modify Method Annotation
4a3a79aa6bca17f7bd6658053bc1eaf79c5c671831,Remove Class Annotation
4a3a79aa6bca17f7bd6658053bc1eaf79c5c6718168,Modify Method Annotation
4a3a79aa6bca17f7bd6658053bc1eaf79c5c6718167,Modify Method Annotation
4a3a79aa6bca17f7bd6658053bc1eaf79c5c6718169,Modify Method Annotation
9f3ff406583781b2ea1660fd9f4740718408ab35823,Move Attribute
67a4677ef63e9e439ceaa710437da0a226964644107,Rename Parameter
9f3ff406583781b2ea1660fd9f4740718408ab35822,Move Attribute
67a4677ef63e9e439ceaa710437da0a226964644106,Change Parameter Type
9f3ff406583781b2ea1660fd9f4740718408ab35821,Move Attribute
67a4677ef63e9e439ceaa710437da0a226964644149,Rename Parameter
67a4677ef63e9e439ceaa710437da0a226964644148,Change Parameter Type
67a4677ef63e9e439ceaa710437da0a226964644147,Change Parameter Type
