combination,number
[Rename Parameter],13
[Rename Method],11
[Change Variable Type],10
[Add Method Annotation],9
[Inline Variable],8
[Add Thrown Exception Type],8
[Add Attribute Modifier],8
[Extract Attribute],7
[Move Class],7
[Modify Method Annotation],6
[Rename Class],6
[Rename Variable],6
[Change Attribute Access Modifier],5
[Extract Method],4
[Add Variable Modifier],4
[Extract Variable],3
[Add Class Modifier],3
[Remove Thrown Exception Type],3
[Rename Attribute],3
[Change Class Access Modifier],3
[Change Method Access Modifier],2
[Add Method Modifier],2
[Add Parameter Modifier],2
[Move Source Folder],1
[Add Class Annotation],1
[Replace Variable With Attribute],1
[Remove Attribute Modifier],1
[Modify Class Annotation],1
[Extract And Move Method],1
[Add Variable Annotation],1
[Move Method],1
[Remove Method Annotation],1
[Add Parameter],1
[Inline Method],1
[Change Return Type],1
[Change Attribute Type],1
[Remove Variable Annotation],1
combination,number
"[Change Return Type, Rename Class]",2
"[Rename Variable, Inline Variable]",2
"[Rename Package, Move Class]",2
"[Rename Variable, Rename Parameter]",1
"[Move Class, Change Class Access Modifier]",1
"[Pull Up Method, Extract Superclass]",1
"[Localize Parameter, Remove Parameter]",1
"[Rename Attribute, Extract Variable]",1
"[Rename Class, Move Class]",1
"[Rename Class, Change Variable Type]",1
"[Extract Variable, Change Variable Type]",1
"[Modify Method Annotation, Rename Variable]",1
"[Rename Variable, Replace Attribute With Variable]",1
"[Change Attribute Access Modifier, Add Parameter]",1
"[Extract Method, Rename Parameter]",1
"[Add Class Annotation, Rename Parameter]",1
"[Rename Variable, Change Variable Type]",1
"[Add Parameter, Add Thrown Exception Type]",1
"[Remove Method Annotation, Rename Parameter]",1
"[Change Variable Type, Remove Variable Annotation]",1
"[Extract Attribute, Add Parameter Modifier]",1
"[Add Variable Modifier, Add Parameter Modifier]",1
"[Change Method Access Modifier, Add Class Modifier]",1
"[Extract Variable, Rename Parameter]",1
"[Extract Variable, Remove Variable Annotation]",1
"[Add Attribute Modifier, Change Attribute Type]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Localize Parameter, Move And Rename Class]",1
"[Rename Attribute, Rename Parameter]",1
"[Add Method Annotation, Add Class Modifier]",1
combination,number
"[Change Method Access Modifier, Move Class, Change Class Access Modifier]",2
"[Add Variable Modifier, Change Class Access Modifier, Extract And Move Method]",1
"[Change Return Type, Change Thrown Exception Type, Inline Variable]",1
"[Change Method Access Modifier, Remove Thrown Exception Type, Change Thrown Exception Type]",1
"[Add Method Modifier, Add Attribute Modifier, Rename Attribute]",1
"[Add Parameter Modifier, Extract Variable, Rename Parameter]",1
"[Add Variable Modifier, Remove Class Modifier, Change Class Access Modifier]",1
"[Change Method Access Modifier, Remove Thrown Exception Type, Add Class Modifier]",1
"[Add Class Annotation, Add Method Annotation, Add Attribute Annotation]",1
"[Change Parameter Type, Change Variable Type, Extract Method]",1
"[Add Method Annotation, Remove Thrown Exception Type, Rename Parameter]",1
"[Move Method, Change Return Type, Move Attribute]",1
combination,number
"[Change Parameter Type, Change Return Type, Rename Class, Change Variable Type]",2
"[Remove Class Modifier, Move Class, Change Variable Type, Change Class Access Modifier]",1
"[Add Parameter, Remove Parameter, Rename Attribute, Rename Parameter]",1
"[Rename Method, Change Attribute Access Modifier, Remove Thrown Exception Type, Rename Parameter]",1
"[Add Parameter, Encapsulate Attribute, Remove Attribute Modifier, Add Thrown Exception Type]",1
"[Push Down Method, Add Variable Modifier, Extract Interface, Add Variable Annotation]",1
"[Change Parameter Type, Change Method Access Modifier, Change Return Type, Change Variable Type]",1
"[Add Method Annotation, Change Parameter Type, Change Variable Type, Change Attribute Type]",1
"[Change Parameter Type, Change Return Type, Change Variable Type, Inline Variable]",1
"[Change Parameter Type, Change Return Type, Change Variable Type, Change Attribute Type]",1
"[Rename Variable, Extract Variable, Change Variable Type, Extract Method]",1
"[Change Attribute Access Modifier, Change Method Access Modifier, Extract Attribute, Extract Variable]",1
"[Change Parameter Type, Rename Class, Change Variable Type, Change Attribute Type]",1
"[Remove Variable Modifier, Remove Thrown Exception Type, Change Variable Type, Add Thrown Exception Type]",1
"[Rename Method, Add Parameter, Add Attribute Modifier, Rename Attribute]",1
combination,number
"[Change Parameter Type, Change Return Type, Change Variable Type, Change Attribute Type, Inline Variable]",2
"[Add Variable Modifier, Remove Thrown Exception Type, Encapsulate Attribute, Change Variable Type, Extract Variable]",1
"[Rename Method, Change Method Access Modifier, Rename Attribute, Rename Parameter, Add Class Modifier]",1
"[Pull Up Method, Change Method Access Modifier, Pull Up Attribute, Extract Superclass, Extract Method]",1
"[Remove Variable Modifier, Change Thrown Exception Type, Remove Thrown Exception Type, Rename Attribute, Add Thrown Exception Type]",1
"[Add Parameter, Rename Variable, Change Method Access Modifier, Rename Attribute, Add Class Modifier]",1
"[Change Parameter Type, Remove Class Modifier, Change Method Access Modifier, Move Class, Change Attribute Type]",1
combination,number
"[Rename Variable, Rename Parameter]",1
"[Move Class, Change Class Access Modifier]",1
"[Pull Up Method, Extract Superclass]",1
"[Localize Parameter, Remove Parameter]",1
"[Rename Attribute, Extract Variable]",1
"[Rename Class, Move Class]",1
"[Change Return Type, Rename Class]",2
"[Rename Class, Change Variable Type]",1
"[Extract Variable, Change Variable Type]",1
"[Modify Method Annotation, Rename Variable]",1
"[Rename Variable, Inline Variable]",2
"[Rename Variable, Replace Attribute With Variable]",1
"[Change Attribute Access Modifier, Add Parameter]",1
"[Extract Method, Rename Parameter]",1
"[Add Class Annotation, Rename Parameter]",1
"[Rename Variable, Change Variable Type]",1
"[Add Parameter, Add Thrown Exception Type]",1
"[Remove Method Annotation, Rename Parameter]",1
"[Change Variable Type, Remove Variable Annotation]",1
"[Extract Attribute, Add Parameter Modifier]",1
"[Rename Package, Move Class]",2
"[Add Variable Modifier, Add Parameter Modifier]",1
"[Change Method Access Modifier, Add Class Modifier]",1
"[Extract Variable, Rename Parameter]",1
"[Extract Variable, Remove Variable Annotation]",1
"[Add Attribute Modifier, Change Attribute Type]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Localize Parameter, Move And Rename Class]",1
"[Rename Attribute, Rename Parameter]",1
"[Add Method Annotation, Add Class Modifier]",1
combination,number
"[Rename Variable, Rename Parameter]",1
"[Move Class, Change Class Access Modifier]",1
"[Pull Up Method, Extract Superclass]",1
"[Localize Parameter, Remove Parameter]",1
"[Rename Attribute, Extract Variable]",1
"[Rename Class, Move Class]",1
"[Change Return Type, Rename Class]",2
"[Rename Class, Change Variable Type]",1
"[Extract Variable, Change Variable Type]",1
"[Modify Method Annotation, Rename Variable]",1
"[Rename Variable, Inline Variable]",2
"[Rename Variable, Replace Attribute With Variable]",1
"[Change Attribute Access Modifier, Add Parameter]",1
"[Extract Method, Rename Parameter]",1
"[Add Class Annotation, Rename Parameter]",1
"[Rename Variable, Change Variable Type]",1
"[Add Parameter, Add Thrown Exception Type]",1
"[Remove Method Annotation, Rename Parameter]",1
"[Change Variable Type, Remove Variable Annotation]",1
"[Extract Attribute, Add Parameter Modifier]",1
"[Rename Package, Move Class]",2
"[Add Variable Modifier, Add Parameter Modifier]",1
"[Change Method Access Modifier, Add Class Modifier]",1
"[Extract Variable, Rename Parameter]",1
"[Extract Variable, Remove Variable Annotation]",1
"[Add Attribute Modifier, Change Attribute Type]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Localize Parameter, Move And Rename Class]",1
"[Rename Attribute, Rename Parameter]",1
"[Add Method Annotation, Add Class Modifier]",1
combination,number
"[Rename Variable, Rename Parameter]",1
"[Move Class, Change Class Access Modifier]",1
"[Pull Up Method, Extract Superclass]",1
"[Localize Parameter, Remove Parameter]",1
"[Rename Attribute, Extract Variable]",1
"[Rename Class, Move Class]",1
"[Change Return Type, Rename Class]",2
"[Rename Class, Change Variable Type]",1
"[Extract Variable, Change Variable Type]",1
"[Modify Method Annotation, Rename Variable]",1
"[Rename Variable, Inline Variable]",2
"[Rename Variable, Replace Attribute With Variable]",1
"[Change Attribute Access Modifier, Add Parameter]",1
"[Extract Method, Rename Parameter]",1
"[Add Class Annotation, Rename Parameter]",1
"[Rename Variable, Change Variable Type]",1
"[Add Parameter, Add Thrown Exception Type]",1
"[Remove Method Annotation, Rename Parameter]",1
"[Change Variable Type, Remove Variable Annotation]",1
"[Extract Attribute, Add Parameter Modifier]",1
"[Rename Package, Move Class]",2
"[Add Variable Modifier, Add Parameter Modifier]",1
"[Change Method Access Modifier, Add Class Modifier]",1
"[Extract Variable, Rename Parameter]",1
"[Extract Variable, Remove Variable Annotation]",1
"[Add Attribute Modifier, Change Attribute Type]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Localize Parameter, Move And Rename Class]",1
"[Rename Attribute, Rename Parameter]",1
"[Add Method Annotation, Add Class Modifier]",1
combination,number
"[Rename Variable, Rename Parameter]",1
"[Move Class, Change Class Access Modifier]",1
"[Pull Up Method, Extract Superclass]",1
"[Localize Parameter, Remove Parameter]",1
"[Rename Attribute, Extract Variable]",1
"[Rename Class, Move Class]",1
"[Change Return Type, Rename Class]",2
"[Rename Class, Change Variable Type]",1
"[Extract Variable, Change Variable Type]",1
"[Modify Method Annotation, Rename Variable]",1
"[Rename Variable, Inline Variable]",2
"[Rename Variable, Replace Attribute With Variable]",1
"[Change Attribute Access Modifier, Add Parameter]",1
"[Extract Method, Rename Parameter]",1
"[Add Class Annotation, Rename Parameter]",1
"[Rename Variable, Change Variable Type]",1
"[Add Parameter, Add Thrown Exception Type]",1
"[Remove Method Annotation, Rename Parameter]",1
"[Change Variable Type, Remove Variable Annotation]",1
"[Extract Attribute, Add Parameter Modifier]",1
"[Rename Package, Move Class]",2
"[Add Variable Modifier, Add Parameter Modifier]",1
"[Change Method Access Modifier, Add Class Modifier]",1
"[Extract Variable, Rename Parameter]",1
"[Extract Variable, Remove Variable Annotation]",1
"[Add Attribute Modifier, Change Attribute Type]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Localize Parameter, Move And Rename Class]",1
"[Rename Attribute, Rename Parameter]",1
"[Add Method Annotation, Add Class Modifier]",1
combination,number
"[Rename Variable, Rename Parameter]",1
"[Move Class, Change Class Access Modifier]",1
"[Pull Up Method, Extract Superclass]",1
"[Localize Parameter, Remove Parameter]",1
"[Rename Attribute, Extract Variable]",1
"[Rename Class, Move Class]",1
"[Change Return Type, Rename Class]",2
"[Rename Class, Change Variable Type]",1
"[Extract Variable, Change Variable Type]",1
"[Modify Method Annotation, Rename Variable]",1
"[Rename Variable, Inline Variable]",2
"[Rename Variable, Replace Attribute With Variable]",1
"[Change Attribute Access Modifier, Add Parameter]",1
"[Extract Method, Rename Parameter]",1
"[Add Class Annotation, Rename Parameter]",1
"[Rename Variable, Change Variable Type]",1
"[Add Parameter, Add Thrown Exception Type]",1
"[Remove Method Annotation, Rename Parameter]",1
"[Change Variable Type, Remove Variable Annotation]",1
"[Extract Attribute, Add Parameter Modifier]",1
"[Rename Package, Move Class]",2
"[Add Variable Modifier, Add Parameter Modifier]",1
"[Change Method Access Modifier, Add Class Modifier]",1
"[Extract Variable, Rename Parameter]",1
"[Extract Variable, Remove Variable Annotation]",1
"[Add Attribute Modifier, Change Attribute Type]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Localize Parameter, Move And Rename Class]",1
"[Rename Attribute, Rename Parameter]",1
"[Add Method Annotation, Add Class Modifier]",1
