combination,number
[Extract Variable],28
[Extract Method],27
[Add Attribute Modifier],23
[Rename Variable],18
[Add Method Annotation],17
[Rename Method],17
[Change Variable Type],16
[Change Method Access Modifier],14
[Rename Parameter],13
[Change Attribute Access Modifier],12
[Rename Class],11
[Rename Attribute],11
[Add Parameter],10
[Remove Thrown Exception Type],10
[Add Variable Modifier],9
[Change Attribute Type],7
[Move Class],6
[Encapsulate Attribute],6
[Inline Variable],5
[Remove Method Annotation],5
[Add Thrown Exception Type],5
[Change Parameter Type],4
[Remove Variable Modifier],4
[Extract Attribute],4
[Add Parameter Modifier],4
[Modify Method Annotation],3
[Add Class Modifier],3
[Add Method Modifier],3
[Remove Attribute Annotation],3
[Change Return Type],3
[Move Source Folder],2
[Add Class Annotation],2
[Move Method],2
[Remove Method Modifier],2
[Add Attribute Annotation],2
[Move Attribute],1
[Replace Attribute With Variable],1
[Change Thrown Exception Type],1
[Replace Variable With Attribute],1
[Remove Attribute Modifier],1
[Extract And Move Method],1
[Add Variable Annotation],1
[Replace Anonymous With Lambda],1
[Replace Loop With Pipeline],1
[Change Class Access Modifier],1
combination,number
"[Change Attribute Access Modifier, Add Attribute Modifier]",5
"[Change Attribute Access Modifier, Rename Attribute]",4
"[Rename Method, Change Method Access Modifier]",4
"[Rename Attribute, Rename Parameter]",4
"[Rename Variable, Change Variable Type]",4
"[Change Variable Type, Change Attribute Type]",3
"[Change Thrown Exception Type, Remove Thrown Exception Type]",2
"[Localize Parameter, Add Parameter]",2
"[Change Method Access Modifier, Add Method Modifier]",2
"[Change Parameter Type, Change Variable Type]",2
"[Add Attribute Modifier, Change Attribute Type]",2
"[Add Variable Modifier, Extract Method]",2
"[Rename Variable, Extract Method]",2
"[Add Method Annotation, Modify Method Annotation]",2
"[Extract Method, Rename Parameter]",2
"[Add Method Annotation, Change Variable Type]",2
"[Add Variable Modifier, Add Parameter Modifier]",2
"[Rename Variable, Rename Attribute]",2
"[Change Return Type, Extract Method]",1
"[Pull Up Method, Change Variable Type]",1
"[Rename Method, Rename Parameter]",1
"[Replace Attribute With Variable, Extract Variable]",1
"[Remove Method Annotation, Change Attribute Type]",1
"[Change Return Type, Remove Attribute Modifier]",1
"[Move Class, Move And Rename Class]",1
"[Add Parameter Modifier, Extract Method]",1
"[Add Variable Modifier, Remove Method Modifier]",1
"[Change Attribute Access Modifier, Change Attribute Type]",1
"[Add Method Annotation, Rename Variable]",1
"[Change Parameter Type, Add Class Modifier]",1
"[Move Source Folder, Replace Variable With Attribute]",1
"[Remove Attribute Modifier, Change Attribute Type]",1
"[Parameterize Attribute, Extract Method]",1
"[Extract Attribute, Change Attribute Type]",1
"[Change Method Access Modifier, Change Variable Type]",1
"[Move Class, Extract Method]",1
"[Add Parameter, Extract Method]",1
"[Rename Method, Rename Attribute]",1
"[Change Method Access Modifier, Add Attribute Annotation]",1
"[Add Variable Modifier, Extract Variable]",1
"[Add Attribute Modifier, Extract Variable]",1
"[Rename Method, Add Thrown Exception Type]",1
"[Remove Method Annotation, Extract Variable]",1
"[Remove Method Annotation, Encapsulate Attribute]",1
"[Replace Attribute With Variable, Remove Thrown Exception Type]",1
"[Rename Method, Extract Method]",1
"[Add Method Annotation, Change Parameter Type]",1
"[Add Attribute Modifier, Remove Thrown Exception Type]",1
"[Add Method Annotation, Change Thrown Exception Type]",1
"[Rename Variable, Remove Thrown Exception Type]",1
"[Encapsulate Attribute, Extract Method]",1
"[Add Method Annotation, Add Attribute Annotation]",1
"[Change Method Access Modifier, Remove Thrown Exception Type]",1
"[Change Thrown Exception Type, Extract Variable]",1
"[Extract Method, Add Thrown Exception Type]",1
"[Change Variable Type, Add Thrown Exception Type]",1
"[Encapsulate Attribute, Rename Attribute]",1
"[Rename Method, Change Return Type]",1
"[Add Variable Modifier, Inline Variable]",1
"[Parameterize Variable, Extract Method]",1
"[Add Variable Modifier, Add Attribute Modifier]",1
"[Add Class Annotation, Add Thrown Exception Type]",1
"[Extract Superclass, Inline Variable]",1
"[Inline Method, Add Thrown Exception Type]",1
"[Rename Attribute, Change Variable Type]",1
"[Inline Variable, Add Thrown Exception Type]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Add Variable Modifier, Encapsulate Attribute]",1
"[Change Variable Type, Inline Variable]",1
"[Change Attribute Access Modifier, Change Method Access Modifier]",1
combination,number
"[Rename Variable, Rename Attribute, Rename Parameter]",3
"[Add Variable Modifier, Add Attribute Modifier, Add Parameter Modifier]",1
"[Add Parameter, Change Method Access Modifier, Rename Class]",1
"[Rename Method, Remove Parameter, Rename Parameter]",1
"[Add Method Annotation, Replace Attribute With Variable, Rename Parameter]",1
