combination,number
[Add Parameter],252
[Extract Variable],55
[Add Method Annotation],48
[Add Class Annotation],44
[Modify Method Annotation],39
[Rename Method],29
[Change Variable Type],27
[Remove Variable Modifier],27
[Rename Variable],26
[Remove Parameter],26
[Modify Attribute Annotation],24
[Encapsulate Attribute],23
[Extract Method],23
[Change Method Access Modifier],19
[Remove Class Annotation],19
[Change Attribute Type],17
[Rename Parameter],16
[Remove Method Annotation],14
[Add Variable Modifier],14
[Add Parameter Modifier],13
[Change Return Type],13
[Add Attribute Annotation],11
[Add Attribute Modifier],10
[Modify Class Annotation],10
[Move Class],9
[Rename Attribute],9
[Add Parameter Annotation],9
[Remove Attribute Annotation],9
[Change Parameter Type],8
[Inline Variable],7
[Parameterize Variable],7
[Move Source Folder],5
[Inline Method],5
[Add Thrown Exception Type],4
[Add Class Modifier],4
[Remove Thrown Exception Type],4
[Remove Parameter Modifier],3
[Modify Parameter Annotation],3
[Reorder Parameter],3
[Extract And Move Method],3
[Rename Class],3
[Remove Attribute Modifier],3
[Move Method],3
[Change Attribute Access Modifier],2
[Localize Parameter],1
[Replace Attribute With Variable],1
[Replace Variable With Attribute],1
[Remove Method Modifier],1
[Extract Superclass],1
[Change Thrown Exception Type],1
[Add Variable Annotation],1
[Move And Inline Method],1
combination,number
"[Add Class Annotation, Remove Class Annotation]",33
"[Add Parameter, Encapsulate Attribute]",33
"[Add Parameter, Remove Variable Modifier]",18
"[Add Parameter, Extract Variable]",12
"[Add Parameter, Remove Parameter]",9
"[Rename Method, Add Parameter]",9
"[Add Parameter, Extract Method]",9
"[Modify Attribute Annotation, Change Attribute Type]",7
"[Rename Variable, Change Variable Type]",7
"[Add Parameter, Change Variable Type]",7
"[Add Parameter, Rename Variable]",7
"[Change Parameter Type, Change Attribute Type]",6
"[Add Class Annotation, Add Parameter]",6
"[Modify Method Annotation, Add Parameter]",6
"[Extract Variable, Extract Method]",6
"[Modify Attribute Annotation, Add Parameter]",5
"[Add Class Annotation, Modify Class Annotation]",5
"[Add Parameter, Rename Parameter]",5
"[Add Class Annotation, Remove Attribute Modifier]",5
"[Modify Method Annotation, Remove Parameter]",4
"[Add Parameter, Modify Class Annotation]",4
"[Rename Variable, Rename Parameter]",4
"[Add Parameter, Add Parameter Modifier]",4
"[Reorder Parameter, Add Parameter]",4
"[Rename Variable, Remove Variable Modifier]",4
"[Remove Attribute Annotation, Add Attribute Annotation]",4
"[Add Variable Modifier, Add Parameter Modifier]",4
"[Add Class Annotation, Add Attribute Annotation]",3
"[Localize Parameter, Add Parameter]",3
"[Add Class Annotation, Modify Attribute Annotation]",3
"[Modify Attribute Annotation, Modify Class Annotation]",3
"[Add Class Annotation, Extract Method]",3
"[Rename Attribute, Change Attribute Type]",3
"[Add Variable Modifier, Extract Method]",3
"[Add Parameter, Change Method Access Modifier]",3
"[Rename Method, Extract Method]",3
"[Add Parameter Modifier, Add Attribute Annotation]",3
"[Add Variable Modifier, Remove Variable Modifier]",3
"[Add Method Annotation, Add Variable Modifier]",3
"[Add Class Annotation, Encapsulate Attribute]",3
"[Add Parameter, Add Attribute Annotation]",3
"[Modify Method Annotation, Change Parameter Type]",2
"[Extract Variable, Change Variable Type]",2
"[Add Method Annotation, Remove Method Annotation]",2
"[Rename Method, Add Parameter Modifier]",2
"[Rename Variable, Remove Method Annotation]",2
"[Modify Method Annotation, Rename Attribute]",2
"[Change Attribute Type, Extract Method]",2
"[Add Method Annotation, Add Parameter]",2
"[Rename Method, Rename Variable]",2
"[Parameterize Attribute, Extract Method]",2
"[Add Class Annotation, Rename Method]",2
"[Rename Variable, Extract Method]",2
"[Rename Method, Remove Parameter]",2
"[Remove Variable Modifier, Extract Variable]",2
"[Extract Method, Rename Parameter]",2
"[Add Parameter, Move Class]",2
"[Add Method Annotation, Rename Method]",2
"[Add Variable Modifier, Add Parameter]",2
"[Add Parameter, Add Attribute Modifier]",2
"[Change Attribute Access Modifier, Change Attribute Type]",2
"[Add Method Annotation, Move Method]",2
"[Change Method Access Modifier, Add Attribute Modifier]",2
"[Add Parameter, Remove Attribute Annotation]",2
"[Add Variable Modifier, Extract Variable]",2
"[Rename Variable, Extract Variable]",2
"[Add Class Annotation, Change Variable Type]",2
"[Encapsulate Attribute, Remove Attribute Modifier]",2
"[Add Variable Modifier, Rename Variable]",2
"[Rename Method, Extract Variable]",2
"[Modify Attribute Annotation, Add Parameter Modifier]",2
"[Change Parameter Type, Change Variable Type]",2
"[Remove Parameter, Inline Variable]",2
"[Rename Method, Remove Variable Modifier]",2
"[Extract Method, Extract And Move Method]",2
"[Add Parameter, Add Method Modifier]",2
"[Add Parameter, Parameterize Variable]",2
"[Change Method Access Modifier, Change Return Type]",2
"[Add Method Annotation, Change Method Access Modifier]",2
"[Move Package, Move Class]",2
"[Modify Class Annotation, Remove Class Annotation]",1
"[Modify Method Annotation, Rename Class]",1
"[Rename Method, Rename Parameter]",1
"[Encapsulate Attribute, Extract Variable]",1
"[Add Parameter Annotation, Remove Method Annotation]",1
"[Add Parameter, Replace Attribute With Variable]",1
"[Add Parameter, Change Attribute Access Modifier]",1
"[Remove Class Modifier, Add Method Modifier]",1
"[Move Source Folder, Modify Class Annotation]",1
"[Add Parameter Modifier, Parameterize Variable]",1
"[Rename Class, Extract Method]",1
"[Add Variable Modifier, Change Return Type]",1
"[Extract Class, Move Attribute]",1
"[Parameterize Variable, Encapsulate Attribute]",1
"[Add Class Annotation, Add Method Annotation]",1
"[Add Method Annotation, Extract Method]",1
"[Add Parameter, Change Attribute Type]",1
"[Add Parameter Modifier, Remove Class Annotation]",1
"[Extract Method, Inline Variable]",1
"[Change Attribute Access Modifier, Add Attribute Modifier]",1
"[Remove Attribute Modifier, Inline Variable]",1
"[Remove Attribute Annotation, Encapsulate Attribute]",1
"[Add Method Annotation, Add Parameter Annotation]",1
"[Add Variable Modifier, Remove Method Annotation]",1
"[Rename Variable, Modify Class Annotation]",1
"[Remove Variable Modifier, Change Variable Type]",1
"[Add Class Annotation, Remove Method Annotation]",1
"[Add Parameter, Inline Method]",1
"[Add Parameter, Remove Method Annotation]",1
"[Merge Attribute, Merge Parameter]",1
"[Modify Parameter Annotation, Modify Method Annotation]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Add Attribute Modifier, Rename Attribute]",1
"[Merge Variable, Extract Variable]",1
"[Add Parameter, Rename Attribute]",1
"[Remove Parameter, Change Variable Type]",1
"[Add Method Annotation, Remove Parameter Modifier]",1
"[Add Parameter, Inline Variable]",1
"[Change Parameter Type, Remove Parameter]",1
"[Remove Method Annotation, Change Attribute Type]",1
"[Change Parameter Type, Remove Thrown Exception Type]",1
"[Add Variable Modifier, Rename Parameter]",1
"[Modify Attribute Annotation, Add Attribute Annotation]",1
"[Rename Method, Change Attribute Type]",1
"[Rename Method, Remove Class Annotation]",1
"[Modify Method Annotation, Remove Method Annotation]",1
"[Change Method Access Modifier, Add Method Modifier]",1
"[Split Package, Move Class]",1
"[Add Parameter Annotation, Remove Parameter]",1
"[Add Parameter, Split Parameter]",1
"[Rename Method, Add Attribute Modifier]",1
"[Move Method, Remove Parameter]",1
"[Add Parameter, Remove Attribute Modifier]",1
"[Remove Attribute Annotation, Add Parameter Modifier]",1
"[Rename Method, Parameterize Attribute]",1
