combination,number
[Extract Variable],74
[Add Parameter],27
[Change Variable Type],25
[Extract Method],23
[Rename Variable],13
[Add Method Annotation],12
[Change Return Type],11
[Change Attribute Type],10
[Inline Variable],9
[Change Attribute Access Modifier],8
[Extract Attribute],7
[Rename Attribute],7
[Move Source Folder],6
[Encapsulate Attribute],6
[Add Thrown Exception Type],6
[Remove Parameter],5
[Rename Class],4
[Rename Method],4
[Remove Method Annotation],4
[Change Parameter Type],3
[Move Attribute],3
[Move Class],3
[Merge Variable],3
[Change Method Access Modifier],3
[Remove Attribute Modifier],3
[Extract And Move Method],3
[Add Method Modifier],3
[Add Variable Modifier],3
[Remove Thrown Exception Type],3
[Change Class Access Modifier],3
[Extract Interface],3
[Remove Variable Modifier],2
[Move Method],2
[Remove Method Modifier],2
[Add Attribute Annotation],2
[Localize Parameter],1
[Remove Class Modifier],1
[Replace Attribute With Variable],1
[Add Variable Annotation],1
[Replace Anonymous With Lambda],1
[Add Parameter Modifier],1
[Inline Method],1
[Extract Superclass],1
combination,number
"[Add Parameter, Extract Variable]",8
"[Rename Variable, Change Variable Type]",7
"[Extract Variable, Change Variable Type]",3
"[Add Parameter, Extract Method]",3
"[Change Return Type, Change Variable Type]",3
"[Change Parameter Type, Change Variable Type]",3
"[Rename Variable, Extract Method]",3
"[Extract Variable, Extract Method]",3
"[Change Thrown Exception Type, Change Attribute Type]",3
"[Remove Method Modifier, Extract Method]",2
"[Rename Variable, Inline Variable]",2
"[Add Method Annotation, Remove Method Annotation]",2
"[Add Method Annotation, Extract Method]",2
"[Add Method Annotation, Change Attribute Access Modifier]",2
"[Add Parameter, Change Attribute Type]",2
"[Add Method Annotation, Change Return Type]",2
"[Change Thrown Exception Type, Change Variable Type]",2
"[Parameterize Variable, Extract Method]",2
"[Rename Package, Move Class]",2
"[Change Parameter Type, Rename Parameter]",2
"[Rename Variable, Rename Parameter]",1
"[Add Parameter, Rename Variable]",1
"[Add Parameter, Change Method Access Modifier]",1
"[Move Method, Encapsulate Attribute]",1
"[Replace Attribute With Variable, Extract Variable]",1
"[Add Method Modifier, Extract Method]",1
"[Replace Variable With Attribute, Change Variable Type]",1
"[Localize Parameter, Add Parameter]",1
"[Change Variable Type, Change Attribute Type]",1
"[Change Attribute Type, Extract Method]",1
"[Add Method Annotation, Add Parameter]",1
"[Change Attribute Access Modifier, Change Attribute Type]",1
"[Change Return Type, Remove Parameter]",1
"[Change Method Access Modifier, Add Method Modifier]",1
"[Reorder Parameter, Add Parameter]",1
"[Rename Method, Add Parameter]",1
"[Split Package, Move Class]",1
"[Remove Attribute Modifier, Change Attribute Type]",1
"[Change Method Access Modifier, Move Class]",1
"[Parameterize Attribute, Extract Method]",1
"[Add Parameter Modifier, Extract Variable]",1
"[Pull Up Method, Move Class]",1
"[Add Class Annotation, Add Method Annotation]",1
"[Add Attribute Modifier, Change Attribute Type]",1
"[Remove Thrown Exception Type, Change Variable Type]",1
"[Extract Method, Inline Variable]",1
"[Rename Attribute, Change Attribute Type]",1
"[Rename Variable, Extract Variable]",1
"[Extract Variable, Inline Variable]",1
"[Rename Variable, Remove Attribute Modifier]",1
"[Add Parameter, Change Thrown Exception Type]",1
"[Rename Variable, Add Variable Annotation]",1
"[Change Parameter Type, Add Parameter]",1
"[Move Source Folder, Rename Class]",1
"[Remove Variable Modifier, Extract Variable]",1
"[Add Method Annotation, Change Thrown Exception Type]",1
"[Extract Method, Extract And Move Method]",1
"[Add Parameter, Remove Parameter]",1
"[Replace Variable With Attribute, Change Attribute Type]",1
"[Add Method Annotation, Add Attribute Annotation]",1
"[Add Method Annotation, Inline Method]",1
"[Rename Variable, Remove Parameter]",1
"[Extract Variable, Add Thrown Exception Type]",1
"[Pull Up Method, Replace Variable With Attribute]",1
"[Change Variable Type, Extract Method]",1
"[Extract Method, Rename Parameter]",1
"[Extract Variable, Change Attribute Type]",1
"[Remove Method Annotation, Add Variable Annotation]",1
"[Move Method, Move Attribute]",1
"[Encapsulate Attribute, Extract And Move Method]",1
"[Change Parameter Type, Change Return Type]",1
"[Add Parameter, Remove Method Annotation]",1
"[Remove Thrown Exception Type, Extract Method]",1
"[Rename Attribute, Change Variable Type]",1
"[Add Variable Modifier, Extract Attribute]",1
"[Extract Method, Add Class Modifier]",1
"[Change Parameter Type, Extract Method]",1
"[Extract Variable, Rename Parameter]",1
"[Change Return Type, Change Attribute Type]",1
"[Move Package, Move And Rename Class]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Add Parameter, Rename Attribute]",1
"[Remove Method Annotation, Change Variable Type]",1
"[Change Attribute Access Modifier, Change Method Access Modifier]",1
"[Change Variable Type, Inline Variable]",1
combination,number
"[Change Parameter Type, Change Variable Type, Change Attribute Type]",3
"[Rename Variable, Change Variable Type, Change Attribute Type]",2
"[Rename Variable, Change Variable Type, Inline Variable]",2
"[Change Parameter Type, Inline Variable, Rename Parameter]",2
"[Change Attribute Access Modifier, Add Thrown Exception Type, Rename Parameter]",2
"[Rename Variable, Extract Variable, Extract Method]",2
"[Change Method Access Modifier, Change Return Type, Inline Variable]",2
"[Parameterize Attribute, Add Parameter, Extract Method]",2
"[Add Method Annotation, Change Variable Type, Extract Method]",2
"[Rename Variable, Parameterize Variable, Extract Method]",1
"[Change Parameter Type, Change Return Type, Change Attribute Type]",1
"[Change Parameter Type, Add Parameter, Parameterize Variable]",1
"[Change Parameter Type, Add Parameter, Change Return Type]",1
"[Rename Method, Rename Variable, Rename Attribute]",1
"[Add Parameter, Rename Variable, Inline Variable]",1
"[Rename Package, Move Class, Add Thrown Exception Type]",1
"[Localize Parameter, Add Parameter, Extract Variable]",1
"[Change Attribute Access Modifier, Change Method Access Modifier, Remove Method Annotation]",1
"[Move Method, Extract Class, Change Variable Type]",1
"[Remove Method Annotation, Change Variable Type, Add Thrown Exception Type]",1
"[Rename Method, Add Method Annotation, Rename Attribute]",1
"[Add Parameter, Parameterize Variable, Extract Method]",1
"[Rename Variable, Remove Variable Modifier, Change Variable Type]",1
"[Change Attribute Access Modifier, Add Attribute Modifier, Change Attribute Type]",1
"[Rename Method, Change Method Access Modifier, Change Return Type]",1
"[Inline Method, Replace Attribute With Variable, Change Variable Type]",1
"[Add Method Annotation, Modify Method Annotation, Change Return Type]",1
"[Add Variable Modifier, Rename Variable, Change Variable Type]",1
"[Add Parameter, Extract Attribute, Add Parameter Modifier]",1
"[Rename Variable, Extract Method, Rename Parameter]",1
"[Rename Method, Encapsulate Attribute, Extract Method]",1
"[Add Attribute Modifier, Add Parameter Modifier, Rename Attribute]",1
"[Change Parameter Type, Change Thrown Exception Type, Inline Variable]",1
"[Add Parameter, Rename Variable, Change Variable Type]",1
"[Change Method Access Modifier, Change Return Type, Change Attribute Type]",1
"[Add Attribute Modifier, Move Class, Remove Attribute Modifier]",1
"[Encapsulate Attribute, Extract Variable, Extract Method]",1
"[Rename Variable, Extract Method, Inline Variable]",1
"[Move Attribute, Change Variable Type, Add Thrown Exception Type]",1
"[Remove Thrown Exception Type, Extract Variable, Change Variable Type]",1
"[Change Return Type, Change Variable Type, Change Attribute Type]",1
"[Add Attribute Modifier, Replace Attribute With Variable, Extract Method]",1
"[Add Method Annotation, Rename Attribute, Extract Variable]",1
"[Rename Variable, Change Variable Type, Extract Method]",1
"[Rename Variable, Change Method Access Modifier, Change Variable Type]",1
"[Remove Attribute Modifier, Change Variable Type, Inline Variable]",1
"[Change Method Access Modifier, Move Method, Add Method Modifier]",1
"[Rename Variable, Extract Method, Extract And Move Method]",1
"[Rename Method, Change Method Access Modifier, Extract Method]",1
"[Change Attribute Access Modifier, Extract Method, Rename Parameter]",1
