combination,number
[Extract Method],40
[Extract Variable],38
[Add Parameter],26
[Change Variable Type],18
[Rename Variable],18
[Modify Class Annotation],16
[Add Method Annotation],15
[Change Attribute Access Modifier],13
[Rename Method],12
[Change Method Access Modifier],11
[Remove Attribute Modifier],10
[Add Thrown Exception Type],10
[Move Source Folder],7
[Extract Attribute],7
[Remove Parameter],6
[Add Variable Modifier],6
[Inline Variable],5
[Rename Attribute],5
[Add Method Modifier],4
[Change Return Type],4
[Remove Thrown Exception Type],4
[Rename Parameter],4
[Add Class Annotation],3
[Extract And Move Method],3
[Modify Attribute Annotation],2
[Add Parameter Modifier],2
[Pull Up Method],2
[Add Attribute Modifier],2
[Localize Parameter],1
[Remove Variable Modifier],1
[Move Attribute],1
[Replace Attribute With Variable],1
[Change Thrown Exception Type],1
[Replace Anonymous With Lambda],1
[Move And Inline Method],1
[Remove Method Modifier],1
[Encapsulate Attribute],1
[Parameterize Attribute],1
[Push Down Method],1
[Inline Attribute],1
[Inline Method],1
[Remove Attribute Annotation],1
[Add Attribute Annotation],1
[Extract Superclass],1
[Change Class Access Modifier],1
[Change Attribute Type],1
combination,number
"[Rename Variable, Extract Method]",6
"[Rename Variable, Change Variable Type]",6
"[Add Parameter, Modify Class Annotation]",5
"[Add Parameter, Extract Variable]",5
"[Add Parameter, Extract Method]",4
"[Parameterize Variable, Extract Method]",4
"[Change Return Type, Change Variable Type]",3
"[Extract Variable, Extract Method]",3
"[Change Variable Type, Extract Method]",3
"[Add Parameter, Add Thrown Exception Type]",3
"[Rename Variable, Rename Attribute]",3
"[Change Method Access Modifier, Extract Variable]",3
"[Add Method Annotation, Extract Variable]",2
"[Change Variable Type, Extract Variable]",2
"[Rename Attribute, Modify Class Annotation]",2
"[Add Method Annotation, Add Parameter]",2
"[Extract Variable, Modify Class Annotation]",2
"[Modify Class Annotation, Extract Method]",2
"[Remove Method Annotation, Extract Method]",2
"[Extract Method, Inline Variable]",2
"[Rename Variable, Extract Variable]",2
"[Add Method Annotation, Modify Class Annotation]",2
"[Add Attribute Modifier, Extract Method]",2
"[Rename Method, Extract Method]",2
"[Change Method Access Modifier, Extract Method]",2
"[Extract Method, Extract And Move Method]",2
"[Add Parameter, Remove Parameter]",2
"[Add Method Annotation, Change Variable Type]",2
"[Add Method Annotation, Change Method Access Modifier]",2
"[Remove Attribute Annotation, Add Attribute Annotation]",1
"[Remove Class Annotation, Modify Class Annotation]",1
"[Add Parameter, Rename Variable]",1
"[Add Attribute Annotation, Modify Class Annotation]",1
"[Change Attribute Access Modifier, Remove Method Modifier]",1
"[Add Method Modifier, Extract Method]",1
"[Replace Attribute With Variable, Rename Parameter]",1
"[Add Variable Modifier, Add Parameter]",1
"[Inline Method, Change Return Type]",1
"[Localize Parameter, Add Parameter]",1
"[Add Parameter, Pull Up Attribute]",1
"[Extract Method, Change Attribute Type]",1
"[Remove Parameter, Parameterize Variable]",1
"[Rename Method, Change Attribute Type]",1
"[Add Method Modifier, Remove Attribute Modifier]",1
"[Change Thrown Exception Type, Add Thrown Exception Type]",1
"[Extract Attribute, Extract Method]",1
