combination,number
[Add Parameter],52
[Extract Variable],42
[Extract Method],34
[Modify Method Annotation],22
[Rename Method],22
[Rename Attribute],22
[Add Method Annotation],20
[Change Variable Type],19
[Remove Parameter],17
[Rename Variable],15
[Change Attribute Type],14
[Change Return Type],10
[Add Thrown Exception Type],9
[Encapsulate Attribute],7
[Rename Parameter],7
[Move Class],6
[Change Method Access Modifier],6
[Remove Method Annotation],6
[Change Attribute Access Modifier],5
[Extract And Move Method],5
[Remove Thrown Exception Type],5
[Change Parameter Type],4
[Move Source Folder],4
[Add Method Modifier],4
[Inline Variable],3
[Add Class Annotation],3
[Add Variable Modifier],3
[Add Attribute Modifier],3
[Add Parameter Annotation],2
[Rename Class],2
[Extract Attribute],2
[Replace Attribute With Variable],2
[Change Thrown Exception Type],2
[Replace Variable With Attribute],2
[Remove Attribute Modifier],2
[Move Method],2
[Add Parameter Modifier],2
[Localize Parameter],1
[Reorder Parameter],1
[Remove Method Modifier],1
[Pull Up Method],1
[Inline Method],1
[Add Attribute Annotation],1
[Change Type Declaration Kind],1
combination,number
"[Add Parameter, Extract Method]",9
"[Add Parameter, Extract Variable]",6
"[Rename Variable, Change Variable Type]",6
"[Extract Variable, Extract Method]",6
"[Change Attribute Access Modifier, Add Attribute Annotation]",5
"[Change Parameter Type, Rename Parameter]",5
"[Rename Method, Modify Method Annotation]",4
"[Add Parameter, Rename Attribute]",4
"[Rename Method, Rename Parameter]",3
"[Change Return Type, Change Variable Type]",3
"[Add Parameter, Change Variable Type]",3
"[Rename Method, Add Parameter]",3
"[Add Parameter, Rename Parameter]",3
"[Modify Method Annotation, Extract Variable]",3
"[Add Method Annotation, Change Method Access Modifier]",3
"[Add Parameter, Encapsulate Attribute]",3
"[Replace Variable With Attribute, Change Variable Type]",2
"[Add Parameter, Add Attribute Modifier]",2
"[Change Variable Type, Change Attribute Type]",2
"[Move Source Folder, Move Class]",2
"[Change Method Access Modifier, Remove Method Modifier]",2
"[Rename Variable, Extract Variable]",2
"[Add Parameter, Remove Parameter]",2
"[Encapsulate Attribute, Remove Attribute Modifier]",2
"[Add Thrown Exception Type, Extract Method]",2
"[Add Variable Modifier, Rename Variable]",2
"[Rename Variable, Rename Attribute]",2
"[Change Parameter Type, Change Attribute Type]",2
"[Change Return Type, Remove Method Annotation]",2
"[Change Method Access Modifier, Move Method]",2
"[Parameterize Attribute, Extract Method]",2
"[Rename Method, Rename Attribute]",2
"[Change Attribute Type, Inline Variable]",2
"[Rename Attribute, Change Attribute Type]",2
"[Modify Method Annotation, Extract Method]",2
"[Rename Variable, Extract Method]",2
"[Add Parameter, Change Return Type]",2
"[Add Method Annotation, Change Return Type]",2
"[Change Variable Type, Extract Method]",2
"[Change Return Type, Change Attribute Type]",2
"[Modify Method Annotation, Change Variable Type]",2
"[Add Parameter, Rename Variable]",1
"[Move Source Folder, Extract Variable]",1
"[Add Variable Modifier, Replace Variable With Attribute]",1
"[Add Class Annotation, Add Attribute Annotation]",1
"[Add Method Modifier, Extract Method]",1
"[Add Variable Modifier, Add Parameter]",1
"[Extract Variable, Extract And Move Method]",1
"[Localize Parameter, Add Parameter]",1
"[Remove Parameter, Parameterize Variable]",1
"[Change Variable Type, Extract Variable]",1
"[Rename Attribute, Modify Class Annotation]",1
"[Inline Attribute, Rename Class]",1
"[Add Parameter, Change Attribute Access Modifier]",1
"[Change Attribute Access Modifier, Remove Attribute Modifier]",1
"[Rename Variable, Extract And Move Method]",1
"[Change Attribute Access Modifier, Extract Method]",1
"[Add Parameter Annotation, Extract Method]",1
"[Add Variable Modifier, Extract Variable]",1
"[Add Attribute Modifier, Extract Variable]",1
"[Add Method Annotation, Extract Method]",1
"[Localize Parameter, Change Method Access Modifier]",1
"[Add Attribute Modifier, Change Attribute Type]",1
"[Add Variable Modifier, Change Attribute Type]",1
"[Change Return Type, Encapsulate Attribute]",1
"[Add Parameter, Change Attribute Type]",1
"[Inline Variable, Extract Method]",1
"[Rename Attribute, Rename Parameter]",1
"[Remove Method Modifier, Extract Variable]",1
"[Encapsulate Attribute, Add Thrown Exception Type]",1
"[Change Parameter Type, Move And Rename Class]",1
"[Add Parameter, Change Parameter Type]",1
"[Extract Variable, Change Class Access Modifier]",1
"[Move Source Folder, Rename Class]",1
"[Inline Method, Rename Variable]",1
"[Rename Class, Change Variable Type]",1
"[Add Parameter, Replace Variable With Attribute]",1
"[Change Thrown Exception Type, Change Variable Type]",1
"[Add Class Annotation, Move Source Folder]",1
"[Extract Variable, Add Thrown Exception Type]",1
"[Change Method Access Modifier, Extract And Move Method]",1
"[Parameterize Variable, Extract Method]",1
"[Add Attribute Modifier, Remove Method Modifier]",1
"[Rename Attribute, Change Variable Type]",1
"[Rename Method, Extract Variable]",1
"[Modify Method Annotation, Add Thrown Exception Type]",1
"[Inline Method, Rename Attribute]",1
"[Change Return Type, Extract Method]",1
"[Remove Attribute Modifier, Change Class Access Modifier]",1
"[Move Class, Inline Variable]",1
"[Add Class Annotation, Change Return Type]",1
"[Add Parameter, Extract Superclass]",1
"[Remove Method Annotation, Change Attribute Type]",1
"[Rename Method, Replace Variable With Attribute]",1
"[Extract Method, Change Attribute Type]",1
"[Localize Parameter, Rename Parameter]",1
"[Add Method Annotation, Rename Variable]",1
"[Modify Method Annotation, Remove Method Annotation]",1
"[Remove Parameter Annotation, Rename Parameter]",1
"[Remove Attribute Modifier, Change Attribute Type]",1
"[Rename Method, Add Attribute Modifier]",1
"[Rename Method, Change Method Access Modifier]",1
"[Change Attribute Access Modifier, Remove Parameter]",1
"[Change Return Type, Inline Variable]",1
"[Change Parameter Type, Change Variable Type]",1
"[Remove Parameter, Rename Parameter]",1
"[Inline Variable, Extract And Move Method]",1
"[Modify Method Annotation, Change Attribute Type]",1
"[Add Method Annotation, Extract And Move Method]",1
"[Replace Variable With Attribute, Extract Method]",1
"[Inline Method, Extract Variable]",1
"[Change Attribute Access Modifier, Inline Variable]",1
"[Change Parameter Type, Extract Variable]",1
"[Remove Parameter Annotation, Remove Method Annotation]",1
"[Change Method Access Modifier, Remove Parameter]",1
"[Remove Variable Modifier, Extract Variable]",1
"[Rename Method, Parameterize Variable]",1
"[Rename Attribute, Extract Variable]",1
"[Extract Method, Extract And Move Method]",1
"[Add Method Annotation, Modify Method Annotation]",1
"[Add Parameter, Parameterize Variable]",1
"[Modify Method Annotation, Rename Variable]",1
"[Add Method Modifier, Remove Method Modifier]",1
"[Modify Method Annotation, Add Parameter]",1
"[Add Attribute Modifier, Add Class Modifier]",1
"[Change Return Type, Replace Variable With Attribute]",1
"[Change Attribute Access Modifier, Encapsulate Attribute]",1
"[Rename Method, Remove Method Annotation]",1
"[Change Variable Type, Add Thrown Exception Type]",1
"[Change Method Access Modifier, Change Return Type]",1
"[Rename Method, Change Return Type]",1
"[Rename Class, Change Attribute Type]",1
"[Add Parameter, Add Thrown Exception Type]",1
"[Add Attribute Annotation, Rename Attribute]",1
"[Change Variable Type, Extract And Move Method]",1
"[Rename Package, Move Class]",1
"[Add Variable Modifier, Add Parameter Modifier]",1
combination,number
"[Change Attribute Access Modifier, Add Attribute Annotation, Extract Variable]",2
"[Add Class Annotation, Rename Variable, Extract Method]",2
"[Rename Method, Add Parameter, Rename Variable]",2
"[Add Method Annotation, Change Method Access Modifier, Extract Variable]",2
"[Rename Method, Rename Attribute, Rename Parameter]",2
"[Add Method Annotation, Add Parameter, Remove Parameter]",2
"[Add Parameter, Rename Variable, Extract Variable]",2
"[Add Parameter, Rename Variable, Change Variable Type]",2
"[Add Parameter, Move Method, Move Attribute]",2
"[Rename Variable, Extract Variable, Change Variable Type]",2
"[Rename Variable, Replace Variable With Attribute, Extract Method]",2
"[Add Method Annotation, Add Method Modifier, Remove Method Annotation]",1
"[Extract Superclass, Change Variable Type, Change Attribute Type]",1
"[Parameterize Variable, Extract Method, Extract And Move Method]",1
"[Rename Method, Change Return Type, Change Variable Type]",1
"[Add Parameter, Change Parameter Type, Remove Parameter]",1
"[Add Method Modifier, Add Attribute Modifier, Add Class Modifier]",1
"[Change Attribute Access Modifier, Change Method Access Modifier, Remove Parameter]",1
"[Change Method Access Modifier, Add Attribute Modifier, Rename Parameter]",1
"[Add Class Annotation, Remove Thrown Exception Type, Remove Method Annotation]",1
"[Rename Method, Add Parameter, Add Attribute Modifier]",1
"[Localize Parameter, Add Parameter, Add Thrown Exception Type]",1
"[Rename Method, Rename Variable, Rename Attribute]",1
"[Add Variable Modifier, Change Return Type, Remove Method Annotation]",1
"[Add Parameter, Extract Variable, Extract Method]",1
"[Remove Variable Modifier, Parameterize Variable, Extract Method]",1
"[Rename Method, Add Parameter, Remove Method Modifier]",1
"[Add Class Annotation, Remove Method Modifier, Remove Class Annotation]",1
"[Change Attribute Access Modifier, Rename Attribute, Rename Parameter]",1
"[Add Method Annotation, Change Method Access Modifier, Encapsulate Attribute]",1
"[Move Method, Add Attribute Modifier, Change Attribute Type]",1
"[Encapsulate Attribute, Rename Attribute, Remove Attribute Modifier]",1
"[Add Parameter, Change Method Access Modifier, Extract Method]",1
"[Change Return Type, Remove Thrown Exception Type, Add Thrown Exception Type]",1
"[Rename Package, Move Source Folder, Move Class]",1
"[Modify Method Annotation, Change Return Type, Extract Variable]",1
"[Rename Method, Rename Class, Rename Attribute]",1
"[Add Method Annotation, Add Parameter, Add Variable Annotation]",1
"[Remove Method Annotation, Encapsulate Attribute, Rename Attribute]",1
"[Add Method Annotation, Rename Variable, Change Method Access Modifier]",1
"[Change Attribute Access Modifier, Pull Up Attribute, Change Thrown Exception Type]",1
"[Change Attribute Access Modifier, Extract Attribute, Add Attribute Annotation]",1
"[Change Return Type, Change Variable Type, Change Attribute Type]",1
"[Rename Variable, Remove Method Modifier, Change Attribute Type]",1
"[Add Attribute Modifier, Remove Method Modifier, Change Attribute Type]",1
"[Add Parameter, Extract Method, Extract And Move Method]",1
"[Parameterize Attribute, Add Parameter, Add Class Modifier]",1
"[Add Parameter Annotation, Add Parameter, Add Attribute Modifier]",1
"[Add Method Annotation, Change Parameter Type, Change Attribute Type]",1
"[Parameterize Attribute, Extract Variable, Extract Method]",1
"[Rename Attribute, Encapsulate Attribute, Extract Variable]",1
"[Merge Attribute, Change Parameter Type, Change Variable Type]",1
"[Rename Attribute, Add Thrown Exception Type, Rename Parameter]",1
"[Move Package, Move Class, Extract Method]",1
"[Localize Parameter, Move Attribute, Add Thrown Exception Type]",1
"[Add Parameter, Add Attribute Modifier, Change Attribute Type]",1
"[Add Parameter, Extract Variable, Add Thrown Exception Type]",1
"[Add Class Annotation, Change Class Access Modifier, Extract Method]",1
"[Change Method Access Modifier, Move Method, Extract Variable]",1
"[Rename Method, Change Return Type, Extract Method]",1
"[Add Class Annotation, Add Thrown Exception Type, Remove Class Annotation]",1
"[Rename Class, Change Thrown Exception Type, Change Variable Type]",1
"[Rename Variable, Change Return Type, Change Variable Type]",1
