combination,number
[Add Class Annotation],37
[Extract Method],34
[Modify Method Annotation],30
[Add Parameter],23
[Rename Method],20
[Add Method Annotation],17
[Extract Variable],12
[Modify Class Annotation],12
[Rename Attribute],10
[Remove Class Annotation],10
[Add Variable Modifier],9
[Change Method Access Modifier],8
[Rename Variable],8
[Remove Parameter],8
[Rename Parameter],7
[Remove Method Annotation],6
[Change Variable Type],6
[Remove Variable Modifier],6
[Remove Thrown Exception Type],6
[Inline Variable],5
[Add Attribute Annotation],5
[Extract Attribute],5
[Add Method Modifier],5
[Move Source Folder],4
[Move Class],4
[Inline Method],4
[Add Attribute Modifier],4
[Change Return Type],4
[Replace Anonymous With Lambda],3
[Add Parameter Modifier],3
[Add Thrown Exception Type],3
[Add Parameter Annotation],3
[Change Parameter Type],3
[Rename Class],3
[Remove Attribute Modifier],3
[Modify Attribute Annotation],3
[Change Attribute Type],3
[Encapsulate Attribute],2
[Change Class Access Modifier],2
[Add Variable Annotation],2
[Move Method],2
[Pull Up Attribute],1
[Move Attribute],1
[Modify Parameter Annotation],1
[Remove Method Modifier],1
[Remove Class Modifier],1
[Change Attribute Access Modifier],1
[Add Class Modifier],1
[Replace Attribute],1
combination,number
"[Add Variable Modifier, Add Parameter Modifier]",9
"[Add Class Annotation, Remove Class Annotation]",6
"[Rename Method, Modify Method Annotation]",5
"[Change Return Type, Change Variable Type]",4
"[Add Attribute Modifier, Remove Parameter]",4
"[Modify Method Annotation, Add Parameter]",4
"[Add Parameter, Change Method Access Modifier]",3
"[Add Class Annotation, Add Attribute Annotation]",3
"[Change Attribute Access Modifier, Extract Method]",3
"[Add Parameter, Extract Variable]",3
"[Add Class Annotation, Modify Class Annotation]",3
"[Add Parameter, Extract Method]",3
"[Modify Method Annotation, Extract Method]",3
"[Change Parameter Type, Rename Parameter]",3
"[Rename Method, Rename Parameter]",2
"[Add Parameter, Add Attribute Modifier]",2
"[Add Parameter Modifier, Extract Method]",2
"[Add Attribute Annotation, Remove Attribute Modifier]",2
"[Add Method Annotation, Add Class Annotation]",2
"[Rename Attribute, Rename Parameter]",2
"[Rename Variable, Change Variable Type]",2
"[Modify Method Annotation, Add Attribute Annotation]",2
"[Add Parameter, Remove Variable Modifier]",2
"[Change Parameter Type, Rename Class]",2
"[Modify Method Annotation, Remove Method Annotation]",2
"[Rename Method, Add Parameter]",2
"[Add Class Annotation, Add Parameter]",2
"[Rename Attribute, Change Attribute Type]",2
"[Add Method Annotation, Modify Class Annotation]",2
"[Rename Variable, Extract Method]",2
"[Change Attribute Access Modifier, Encapsulate Attribute]",2
"[Extract Variable, Extract Method]",2
"[Add Method Modifier, Rename Class]",2
"[Rename Package, Move Class]",2
"[Add Method Annotation, Change Method Access Modifier]",2
"[Add Method Annotation, Add Variable Annotation]",2
"[Add Parameter, Add Parameter Modifier]",2
"[Remove Class Annotation, Modify Class Annotation]",1
"[Add Parameter, Rename Variable]",1
"[Rename Attribute, Add Variable Annotation]",1
"[Add Attribute Annotation, Extract Method]",1
"[Replace Anonymous With Lambda, Add Method Modifier]",1
"[Add Variable Modifier, Add Parameter]",1
"[Localize Parameter, Add Parameter]",1
"[Add Attribute Modifier, Move Class]",1
"[Modify Method Annotation, Extract Interface]",1
"[Add Parameter, Modify Attribute Annotation]",1
"[Change Attribute Type, Modify Class Annotation]",1
"[Modify Method Annotation, Remove Parameter]",1
"[Rename Method, Add Method Modifier]",1
"[Add Method Annotation, Rename Parameter]",1
"[Change Method Access Modifier, Move Class]",1
"[Change Attribute Access Modifier, Add Parameter]",1
"[Move Class, Modify Class Annotation]",1
"[Move And Rename Method, Move Method]",1
"[Add Parameter, Modify Class Annotation]",1
"[Modify Method Annotation, Move Method]",1
"[Add Method Annotation, Remove Method Annotation]",1
"[Add Class Annotation, Remove Parameter]",1
"[Rename Method, Add Attribute Annotation]",1
"[Add Method Annotation, Extract Method]",1
"[Remove Parameter, Extract Method]",1
"[Change Attribute Access Modifier, Add Attribute Modifier]",1
"[Rename Method, Extract Method]",1
"[Add Class Annotation, Add Attribute Modifier]",1
"[Add Method Annotation, Add Parameter Annotation]",1
"[Change Return Type, Rename Parameter]",1
"[Add Class Annotation, Add Variable Modifier]",1
"[Change Parameter Type, Add Parameter]",1
"[Add Parameter, Remove Method Modifier]",1
"[Remove Parameter Modifier, Remove Variable Modifier]",1
"[Rename Method, Extract Attribute]",1
"[Rename Variable, Remove Method Annotation]",1
"[Encapsulate Attribute, Remove Attribute Modifier]",1
"[Rename Class, Rename Parameter]",1
"[Rename Method, Remove Thrown Exception Type]",1
"[Add Parameter, Remove Method Annotation]",1
"[Add Class Annotation, Modify Attribute Annotation]",1
"[Change Return Type, Extract Variable]",1
"[Move Attribute, Extract Method]",1
"[Change Return Type, Remove Class Annotation]",1
"[Add Variable Modifier, Change Variable Type]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Add Parameter, Rename Attribute]",1
"[Add Method Modifier, Extract Variable]",1
"[Remove Attribute Annotation, Add Attribute Annotation]",1
"[Add Class Annotation, Change Return Type]",1
"[Pull Up Method, Change Method Access Modifier]",1
"[Modify Method Annotation, Rename Attribute]",1
"[Change Attribute Access Modifier, Add Method Modifier]",1
"[Remove Class Annotation, Extract Method]",1
"[Pull Up Method, Pull Up Attribute]",1
"[Change Method Access Modifier, Move Method]",1
"[Add Method Annotation, Add Parameter]",1
"[Add Method Annotation, Add Variable Modifier]",1
"[Split Package, Move Class]",1
