combination,number
[Add Method Annotation],12
[Add Parameter],12
[Rename Method],10
[Extract Method],10
[Change Method Access Modifier],8
[Rename Attribute],8
[Add Parameter Annotation],6
[Extract Variable],6
[Modify Method Annotation],5
[Move Source Folder],5
[Rename Variable],5
[Change Return Type],5
[Move Class],4
[Remove Method Annotation],4
[Change Variable Type],4
[Rename Class],3
[Inline Variable],3
[Add Class Annotation],3
[Change Attribute Access Modifier],3
[Add Attribute Modifier],3
[Extract And Move Method],2
[Modify Attribute Annotation],2
[Move Method],2
[Add Thrown Exception Type],2
[Remove Thrown Exception Type],2
[Add Attribute Annotation],2
[Extract Interface],2
[Change Attribute Type],2
[Rename Parameter],2
[Change Parameter Type],1
[Remove Variable Modifier],1
[Remove Parameter],1
[Change Thrown Exception Type],1
[Modify Class Annotation],1
[Add Class Modifier],1
[Replace Anonymous With Lambda],1
[Encapsulate Attribute],1
[Replace Loop With Pipeline],1
[Pull Up Method],1
[Add Variable Modifier],1
[Inline Method],1
[Remove Attribute Annotation],1
[Remove Class Annotation],1
combination,number
"[Rename Method, Change Return Type]",4
"[Add Class Annotation, Remove Class Annotation]",2
"[Change Method Access Modifier, Change Variable Type]",2
"[Add Parameter, Rename Parameter]",2
"[Rename Method, Modify Method Annotation]",2
"[Rename Variable, Change Variable Type]",2
"[Rename Variable, Rename Parameter]",1
"[Add Parameter, Change Method Access Modifier]",1
"[Move Class, Extract And Move Method]",1
"[Inline Method, Replace Loop With Pipeline]",1
"[Extract Variable, Extract And Move Method]",1
"[Move Source Folder, Move Class]",1
"[Change Variable Type, Extract Variable]",1
"[Extract Attribute, Split Variable]",1
"[Modify Attribute Annotation, Add Parameter]",1
"[Change Variable Type, Replace Loop With Pipeline]",1
"[Rename Method, Change Method Access Modifier]",1
"[Rename Method, Change Variable Type]",1
"[Change Return Type, Change Variable Type]",1
"[Rename Method, Rename Attribute]",1
"[Add Method Annotation, Extract And Move Method]",1
"[Add Parameter, Extract Variable]",1
"[Remove Method Annotation, Extract Variable]",1
"[Add Parameter, Extract Interface]",1
"[Add Method Annotation, Add Parameter Annotation]",1
"[Change Method Access Modifier, Extract Method]",1
"[Rename Variable, Extract Method]",1
"[Add Parameter Annotation, Rename Parameter]",1
"[Extract Variable, Add Variable Annotation]",1
"[Change Return Type, Move Class]",1
"[Rename Class, Change Variable Type]",1
"[Add Method Annotation, Change Return Type]",1
"[Rename Method, Add Parameter Annotation]",1
"[Remove Variable Modifier, Change Variable Type]",1
"[Add Class Annotation, Remove Method Annotation]",1
"[Add Class Annotation, Remove Attribute Annotation]",1
"[Move And Rename Method, Remove Method Modifier]",1
"[Change Variable Type, Extract Method]",1
"[Rename Method, Remove Method Annotation]",1
"[Change Variable Type, Add Thrown Exception Type]",1
"[Change Return Type, Extract And Move Method]",1
"[Encapsulate Attribute, Extract And Move Method]",1
"[Parameterize Variable, Extract Method]",1
"[Add Method Annotation, Add Thrown Exception Type]",1
"[Rename Package, Move Class]",1
"[Extract Variable, Rename Parameter]",1
"[Add Method Annotation, Change Method Access Modifier]",1
"[Rename Method, Extract Variable]",1
"[Modify Attribute Annotation, Modify Class Annotation]",1
"[Change Method Access Modifier, Extract Variable]",1
"[Move Package, Move Class]",1
"[Rename Variable, Remove Variable Modifier]",1
combination,number
"[Change Return Type, Change Variable Type, Change Attribute Type]",2
"[Add Parameter, Extract Variable, Extract And Move Method]",1
"[Rename Method, Modify Method Annotation, Extract Method]",1
"[Change Variable Type, Extract Variable, Extract Method]",1
"[Rename Class, Change Variable Type, Rename Parameter]",1
"[Rename Method, Extract Variable, Extract Method]",1
"[Add Parameter, Inline Method, Extract And Move Method]",1
"[Add Method Annotation, Add Class Annotation, Add Attribute Annotation]",1
"[Pull Up Method, Pull Up Attribute, Extract Superclass]",1
"[Rename Method, Change Method Access Modifier, Change Variable Type]",1
"[Change Method Access Modifier, Move Method, Add Method Modifier]",1
"[Rename Method, Change Variable Type, Extract And Move Method]",1
"[Rename Method, Rename Variable, Rename Attribute]",1
"[Add Parameter, Change Method Access Modifier, Move Method]",1
"[Change Attribute Access Modifier, Encapsulate Attribute, Change Attribute Type]",1
"[Add Method Annotation, Change Method Access Modifier, Extract Method]",1
"[Rename Method, Change Parameter Type, Change Method Access Modifier]",1
"[Add Method Annotation, Move Class, Remove Method Annotation]",1
"[Add Method Annotation, Rename Variable, Change Variable Type]",1
"[Rename Variable, Extract Method, Change Attribute Type]",1
"[Add Class Annotation, Modify Method Annotation, Add Parameter]",1
"[Add Method Modifier, Change Variable Type, Extract Method]",1
"[Add Parameter, Change Method Access Modifier, Remove Method Annotation]",1
"[Add Parameter, Change Method Access Modifier, Add Thrown Exception Type]",1
"[Change Parameter Type, Change Method Access Modifier, Change Variable Type]",1
"[Add Method Annotation, Add Parameter Annotation, Remove Method Annotation]",1
"[Move And Inline Method, Inline Method, Rename Variable]",1
"[Change Thrown Exception Type, Extract Variable, Add Thrown Exception Type]",1
"[Rename Method, Change Return Type, Extract Variable]",1
"[Add Parameter, Change Method Access Modifier, Extract Method]",1
"[Change Parameter Type, Remove Thrown Exception Type, Change Variable Type]",1
"[Add Method Annotation, Add Parameter, Rename Class]",1
"[Replace Loop With Pipeline, Inline Variable, Rename Parameter]",1
"[Remove Class Modifier, Move Class, Change Variable Type]",1
"[Rename Variable, Change Variable Type, Inline Variable]",1
"[Add Parameter, Add Thrown Exception Type, Rename Parameter]",1
"[Change Attribute Access Modifier, Add Parameter, Change Return Type]",1
"[Add Method Annotation, Add Parameter, Remove Parameter]",1
"[Add Class Annotation, Rename Variable, Remove Parameter]",1
"[Change Return Type, Encapsulate Attribute, Change Attribute Type]",1
"[Add Parameter Annotation, Remove Thrown Exception Type, Extract Variable]",1
"[Remove Class Modifier, Rename Class, Modify Class Annotation]",1
"[Localize Parameter, Change Method Access Modifier, Change Class Access Modifier]",1
"[Add Parameter, Rename Variable, Change Variable Type]",1
"[Add Parameter, Change Return Type, Add Thrown Exception Type]",1
"[Remove Method Modifier, Extract Variable, Remove Class Annotation]",1
combination,number
"[Move And Rename Method, Remove Parameter, Remove Method Modifier, Rename Parameter]",1
"[Add Parameter, Change Method Access Modifier, Move Method, Add Method Modifier]",1
"[Add Class Annotation, Add Method Annotation, Inline Variable, Extract And Move Method]",1
"[Add Parameter Annotation, Change Method Access Modifier, Change Class Access Modifier, Extract Method]",1
"[Change Attribute Access Modifier, Change Method Access Modifier, Remove Method Modifier, Remove Attribute Modifier]",1
"[Rename Method, Change Parameter Type, Change Return Type, Extract Superclass]",1
"[Change Method Access Modifier, Change Return Type, Move Class, Change Variable Type]",1
