type of refactory in a commit,the number of commit
0,4208
1,707
2,323
3,211
4,176
5,108
6,121
7,91
8,80
9,67
10,69
11,50
12,34
13,37
14,32
15,37
16,30
17,27
18,28
19,23
20,25
21,15
22,5
23,15
24,10
25,18
26,19
27,17
28,9
29,18
30,10
31,10
32,10
33,6
34,8
35,5
36,7
37,5
38,10
39,9
40,6
41,5
42,7
43,1
44,6
45,5
46,4
47,4
48,9
49,9
50,1
51,4
52,5
53,2
55,2
56,2
57,2
59,3
60,3
61,3
62,4
63,6
64,3
65,2
66,2
68,2
70,2
71,2
72,1
73,1
75,1
76,2
77,1
78,2
79,2
80,1
81,1
82,3
83,3
84,2
86,1
90,1
91,1
93,1
94,1
95,1
97,1
98,2
99,1
100,1
104,1
107,1
108,1
109,2
111,1
114,1
116,1
122,1
123,1
125,1
127,1
129,1
130,1
131,1
139,2
145,1
146,1
150,1
151,2
153,1
154,1
155,2
160,1
163,1
174,2
179,2
184,2
189,1
193,1
194,1
198,1
203,1
211,1
221,1
227,1
232,1
236,1
237,1
268,1
342,1
352,1
356,1
601,1
602,1
925,1
1630,1
1805,1
