lable,refatory
0d4f0aa392851e9ee9935cd5802633a79d6014cb40,Add Variable Modifier
0d4f0aa392851e9ee9935cd5802633a79d6014cb42,Add Variable Modifier
820d024091652c6e8be77c54b2413b50fd353aee2,Move Method
0d4f0aa392851e9ee9935cd5802633a79d6014cb41,Add Variable Modifier
0d4f0aa392851e9ee9935cd5802633a79d6014cb44,Add Variable Modifier
0d4f0aa392851e9ee9935cd5802633a79d6014cb43,Add Variable Modifier
0d4f0aa392851e9ee9935cd5802633a79d6014cb4,Add Attribute Modifier
1846c030923a612c0b17aab9d842a4ebf0a33a6e1,Add Thrown Exception Type
0d4f0aa392851e9ee9935cd5802633a79d6014cb48,Add Variable Modifier
7b8d7a8c091a7d1a40b1cce59d70cbfdfd2529630,Change Thrown Exception Type
0d4f0aa392851e9ee9935cd5802633a79d6014cb47,Add Variable Modifier
7b8d7a8c091a7d1a40b1cce59d70cbfdfd2529631,Remove Thrown Exception Type
bbe7e7fb78b78dfa323315911beeb55ef694383e4,Move Method
f37004aae0aba1d5beec2769edecfe352b2723131,Rename Variable
f37004aae0aba1d5beec2769edecfe352b2723130,Change Variable Type
a29e2d13ba00b5e6234daffabb2102bbe3b62f680,Change Method Access Modifier
3ae4e9bee5ed1132ad3a77c393a6ffac19c1f62b0,Extract Variable
8119898743eaac9b60e3bdf57389f3c9a95b5a601,Rename Variable
8119898743eaac9b60e3bdf57389f3c9a95b5a600,Change Variable Type
f243f85b7f7aa4203a67344744423358bdda332b8,Change Return Type
0d4f0aa392851e9ee9935cd5802633a79d6014cb37,Add Variable Modifier
ccfdfe779bbf12f3c103854bb3e713edb1479b0d0,Extract Variable
0d4f0aa392851e9ee9935cd5802633a79d6014cb39,Add Variable Modifier
83718c9fc69fffda8833a0d41a682865857e4d2d1,Rename Parameter
0d4f0aa392851e9ee9935cd5802633a79d6014cb38,Add Variable Modifier
83718c9fc69fffda8833a0d41a682865857e4d2d0,Rename Parameter
ddb5890687e436883bde02f7d993af46ad2622153,Change Parameter Type
d9b30368485d9f428b92f785d55618d6fd9f010a0,Inline Variable
d9b30368485d9f428b92f785d55618d6fd9f010a1,Inline Variable
530e927de33f2fc12875fcba54980af82e3af21b0,Extract Method
f243f85b7f7aa4203a67344744423358bdda332b25,Rename Method
c8d54087f9d91a1448e12eb526c8d9c0a5324fc01,Rename Variable
db2e04a7e0f8c3b99f78045c6d3768af3a54efdc0,Remove Attribute Modifier
530e927de33f2fc12875fcba54980af82e3af21b2,Change Variable Type
b4e0dc97bbec3add3378ae36c8d3b82355cfad4e0,Extract Method
530e927de33f2fc12875fcba54980af82e3af21b1,Extract Variable
c8d54087f9d91a1448e12eb526c8d9c0a5324fc00,Rename Parameter
530e927de33f2fc12875fcba54980af82e3af21b4,Rename Parameter
530e927de33f2fc12875fcba54980af82e3af21b3,Rename Parameter
