lable,refatory
2c006dacde5aea6b1628965e2bf9416976043a8229,Add Class Modifier
2c006dacde5aea6b1628965e2bf9416976043a8218,Add Parameter Modifier
2c006dacde5aea6b1628965e2bf9416976043a8217,Add Parameter Modifier
2c006dacde5aea6b1628965e2bf9416976043a8216,Add Parameter Modifier
2c006dacde5aea6b1628965e2bf9416976043a8215,Add Parameter Modifier
2c006dacde5aea6b1628965e2bf9416976043a8219,Add Parameter Modifier
45eddd9438eda9768a8f048a5ed9f4ff8b1594d01,Extract Variable
45eddd9438eda9768a8f048a5ed9f4ff8b1594d00,Change Return Type
9ee0d76358fb6afb4d667bdb704133c3bad544ba0,Change Variable Type
d2cabb049643fb69d3947fd63a60e65cdf70e2a20,Replace Variable With Attribute
d2cabb049643fb69d3947fd63a60e65cdf70e2a21,Change Variable Type
d2cabb049643fb69d3947fd63a60e65cdf70e2a22,Replace Variable With Attribute
45eddd9438eda9768a8f048a5ed9f4ff8b1594d02,Change Variable Type
d2cabb049643fb69d3947fd63a60e65cdf70e2a23,Change Variable Type
2c006dacde5aea6b1628965e2bf9416976043a8221,Add Parameter Modifier
e4840da35ac1c2c29c0d5467f82c4d2e5cdf774c1,Add Method Modifier
2c006dacde5aea6b1628965e2bf9416976043a8220,Add Parameter Modifier
2c006dacde5aea6b1628965e2bf9416976043a8222,Add Parameter Modifier
