lable,refatory
fad72d2ab2b2e470ccd7f83de87993fb351e33051,Inline Variable
3f1e0479213d74a71ed69d8877fc6a479e34b1e110,Change Return Type
fad72d2ab2b2e470ccd7f83de87993fb351e33052,Inline Variable
9774414a6e654edf6071d70d630bcbb0a960b4204,Extract Variable
5dfe5cdef7521d2e41de32d8abd35f9a389ae82a1,Extract Variable
42de574a988684f41229e281c64fdba0b2dbfe244,Extract Attribute
ad51ca03f3af9fe7dcec47291c9f7a6ea586cb1d20,Change Attribute Access Modifier
42de574a988684f41229e281c64fdba0b2dbfe242,Extract Attribute
ad51ca03f3af9fe7dcec47291c9f7a6ea586cb1d23,Change Attribute Access Modifier
331ad145e172c4a862bb294578dfb333b39d28d60,Extract Variable
331ad145e172c4a862bb294578dfb333b39d28d61,Change Variable Type
fbd9fbedbfbf9958b03dff47be6888fdc743ec160,Inline Attribute
ad51ca03f3af9fe7dcec47291c9f7a6ea586cb1d3,Add Class Modifier
d1642beab5d5073dd57c43137f0b7b22cb87ecf955,Modify Class Annotation
395675fb0f4096dc44f1e325681536328956440e89,Extract And Move Method
d9c115e0e9b55b8a61bdce1c43de88a4e1cc6d0d0,Extract Variable
7dc8a8db75c714d3c288b892235ab33f05fb1ed03,Rename Parameter
8f32de0f3626468ebc95fcb72d035479758bf22d1,Change Return Type
78b9c1a91b698d78d881eb5555352ebc4b259e852,Modify Method Annotation
45808eff7c42b097a2bfc434f46812319091d1053,Add Attribute Annotation
78b9c1a91b698d78d881eb5555352ebc4b259e851,Modify Method Annotation
45808eff7c42b097a2bfc434f46812319091d1054,Remove Attribute Annotation
8bd7a5c87f9c80119471b1b29a72067e6650c20e0,Add Thrown Exception Type
ad51ca03f3af9fe7dcec47291c9f7a6ea586cb1d18,Change Attribute Access Modifier
ad51ca03f3af9fe7dcec47291c9f7a6ea586cb1d17,Change Attribute Access Modifier
823c7d1d8397be19b6fe94a7477bebcb288c94fc1,Extract Variable
b921247c3b115c430132f416d3fac5ef7f24c8b40,Extract Variable
d9c115e0e9b55b8a61bdce1c43de88a4e1cc6d0d1,Extract Variable
fad72d2ab2b2e470ccd7f83de87993fb351e33053,Inline Variable
fad72d2ab2b2e470ccd7f83de87993fb351e33054,Inline Variable
021ed91d665d046d4abb9deb862f17386664df2a2,Modify Method Annotation
021ed91d665d046d4abb9deb862f17386664df2a1,Modify Method Annotation
823c7d1d8397be19b6fe94a7477bebcb288c94fc0,Extract Variable
ad51ca03f3af9fe7dcec47291c9f7a6ea586cb1d19,Change Attribute Access Modifier
