lable,refatory
bda6a0c796d055229205c04ff7ac03393ba8726a11,Rename Variable
bda6a0c796d055229205c04ff7ac03393ba8726a36,Change Variable Type
bda6a0c796d055229205c04ff7ac03393ba8726a35,Extract Attribute
bda6a0c796d055229205c04ff7ac03393ba8726a38,Replace Variable With Attribute
bda6a0c796d055229205c04ff7ac03393ba8726a37,Rename Variable
bda6a0c796d055229205c04ff7ac03393ba8726a39,Extract Attribute
bda6a0c796d055229205c04ff7ac03393ba8726a30,Rename Variable
bda6a0c796d055229205c04ff7ac03393ba8726a10,Change Variable Type
bda6a0c796d055229205c04ff7ac03393ba8726a31,Replace Variable With Attribute
7b9b96a0ca0c9969b8870109c6e34e34bde6f4ea50,Remove Method Annotation
bda6a0c796d055229205c04ff7ac03393ba8726a19,Rename Method
adcb5bb70199c1e0e2f0bf23935528c689ea5b4d2,Rename Variable
bda6a0c796d055229205c04ff7ac03393ba8726a45,Rename Variable
bda6a0c796d055229205c04ff7ac03393ba8726a44,Change Variable Type
bda6a0c796d055229205c04ff7ac03393ba8726a47,Extract Attribute
bda6a0c796d055229205c04ff7ac03393ba8726a9,Change Variable Type
bda6a0c796d055229205c04ff7ac03393ba8726a46,Replace Variable With Attribute
bda6a0c796d055229205c04ff7ac03393ba8726a49,Replace Variable With Attribute
bda6a0c796d055229205c04ff7ac03393ba8726a48,Rename Variable
bda6a0c796d055229205c04ff7ac03393ba8726a29,Extract Attribute
7b9b96a0ca0c9969b8870109c6e34e34bde6f4ea52,Remove Method Annotation
bda6a0c796d055229205c04ff7ac03393ba8726a41,Rename Variable
bda6a0c796d055229205c04ff7ac03393ba8726a40,Change Variable Type
7b9b96a0ca0c9969b8870109c6e34e34bde6f4ea36,Remove Method Annotation
bda6a0c796d055229205c04ff7ac03393ba8726a43,Extract Attribute
7b9b96a0ca0c9969b8870109c6e34e34bde6f4ea57,Change Parameter Type
bda6a0c796d055229205c04ff7ac03393ba8726a20,Inline Method
bda6a0c796d055229205c04ff7ac03393ba8726a42,Replace Variable With Attribute
7b9b96a0ca0c9969b8870109c6e34e34bde6f4ea34,Remove Method Annotation
bda6a0c796d055229205c04ff7ac03393ba8726a3,Add Method Modifier
bda6a0c796d055229205c04ff7ac03393ba8726a0,Rename Class
bda6a0c796d055229205c04ff7ac03393ba8726a7,Change Attribute Type
bda6a0c796d055229205c04ff7ac03393ba8726a6,Rename Attribute
bda6a0c796d055229205c04ff7ac03393ba8726a5,Change Return Type
bda6a0c796d055229205c04ff7ac03393ba8726a4,Add Method Modifier
