lable,refatory
7b401def625630cbf1f9ee5f8993bbcb3269c22213,Inline Variable
7b401def625630cbf1f9ee5f8993bbcb3269c22214,Change Variable Type
84aa9565f6ada9f991f0184815f4ba2f04c2fdfe0,Extract Method
998e720776d4b36f0440876664e84a712b8a593322,Change Parameter Type
998e720776d4b36f0440876664e84a712b8a593321,Change Parameter Type
5c46e4c1f4436de224bb6c5c408c3849d8ed784b0,Extract Variable
9f3e1a3c354646c17b4d79dce3e5557889afe78c28,Move Attribute
6212381ec38e1e7ad18a6ffb30656a8fe3c742fd0,Extract Variable
c8a58d3c73d9ea2afe85cb030f5d7bb1d1ad018814,Extract Method
9f3e1a3c354646c17b4d79dce3e5557889afe78c13,Extract Method
89206511aad7cacb91c7fa032490816e7cdd18ba11,Change Variable Type
0e13dc72e7719163ffca638a7f809dce3f9cf54c3,Extract Method
ce0f2a9d6a757610132343cb6133cc2bda9388e26,Extract Method
7b401def625630cbf1f9ee5f8993bbcb3269c22211,Modify Method Annotation
7b401def625630cbf1f9ee5f8993bbcb3269c22212,Extract Variable
