lable,refatory
759b7786aa016cf23960a481a1cfde6166dca2f815,Remove Method Annotation
1956dac94b2c41e3e99a0e47d1f5704882b10bbd12,Change Variable Type
1956dac94b2c41e3e99a0e47d1f5704882b10bbd13,Rename Variable
759b7786aa016cf23960a481a1cfde6166dca2f817,Add Method Annotation
b71b253d2ad6bf1dc68c7bc6bb2e30782d86c7ff14,Change Attribute Type
1956dac94b2c41e3e99a0e47d1f5704882b10bbd14,Change Variable Type
759b7786aa016cf23960a481a1cfde6166dca2f818,Remove Method Annotation
1956dac94b2c41e3e99a0e47d1f5704882b10bbd15,Rename Variable
01ec54dd6ed3c2e7a6558a42732ffd8a0e4e0dc817,Add Parameter
1956dac94b2c41e3e99a0e47d1f5704882b10bbd16,Change Variable Type
28ca72965099301f1446aaaacfd029aac6346e7c1,Remove Method Annotation
1956dac94b2c41e3e99a0e47d1f5704882b10bbd17,Rename Variable
01ec54dd6ed3c2e7a6558a42732ffd8a0e4e0dc818,Add Parameter
2d6b19953a3660f7e2aed3d59b98b1c161333a404,Change Variable Type
2d6b19953a3660f7e2aed3d59b98b1c161333a408,Change Variable Type
2d6b19953a3660f7e2aed3d59b98b1c161333a407,Change Variable Type
2d6b19953a3660f7e2aed3d59b98b1c161333a406,Change Variable Type
2d6b19953a3660f7e2aed3d59b98b1c161333a405,Change Variable Type
8b3fe5d2666a97ee5b3571a3788e8fefd23f55fd1,Rename Variable
b101ff91a8f9dae77fb64b846f150bcf8154e5980,Rename Parameter
1956dac94b2c41e3e99a0e47d1f5704882b10bbd9,Rename Variable
b101ff91a8f9dae77fb64b846f150bcf8154e5981,Change Parameter Type
1956dac94b2c41e3e99a0e47d1f5704882b10bbd8,Change Variable Type
db6996ed99bb6a677f588f247b373345077580b04,Change Parameter Type
db6996ed99bb6a677f588f247b373345077580b03,Change Parameter Type
db6996ed99bb6a677f588f247b373345077580b02,Change Parameter Type
759b7786aa016cf23960a481a1cfde6166dca2f822,Add Method Annotation
759b7786aa016cf23960a481a1cfde6166dca2f823,Remove Method Annotation
fff0bb072f3a118eb8cf71257f54ef3aa8eedbd61,Modify Class Annotation
66525b51ee2cfc82b81798d2c9d450cfe770f21e0,Extract Variable
260414dbf1c90066d9f53cd0e082de728d5609880,Remove Method Annotation
67b195363a921de537003faf72615b93499989961,Remove Parameter
85184d05b99a698c08b120914060a3240ea03d2b4,Change Method Access Modifier
a8a8dc78d6aa375ab2220f8fcf3998d3f012d27d0,Change Attribute Access Modifier
46b3601f1a3bbe792338f160f8283ff32b65547a0,Rename Parameter
2d6b19953a3660f7e2aed3d59b98b1c161333a4010,Change Parameter Type
a8a8dc78d6aa375ab2220f8fcf3998d3f012d27d1,Remove Attribute Modifier
2d6b19953a3660f7e2aed3d59b98b1c161333a4011,Change Parameter Type
2d6b19953a3660f7e2aed3d59b98b1c161333a409,Change Variable Type
1296c7ff91daff4abeac392cec53600f7c5cb42715,Change Parameter Type
e6147fdac31851e2fe91ab0740d7f2780fc870670,Change Attribute Type
759b7786aa016cf23960a481a1cfde6166dca2f814,Add Method Annotation
